Season,Week,Name,Judge_Raw_Score,Mode,Est_Fan_Percent_Mean,Est_Fan_Percent_Std,Acceptance_Rate,Actual_Result,Judge_Rank_Points,Judge_Percent
1,1,John O'Hurley,20.0,rank_strict,16.68,14.11,100.0,Safe,5.0,
1,1,Kelly Monaco,13.0,rank_strict,16.66,14.1,100.0,Safe,1.0,
1,1,Evander Holyfield,18.0,rank_strict,16.66,14.1,100.0,Safe,2.5,
1,1,Rachel Hunter,20.0,rank_strict,16.67,14.12,100.0,Safe,5.0,
1,1,Joey McIntyre,20.0,rank_strict,16.66,14.06,100.0,Safe,5.0,
1,1,Trista Sutter,18.0,rank_strict,16.66,14.08,100.0,Safe,2.5,
1,2,John O'Hurley,26.0,rank_strict,16.01,4.8,9.97,Safe,6.0,
1,2,Kelly Monaco,17.0,rank_strict,19.09,4.14,9.97,Safe,2.0,
1,2,Evander Holyfield,14.0,rank_strict,21.1,3.97,9.97,Safe,1.0,
1,2,Rachel Hunter,24.0,rank_strict,16.02,4.81,9.97,Safe,5.0,
1,2,Joey McIntyre,21.0,rank_strict,16.99,4.4,9.97,Safe,4.0,
1,2,Trista Sutter,19.0,rank_strict,10.79,2.38,9.97,Eliminated,3.0,
1,3,John O'Hurley,24.0,rank_strict,18.66,5.42,33.5,Safe,4.0,
1,3,Kelly Monaco,21.0,rank_strict,25.24,4.7,33.5,Safe,2.0,
1,3,Evander Holyfield,13.0,rank_strict,18.25,3.56,33.5,Eliminated,1.0,
1,3,Rachel Hunter,26.0,rank_strict,18.03,5.77,33.5,Safe,5.0,
1,3,Joey McIntyre,22.0,rank_strict,19.83,5.48,33.5,Safe,3.0,
1,4,John O'Hurley,21.0,rank_strict,29.21,3.9,5.21,Safe,2.0,
1,4,Kelly Monaco,26.0,rank_strict,23.3,2.25,5.21,Safe,4.0,
1,4,Rachel Hunter,25.0,rank_strict,17.64,3.2,5.21,Eliminated,3.0,
1,4,Joey McIntyre,20.0,rank_strict,29.85,4.09,5.21,Safe,1.0,
1,5,John O'Hurley,27.0,rank_strict,35.46,6.69,100.0,Safe,3.0,
1,5,Kelly Monaco,23.5,rank_strict,28.29,6.29,100.0,Safe,2.0,
1,5,Joey McIntyre,22.5,rank_strict,36.25,6.7,100.0,Safe,1.0,
1,6,John O'Hurley,27.0,rank_strict,55.64,6.97,100.0,Safe,1.0,
1,6,Kelly Monaco,27.5,rank_strict,44.36,6.97,100.0,Safe,2.0,
2,1,Tatum O'Neal,23.0,rank_strict,10.09,9.09,22.92,Safe,8.5,
2,1,Tia Carrere,20.0,rank_strict,10.41,9.02,22.92,Safe,5.0,
2,1,George Hamilton,18.0,rank_strict,12.15,9.11,22.92,Safe,3.0,
2,1,Lisa Rinna,19.0,rank_strict,11.03,9.1,22.92,Safe,4.0,
2,1,Stacy Keibler,22.0,rank_strict,10.0,9.02,22.92,Safe,7.0,
2,1,Jerry Rice,21.0,rank_strict,10.21,9.14,22.92,Safe,6.0,
2,1,Giselle Fernandez,23.0,rank_strict,10.14,9.0,22.92,Safe,8.5,
2,1,Master P,12.0,rank_strict,13.64,9.0,22.92,Safe,1.0,
2,1,Drew Lachey,24.0,rank_strict,10.0,9.01,22.92,Safe,10.0,
2,1,Kenny Mayne,13.0,rank_strict,2.33,1.97,22.92,Eliminated,2.0,
2,2,Tatum O'Neal,17.0,rank_strict,7.11,2.2,45.72,Eliminated,2.0,
2,2,Tia Carrere,22.0,rank_strict,11.18,4.28,45.72,Safe,4.5,
2,2,George Hamilton,22.0,rank_strict,12.9,4.53,45.72,Safe,4.5,
2,2,Lisa Rinna,20.0,rank_strict,12.24,4.24,45.72,Safe,3.0,
2,2,Stacy Keibler,29.0,rank_strict,10.33,4.31,45.72,Safe,9.0,
2,2,Jerry Rice,23.0,rank_strict,10.59,4.33,45.72,Safe,6.0,
2,2,Giselle Fernandez,24.0,rank_strict,10.48,4.33,45.72,Safe,7.0,
2,2,Master P,16.0,rank_strict,14.83,4.48,45.72,Safe,1.0,
2,2,Drew Lachey,27.0,rank_strict,10.35,4.31,45.72,Safe,8.0,
2,3,Tia Carrere,26.0,rank_strict,11.88,4.39,22.25,Safe,6.0,
2,3,George Hamilton,22.0,rank_strict,14.31,4.5,22.25,Safe,3.5,
2,3,Lisa Rinna,25.0,rank_strict,13.24,4.59,22.25,Safe,5.0,
2,3,Stacy Keibler,27.0,rank_strict,10.98,4.3,22.25,Safe,7.5,
2,3,Jerry Rice,19.0,rank_strict,13.87,3.73,22.25,Safe,2.0,
2,3,Giselle Fernandez,22.0,rank_strict,7.13,2.06,22.25,Eliminated,3.5,
2,3,Master P,14.0,rank_strict,17.63,4.42,22.25,Safe,1.0,
2,3,Drew Lachey,27.0,rank_strict,10.97,4.25,22.25,Safe,7.5,
2,4,Tia Carrere,25.0,rank_strict,13.93,4.67,17.72,Safe,4.0,
2,4,George Hamilton,21.0,rank_strict,18.47,4.23,17.72,Safe,2.0,
2,4,Lisa Rinna,26.0,rank_strict,14.45,5.08,17.72,Safe,5.5,
2,4,Stacy Keibler,26.0,rank_strict,11.94,4.74,17.72,Safe,5.5,
2,4,Jerry Rice,24.0,rank_strict,16.86,4.58,17.72,Safe,3.0,
2,4,Master P,8.0,rank_strict,12.5,2.76,17.72,Eliminated,1.0,
2,4,Drew Lachey,28.0,rank_strict,11.85,4.76,17.72,Safe,7.0,
2,5,Tia Carrere,22.0,rank_strict,13.97,3.86,73.47,Eliminated,1.0,
2,5,George Hamilton,24.0,rank_strict,21.63,5.6,73.47,Safe,3.0,
2,5,Lisa Rinna,25.0,rank_strict,16.71,5.26,73.47,Safe,4.0,
2,5,Stacy Keibler,30.0,rank_strict,13.64,4.96,73.47,Safe,6.0,
2,5,Jerry Rice,23.0,rank_strict,20.55,5.21,73.47,Safe,2.0,
2,5,Drew Lachey,27.0,rank_strict,13.5,4.89,73.47,Safe,5.0,
2,6,George Hamilton,23.0,rank_strict,19.95,4.03,33.04,Eliminated,1.5,
2,6,Lisa Rinna,27.0,rank_strict,21.41,4.92,33.04,Safe,3.0,
2,6,Stacy Keibler,30.0,rank_strict,15.61,5.3,33.04,Safe,4.5,
2,6,Jerry Rice,23.0,rank_strict,27.71,5.0,33.04,Safe,1.5,
2,6,Drew Lachey,30.0,rank_strict,15.33,5.22,33.04,Safe,4.5,
2,7,Lisa Rinna,26.5,rank_strict,20.53,3.41,31.08,Eliminated,2.0,
2,7,Stacy Keibler,27.5,rank_strict,22.29,6.13,31.08,Safe,3.5,
2,7,Jerry Rice,20.5,rank_strict,35.48,6.08,31.08,Safe,1.0,
2,7,Drew Lachey,27.5,rank_strict,21.7,6.2,31.08,Safe,3.5,
2,8,Stacy Keibler,28.6665,rank_strict,28.03,6.29,100.0,Safe,2.0,
2,8,Jerry Rice,26.666600000000003,rank_strict,44.67,6.96,100.0,Safe,1.0,
2,8,Drew Lachey,28.9998,rank_strict,27.3,6.24,100.0,Safe,3.0,
3,1,Harry Hamlin,17.0,percentage,9.93,8.62,32.62,Safe,,8.02
3,1,Vivica A. Fox,22.0,percentage,9.53,8.57,32.62,Safe,,10.38
3,1,Monique Coleman,19.0,percentage,9.75,8.67,32.62,Safe,,8.96
3,1,Joey Lawrence,21.0,percentage,9.61,8.69,32.62,Safe,,9.91
3,1,Mario Lopez,26.0,percentage,9.56,8.68,32.62,Safe,,12.26
3,1,Emmitt Smith,24.0,percentage,9.51,8.61,32.62,Safe,,11.32
3,1,Shanna Moakler,18.0,percentage,9.86,8.63,32.62,Safe,,8.49
3,1,Willa Ford,22.0,percentage,9.57,8.65,32.62,Safe,,10.38
3,1,Sara Evans,15.0,percentage,10.5,8.66,32.62,Safe,,7.08
3,1,Jerry Springer,16.0,percentage,10.17,8.65,32.62,Safe,,7.55
3,1,Tucker Carlson,12.0,percentage,2.01,1.44,32.62,Eliminated,,5.66
3,2,Harry Hamlin,21.0,percentage,10.89,3.9,11.26,Safe,,9.13
3,2,Vivica A. Fox,24.0,percentage,10.25,3.98,11.26,Safe,,10.43
3,2,Monique Coleman,26.0,percentage,10.19,4.03,11.26,Safe,,11.3
3,2,Joey Lawrence,29.0,percentage,9.89,4.09,11.26,Safe,,12.61
