Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
1,1,Evander Holyfield,Rank (Strict Elimination),18.0,Safe,,2.5,16.73,14.14,100.0,16.63,14.04,100.0
1,1,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,5.0,16.68,14.06,100.0,16.68,14.06,100.0
1,1,John O'Hurley,Rank (Strict Elimination),20.0,Safe,,5.0,16.66,14.13,100.0,16.72,14.11,100.0
1,1,Kelly Monaco,Rank (Strict Elimination),13.0,Safe,,1.0,16.68,14.1,100.0,16.65,14.09,100.0
1,1,Rachel Hunter,Rank (Strict Elimination),20.0,Safe,,5.0,16.66,14.1,100.0,16.61,14.06,100.0
1,1,Trista Sutter,Rank (Strict Elimination),18.0,Safe,,2.5,16.59,14.04,100.0,16.72,14.09,100.0
1,2,Evander Holyfield,Rank (Strict Elimination),14.0,Safe,,1.0,28.27,12.86,9.74,28.58,13.16,9.75
1,2,Joey McIntyre,Rank (Strict Elimination),21.0,Safe,,4.0,16.7,12.67,9.74,16.37,12.76,9.75
1,2,John O'Hurley,Rank (Strict Elimination),26.0,Safe,,6.0,14.67,12.96,9.74,14.48,12.85,9.75
1,2,Kelly Monaco,Rank (Strict Elimination),17.0,Safe,,2.0,22.04,13.13,9.74,22.04,12.96,9.75
1,2,Rachel Hunter,Rank (Strict Elimination),24.0,Safe,,5.0,14.71,12.95,9.74,14.9,12.86,9.75
1,2,Trista Sutter,Rank (Strict Elimination),19.0,Eliminated,,3.0,3.62,3.06,9.74,3.62,3.07,9.75
1,3,Evander Holyfield,Rank (Strict Elimination),13.0,Eliminated,,1.0,21.76,3.96,15.86,8.86,7.03,46.48
1,3,Joey McIntyre,Rank (Strict Elimination),22.0,Safe,,3.0,18.9,5.42,15.86,20.82,16.49,46.48
1,3,John O'Hurley,Rank (Strict Elimination),24.0,Safe,,4.0,16.64,5.12,15.86,20.83,16.48,46.48
1,3,Kelly Monaco,Rank (Strict Elimination),21.0,Safe,,2.0,28.19,4.72,15.86,28.96,16.04,46.48
1,3,Rachel Hunter,Rank (Strict Elimination),26.0,Safe,,5.0,14.51,5.76,15.86,20.54,16.71,46.48
1,4,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,1.0,30.4,4.03,2.26,39.39,16.77,8.32
1,4,John O'Hurley,Rank (Strict Elimination),21.0,Safe,,2.0,29.4,3.77,2.26,39.98,16.91,8.32
1,4,Kelly Monaco,Rank (Strict Elimination),26.0,Safe,,4.0,24.07,2.29,2.26,14.46,6.67,8.32
1,4,Rachel Hunter,Rank (Strict Elimination),25.0,Eliminated,,3.0,16.13,3.63,2.26,6.16,4.78,8.32
1,5,Joey McIntyre,Rank (Strict Elimination),22.5,Safe,,1.0,36.22,6.71,100.0,33.33,23.6,100.0
1,5,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,3.0,35.07,6.64,100.0,33.24,23.58,100.0
1,5,Kelly Monaco,Rank (Strict Elimination),23.5,Safe,,2.0,28.72,6.34,100.0,33.43,23.59,100.0
1,6,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,1.0,55.01,6.99,100.0,50.03,28.94,100.0
1,6,Kelly Monaco,Rank (Strict Elimination),27.5,Safe,,2.0,44.99,6.99,100.0,49.97,28.94,100.0
2,1,Drew Lachey,Rank (Strict Elimination),24.0,Safe,,10.0,10.01,8.99,22.69,10.07,9.09,22.86
2,1,George Hamilton,Rank (Strict Elimination),18.0,Safe,,3.0,12.14,9.04,22.69,12.08,9.02,22.86
2,1,Giselle Fernandez,Rank (Strict Elimination),23.0,Safe,,8.5,10.05,8.97,22.69,10.15,9.07,22.86
2,1,Jerry Rice,Rank (Strict Elimination),21.0,Safe,,6.0,10.18,9.08,22.69,10.24,9.13,22.86
2,1,Kenny Mayne,Rank (Strict Elimination),13.0,Eliminated,,2.0,2.33,1.98,22.69,2.32,1.96,22.86
2,1,Lisa Rinna,Rank (Strict Elimination),19.0,Safe,,4.0,11.06,9.03,22.69,10.91,8.96,22.86
2,1,Master P,Rank (Strict Elimination),12.0,Safe,,1.0,13.68,8.93,22.69,13.57,8.87,22.86
2,1,Stacy Keibler,Rank (Strict Elimination),22.0,Safe,,7.0,10.09,8.99,22.69,10.14,9.1,22.86
2,1,Tatum O'Neal,Rank (Strict Elimination),23.0,Safe,,8.5,10.11,9.12,22.69,10.06,9.13,22.86
2,1,Tia Carrere,Rank (Strict Elimination),20.0,Safe,,5.0,10.35,9.01,22.69,10.45,9.1,22.86
2,2,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,8.0,10.37,4.31,45.24,11.48,10.09,32.58
2,2,George Hamilton,Rank (Strict Elimination),22.0,Safe,,4.5,12.88,4.53,45.24,12.02,10.06,32.58
2,2,Giselle Fernandez,Rank (Strict Elimination),24.0,Safe,,7.0,10.36,4.29,45.24,11.47,10.05,32.58
2,2,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,6.0,10.59,4.34,45.24,11.54,10.02,32.58
2,2,Lisa Rinna,Rank (Strict Elimination),20.0,Safe,,3.0,12.26,4.22,45.24,12.77,9.96,32.58
2,2,Master P,Rank (Strict Elimination),16.0,Safe,,1.0,14.86,4.51,45.24,14.2,9.88,32.58
2,2,Stacy Keibler,Rank (Strict Elimination),29.0,Safe,,9.0,10.45,4.34,45.24,11.35,9.98,32.58
2,2,Tatum O'Neal,Rank (Strict Elimination),17.0,Eliminated,,2.0,7.09,2.21,45.24,3.14,2.59,32.58
2,2,Tia Carrere,Rank (Strict Elimination),22.0,Safe,,4.5,11.14,4.23,45.24,12.04,10.05,32.58
2,3,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,7.5,11.01,4.28,22.8,11.96,10.78,12.71
2,3,George Hamilton,Rank (Strict Elimination),22.0,Safe,,3.5,14.28,4.44,22.8,13.53,10.6,12.71
2,3,Giselle Fernandez,Rank (Strict Elimination),22.0,Eliminated,,3.5,7.09,2.09,22.8,2.54,2.19,12.71
2,3,Jerry Rice,Rank (Strict Elimination),19.0,Safe,,2.0,13.84,3.77,22.8,16.53,10.72,12.71
2,3,Lisa Rinna,Rank (Strict Elimination),25.0,Safe,,5.0,13.22,4.55,22.8,12.5,10.95,12.71
2,3,Master P,Rank (Strict Elimination),14.0,Safe,,1.0,17.64,4.46,22.8,19.32,10.62,12.71
2,3,Stacy Keibler,Rank (Strict Elimination),27.0,Safe,,7.5,11.05,4.29,22.8,11.8,10.69,12.71
2,3,Tia Carrere,Rank (Strict Elimination),26.0,Safe,,6.0,11.88,4.45,22.8,11.82,10.64,12.71
