Season,Week,Name,Judge_Score,Judge_Rank,Est_Fan_Rank_Mean,Est_Fan_Rank_Std,Prob_Fan_Favorite,Effective_Sample_Size,Actual_Result
28,2,Kate Flannery,21.0,2,6.44,3.49,8.7,48487.0,Safe
28,2,James Van Der Beek,20.0,4,6.44,3.49,8.7,48487.0,Safe
28,2,Kel Mitchell,20.0,3,6.42,3.49,8.7,48487.0,Safe
28,2,Ray Lewis,15.0,10,5.88,3.35,10.2,48487.0,Safe
28,2,Lamar Odom,12.0,12,5.83,3.41,10.5,48487.0,Safe
28,2,Sailor Brinkley-Cook,18.0,8,6.12,3.35,9.0,48487.0,Safe
28,2,Sean Spicer,16.0,9,6.0,3.35,9.5,48487.0,Safe
28,2,Mary Wilson,15.0,11,9.4,1.96,0.0,48487.0,Eliminated
28,2,Lauren Alaina,19.0,6,6.35,3.44,8.8,48487.0,Safe
28,2,Ally Brooke,20.0,5,6.41,3.48,8.7,48487.0,Safe
28,2,Karamo Brown,19.0,7,6.26,3.39,8.7,48487.0,Safe
28,2,Hannah Brown,24.0,1,6.45,3.49,8.7,48487.0,Safe
28,4,Kate Flannery,26.0,8,5.09,2.84,11.7,62440.0,Safe
28,4,James Van Der Beek,28.0,6,5.26,2.85,11.2,62440.0,Safe
28,4,Kel Mitchell,32.0,1,5.45,2.93,10.7,62440.0,Safe
28,4,Lamar Odom,20.0,10,7.26,1.98,0.0,62440.0,Eliminated
28,4,Sailor Brinkley-Cook,31.0,5,5.37,2.88,10.9,62440.0,Safe
28,4,Sean Spicer,21.0,9,5.06,2.89,12.4,62440.0,Safe
28,4,Lauren Alaina,32.0,3,5.44,2.92,10.6,62440.0,Safe
28,4,Ally Brooke,32.0,2,5.46,2.93,10.5,62440.0,Safe
28,4,Karamo Brown,28.0,7,5.17,2.82,11.3,62440.0,Safe
28,4,Hannah Brown,32.0,4,5.43,2.91,10.6,62440.0,Safe
28,6,Kate Flannery,27.0,1,5.54,2.32,7.2,4493.0,Safe
28,6,James Van Der Beek,27.0,2,5.59,2.29,7.3,4493.0,Safe
28,6,Kel Mitchell,26.0,4,5.33,2.14,6.7,4493.0,Safe
28,6,Sailor Brinkley-Cook,27.0,3,8.77,0.46,0.0,4493.0,Eliminated
28,6,Sean Spicer,21.0,9,3.68,2.57,23.3,4493.0,Safe
28,6,Lauren Alaina,26.0,5,4.68,1.99,9.1,4493.0,Safe
28,6,Ally Brooke,25.0,6,4.07,1.93,12.9,4493.0,Safe
28,6,Karamo Brown,25.0,7,3.77,2.03,14.9,4493.0,Safe
28,6,Hannah Brown,24.0,8,3.56,2.21,18.7,4493.0,Safe
28,7,Kate Flannery,24.0,7,6.35,1.67,0.4,402.1,Safe
28,7,James Van Der Beek,27.0,1,7.18,1.11,0.0,402.1,Safe
28,7,Kel Mitchell,25.5,5,4.84,1.58,1.5,402.1,Safe
28,7,Sean Spicer,21.0,8,1.86,0.93,41.5,402.1,Safe
28,7,Lauren Alaina,27.0,2,4.9,1.85,3.1,402.1,Safe
28,7,Ally Brooke,27.0,3,3.79,1.72,8.2,402.1,Safe
28,7,Karamo Brown,24.5,6,5.24,1.16,0.0,402.1,Eliminated
28,7,Hannah Brown,26.0,4,1.85,1.0,45.3,402.1,Safe
28,8,Kate Flannery,25.9998,5,5.97,0.95,0.0,294.9,Eliminated
28,8,James Van Der Beek,31.9998,1,6.0,1.16,0.2,294.9,Safe
28,8,Kel Mitchell,29.9998,4,3.86,1.54,7.2,294.9,Safe
28,8,Sean Spicer,20.0,7,2.35,1.29,30.9,294.9,Safe
28,8,Lauren Alaina,24.0,6,4.64,1.56,3.0,294.9,Safe
28,8,Ally Brooke,30.0,3,3.18,1.51,15.0,294.9,Safe
28,8,Hannah Brown,30.9998,2,2.01,1.16,43.6,294.9,Safe
28,9,James Van Der Beek,36.0,3,4.78,1.2,1.5,115.2,Safe
28,9,Kel Mitchell,37.0,2,3.83,1.56,9.4,115.2,Safe
28,9,Sean Spicer,25.0,6,3.11,1.25,7.4,115.2,Eliminated
28,9,Lauren Alaina,35.0,5,4.48,1.5,4.4,115.2,Safe
28,9,Ally Brooke,40.0,1,3.09,1.6,19.9,115.2,Safe
28,9,Hannah Brown,35.5,4,1.71,1.02,57.4,115.2,Safe
28,10,James Van Der Beek,25.5,5,4.09,1.03,1.7,46.3,Eliminated
28,10,Kel Mitchell,28.5,2,2.99,1.3,16.1,46.3,Safe
28,10,Lauren Alaina,27.0,3,3.52,1.26,8.3,46.3,Safe
28,10,Ally Brooke,29.5,1,2.46,1.26,28.5,46.3,Safe
28,10,Hannah Brown,27.0,4,1.95,1.1,45.4,46.3,Safe
29,2,Anne Heche,18.0,8,7.85,4.33,7.0,50228.0,Safe
29,2,Jesse Metcalfe,20.0,4,7.89,4.37,7.1,50228.0,Safe
29,2,Chrishell Stause,18.0,7,7.89,4.35,7.0,50228.0,Safe
29,2,Skai Jackson,15.0,14,7.35,4.25,7.7,50228.0,Safe
29,2,Justina Machado,21.0,2,7.93,4.35,6.8,50228.0,Safe
29,2,Charles Oakley,15.0,15,11.52,2.48,0.0,50228.0,Eliminated
29,2,Veron Davis,18.0,11,7.59,4.25,7.4,50228.0,Safe
29,2,Johnny Weir,18.0,6,7.92,4.35,7.0,50228.0,Safe
29,2,Nev Schulman,21.0,3,7.92,4.37,6.9,50228.0,Safe
29,2,AJ McLean,19.0,5,7.9,4.35,6.9,50228.0,Safe
29,2,Nelly,18.0,10,7.66,4.27,7.4,50228.0,Safe
29,2,Kaitlyn Bristowe,22.0,1,7.89,4.36,6.9,50228.0,Safe
29,2,Carole Baskin,16.0,12,7.46,4.2,7.4,50228.0,Safe
29,2,Monica Aldama,16.0,13,7.45,4.22,7.6,50228.0,Safe
29,2,Jeannie Mai,18.0,9,7.79,4.3,7.0,50228.0,Safe
29,3,Anne Heche,15.0,13,5.77,1.06,0.0,1.3,Safe
29,3,Jesse Metcalfe,20.0,9,8.98,0.68,0.0,1.3,Safe
29,3,Chrishell Stause,22.0,4,7.15,0.99,0.0,1.3,Safe
29,3,Skai Jackson,18.0,12,1.19,0.63,91.4,1.3,Safe
29,3,Justina Machado,19.0,10,13.9,0.56,0.0,1.3,Safe
29,3,Veron Davis,22.0,6,5.03,0.73,0.3,1.3,Safe
29,3,Johnny Weir,24.0,1,12.79,0.79,0.0,1.3,Safe
29,3,Nev Schulman,24.0,2,10.24,0.84,0.0,1.3,Safe
29,3,AJ McLean,21.0,7,11.91,0.72,0.0,1.3,Safe
29,3,Nelly,18.0,11,2.12,0.97,5.9,1.3,Safe
29,3,Kaitlyn Bristowe,23.0,3,10.87,0.74,0.0,1.3,Safe
29,3,Carole Baskin,12.0,14,7.86,0.6,0.0,1.3,Eliminated
29,3,Monica Aldama,21.0,8,3.02,0.46,2.2,1.3,Safe
29,3,Jeannie Mai,22.0,5,4.18,1.02,0.1,1.3,Safe
29,4,Anne Heche,21.0,10,9.03,1.04,0.0,9.6,Eliminated
29,4,Jesse Metcalfe,21.0,11,5.91,1.83,0.1,9.6,Safe
29,4,Chrishell Stause,22.0,8,7.24,1.75,0.7,9.6,Safe
29,4,Skai Jackson,28.0,1,1.86,0.81,31.2,9.6,Safe
29,4,Justina Machado,24.0,7,12.15,1.1,0.0,9.6,Safe
29,4,Veron Davis,22.0,9,3.87,2.14,15.7,9.6,Safe
29,4,Johnny Weir,24.0,3,10.97,1.26,0.0,9.6,Safe
29,4,Nev Schulman,24.0,4,8.06,2.2,0.0,9.6,Safe
29,4,AJ McLean,24.0,5,11.32,1.82,0.0,9.6,Safe
29,4,Nelly,21.0,12,2.84,1.4,30.2,9.6,Safe
29,4,Kaitlyn Bristowe,25.0,2,9.83,1.72,0.0,9.6,Safe
29,4,Monica Aldama,24.0,6,4.61,1.67,10.6,9.6,Safe
