Season,Week,Name,Judge_Raw_Score,Judge_Percent,Est_Fan_Percent_Mean,Est_Fan_Percent_Std,Acceptance_Rate,Actual_Result
3,1,Harry Hamlin,17.0,8.02,10.04,8.64,32.58,Safe
3,1,Vivica A. Fox,22.0,10.38,9.58,8.69,32.58,Safe
3,1,Monique Coleman,19.0,8.96,9.73,8.61,32.58,Safe
3,1,Joey Lawrence,21.0,9.91,9.64,8.67,32.58,Safe
3,1,Mario Lopez,26.0,12.26,9.55,8.64,32.58,Safe
3,1,Emmitt Smith,24.0,11.32,9.49,8.6,32.58,Safe
3,1,Shanna Moakler,18.0,8.49,9.88,8.62,32.58,Safe
3,1,Willa Ford,22.0,10.38,9.55,8.62,32.58,Safe
3,1,Sara Evans,15.0,7.08,10.37,8.71,32.58,Safe
3,1,Jerry Springer,16.0,7.55,10.17,8.62,32.58,Safe
3,1,Tucker Carlson,12.0,5.66,2.01,1.45,32.58,Eliminated
3,2,Harry Hamlin,21.0,9.13,11.09,3.97,11.15,Safe
3,2,Vivica A. Fox,24.0,10.43,10.22,3.95,11.15,Safe
3,2,Monique Coleman,26.0,11.3,10.11,4.05,11.15,Safe
3,2,Joey Lawrence,29.0,12.61,9.9,4.14,11.15,Safe
3,2,Mario Lopez,21.0,9.13,10.67,3.77,11.15,Safe
3,2,Emmitt Smith,24.0,10.43,10.17,3.95,11.15,Safe
3,2,Shanna Moakler,22.0,9.57,4.56,1.32,11.15,Eliminated
3,2,Willa Ford,23.0,10.0,10.41,3.96,11.15,Safe
3,2,Sara Evans,21.0,9.13,11.32,3.98,11.15,Safe
3,2,Jerry Springer,19.0,8.26,11.55,3.89,11.15,Safe
3,3,Harry Hamlin,22.0,10.63,5.56,1.47,10.22,Eliminated
3,3,Vivica A. Fox,27.0,13.04,10.96,4.12,10.22,Safe
3,3,Monique Coleman,27.0,13.04,10.8,4.21,10.22,Safe
3,3,Joey Lawrence,22.0,10.63,11.4,3.91,10.22,Safe
3,3,Mario Lopez,22.0,10.63,12.06,4.07,10.22,Safe
3,3,Emmitt Smith,19.0,9.18,12.35,3.87,10.22,Safe
3,3,Willa Ford,22.0,10.63,11.77,4.02,10.22,Safe
3,3,Sara Evans,25.0,12.08,12.12,4.32,10.22,Safe
3,3,Jerry Springer,21.0,10.14,12.97,4.25,10.22,Safe
3,4,Vivica A. Fox,24.0,12.12,6.34,1.73,17.68,Eliminated
3,4,Monique Coleman,24.0,12.12,12.56,4.07,17.68,Safe
3,4,Joey Lawrence,27.0,13.64,12.56,4.32,17.68,Safe
3,4,Mario Lopez,29.0,14.65,12.95,4.53,17.68,Safe
3,4,Emmitt Smith,24.0,12.12,13.78,4.37,17.68,Safe
3,4,Willa Ford,28.0,14.14,12.75,4.4,17.68,Safe
3,4,Sara Evans,20.0,10.1,14.43,4.11,17.68,Safe
3,4,Jerry Springer,22.0,11.11,14.64,4.37,17.68,Safe
3,5,Monique Coleman,27.0,14.92,14.5,4.35,13.64,Safe
3,5,Joey Lawrence,25.0,13.81,14.87,4.18,13.64,Safe
3,5,Mario Lopez,27.0,14.92,14.71,4.35,13.64,Safe
3,5,Emmitt Smith,27.0,14.92,15.42,4.53,13.64,Safe
3,5,Willa Ford,27.0,14.92,7.43,1.81,13.64,Eliminated
3,5,Sara Evans,24.0,13.26,16.45,4.5,13.64,Safe
3,5,Jerry Springer,24.0,13.26,16.62,4.49,13.64,Safe
3,6,Monique Coleman,23.0,19.49,19.03,5.48,100.0,Safe
3,6,Joey Lawrence,24.0,20.34,19.53,5.57,100.0,Safe
3,6,Mario Lopez,28.0,23.73,19.34,5.54,100.0,Safe
3,6,Emmitt Smith,25.0,21.19,20.27,5.63,100.0,Safe
