Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
1,1,Evander Holyfield,Rank (Strict Elimination),18.0,Safe,,2.5,6.96,7.67,100.0,16.65,14.01,100.0
1,1,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,5.0,8.3,8.31,100.0,16.63,14.1,100.0
1,1,John O'Hurley,Rank (Strict Elimination),20.0,Safe,,5.0,6.68,7.53,100.0,16.6,14.11,100.0
1,1,Kelly Monaco,Rank (Strict Elimination),13.0,Safe,,1.0,49.31,15.06,100.0,16.73,14.14,100.0
1,1,Rachel Hunter,Rank (Strict Elimination),20.0,Safe,,5.0,21.63,12.37,100.0,16.62,14.03,100.0
1,1,Trista Sutter,Rank (Strict Elimination),18.0,Safe,,2.5,7.13,7.74,100.0,16.75,14.13,100.0
1,2,Evander Holyfield,Rank (Strict Elimination),14.0,Safe,,1.0,17.09,9.07,10.91,28.59,13.26,9.8
1,2,Joey McIntyre,Rank (Strict Elimination),21.0,Safe,,4.0,7.63,6.63,10.91,16.62,13.0,9.8
1,2,John O'Hurley,Rank (Strict Elimination),26.0,Safe,,6.0,5.81,6.09,10.91,14.73,13.01,9.8
1,2,Kelly Monaco,Rank (Strict Elimination),17.0,Safe,,2.0,48.82,15.35,10.91,21.83,12.97,9.8
1,2,Rachel Hunter,Rank (Strict Elimination),24.0,Safe,,5.0,18.88,12.09,10.91,14.66,13.01,9.8
1,2,Trista Sutter,Rank (Strict Elimination),19.0,Eliminated,,3.0,1.78,2.07,10.91,3.57,3.04,9.8
1,3,Evander Holyfield,Rank (Strict Elimination),13.0,Eliminated,,1.0,12.25,6.69,65.11,8.93,7.07,46.53
1,3,Joey McIntyre,Rank (Strict Elimination),22.0,Safe,,3.0,13.86,10.49,65.11,20.54,16.27,46.53
1,3,John O'Hurley,Rank (Strict Elimination),24.0,Safe,,4.0,12.59,10.13,65.11,20.8,16.41,46.53
1,3,Kelly Monaco,Rank (Strict Elimination),21.0,Safe,,2.0,40.22,13.48,65.11,29.11,16.08,46.53
1,3,Rachel Hunter,Rank (Strict Elimination),26.0,Safe,,5.0,21.09,12.62,65.11,20.61,16.78,46.53
1,4,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,1.0,33.37,9.15,2.7,39.66,16.5,8.35
1,4,John O'Hurley,Rank (Strict Elimination),21.0,Safe,,2.0,33.84,9.09,2.7,39.62,16.47,8.35
1,4,Kelly Monaco,Rank (Strict Elimination),26.0,Safe,,4.0,20.61,4.32,2.7,14.54,6.57,8.35
1,4,Rachel Hunter,Rank (Strict Elimination),25.0,Eliminated,,3.0,12.18,4.89,2.7,6.18,4.86,8.35
1,5,Joey McIntyre,Rank (Strict Elimination),22.5,Safe,,1.0,36.17,14.45,100.0,33.35,23.57,100.0
1,5,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,3.0,36.42,14.44,100.0,33.23,23.53,100.0
