Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
1,1,Evander Holyfield,Rank (Strict Elimination),18.0,Safe,,2.5,11.8,4.53,100.0,16.66,14.12,100.0
1,1,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,5.0,12.48,4.63,100.0,16.67,14.08,100.0
1,1,John O'Hurley,Rank (Strict Elimination),20.0,Safe,,5.0,11.69,4.51,100.0,16.62,14.08,100.0
1,1,Kelly Monaco,Rank (Strict Elimination),13.0,Safe,,1.0,33.01,6.61,100.0,16.69,14.15,100.0
1,1,Rachel Hunter,Rank (Strict Elimination),20.0,Safe,,5.0,19.18,5.52,100.0,16.66,14.08,100.0
1,1,Trista Sutter,Rank (Strict Elimination),18.0,Safe,,2.5,11.85,4.51,100.0,16.7,14.11,100.0
1,2,Evander Holyfield,Rank (Strict Elimination),14.0,Safe,,1.0,17.44,3.69,11.04,28.3,13.03,9.82
1,2,Joey McIntyre,Rank (Strict Elimination),21.0,Safe,,4.0,12.63,3.49,11.04,16.09,12.41,9.82
1,2,John O'Hurley,Rank (Strict Elimination),26.0,Safe,,6.0,11.34,3.58,11.04,14.75,13.12,9.82
1,2,Kelly Monaco,Rank (Strict Elimination),17.0,Safe,,2.0,32.88,6.57,11.04,22.3,13.25,9.82
1,2,Rachel Hunter,Rank (Strict Elimination),24.0,Safe,,5.0,17.9,5.39,11.04,14.93,13.11,9.82
1,2,Trista Sutter,Rank (Strict Elimination),19.0,Eliminated,,3.0,7.81,2.35,11.04,3.63,3.08,9.82
1,3,Evander Holyfield,Rank (Strict Elimination),13.0,Eliminated,,1.0,13.11,3.99,88.91,8.89,7.03,46.72
1,3,Joey McIntyre,Rank (Strict Elimination),22.0,Safe,,3.0,15.06,5.04,88.91,20.73,16.44,46.72
1,3,John O'Hurley,Rank (Strict Elimination),24.0,Safe,,4.0,14.21,4.94,88.91,20.89,16.53,46.72
1,3,Kelly Monaco,Rank (Strict Elimination),21.0,Safe,,2.0,35.57,6.62,88.91,28.96,16.17,46.72
1,3,Rachel Hunter,Rank (Strict Elimination),26.0,Safe,,5.0,22.06,5.76,88.91,20.52,16.71,46.72
1,4,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,1.0,27.83,2.7,0.11,39.75,16.57,8.13
1,4,John O'Hurley,Rank (Strict Elimination),21.0,Safe,,2.0,28.71,3.45,0.11,39.31,16.5,8.13
1,4,Kelly Monaco,Rank (Strict Elimination),26.0,Safe,,4.0,24.25,1.63,0.11,14.67,6.69,8.13
1,4,Rachel Hunter,Rank (Strict Elimination),25.0,Eliminated,,3.0,19.21,2.81,0.11,6.28,4.87,8.13
1,5,Joey McIntyre,Rank (Strict Elimination),22.5,Safe,,1.0,24.49,6.02,100.0,33.35,23.62,100.0
1,5,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,3.0,23.29,5.94,100.0,33.32,23.55,100.0
1,5,Kelly Monaco,Rank (Strict Elimination),23.5,Safe,,2.0,52.23,7.01,100.0,33.32,23.58,100.0
1,6,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,1.0,35.0,6.67,100.0,49.92,28.88,100.0
1,6,Kelly Monaco,Rank (Strict Elimination),27.5,Safe,,2.0,65.0,6.67,100.0,50.08,28.88,100.0
2,1,Drew Lachey,Rank (Strict Elimination),24.0,Safe,,10.0,8.59,3.92,36.49,10.03,8.97,22.83
2,1,George Hamilton,Rank (Strict Elimination),18.0,Safe,,3.0,10.26,3.85,36.49,12.04,8.88,22.83
2,1,Giselle Fernandez,Rank (Strict Elimination),23.0,Safe,,8.5,7.82,3.76,36.49,10.04,8.98,22.83
2,1,Jerry Rice,Rank (Strict Elimination),21.0,Safe,,6.0,9.58,4.11,36.49,10.15,9.05,22.83
2,1,Kenny Mayne,Rank (Strict Elimination),13.0,Eliminated,,2.0,4.47,1.76,36.49,2.34,1.98,22.83
2,1,Lisa Rinna,Rank (Strict Elimination),19.0,Safe,,4.0,12.26,4.48,36.49,10.99,9.03,22.83
2,1,Master P,Rank (Strict Elimination),12.0,Safe,,1.0,10.46,3.56,36.49,13.72,9.11,22.83
2,1,Stacy Keibler,Rank (Strict Elimination),22.0,Safe,,7.0,21.75,5.8,36.49,10.08,9.03,22.83
2,1,Tatum O'Neal,Rank (Strict Elimination),23.0,Safe,,8.5,6.98,3.57,36.49,10.18,9.09,22.83
2,1,Tia Carrere,Rank (Strict Elimination),20.0,Safe,,5.0,7.83,3.69,36.49,10.41,9.01,22.83
2,2,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,8.0,9.53,4.12,52.54,11.47,10.12,33.0
2,2,George Hamilton,Rank (Strict Elimination),22.0,Safe,,4.5,10.45,4.2,52.54,11.99,10.03,33.0
2,2,Giselle Fernandez,Rank (Strict Elimination),24.0,Safe,,7.0,8.69,3.98,52.54,11.42,10.05,33.0
2,2,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,6.0,10.48,4.3,52.54,11.47,10.04,33.0
2,2,Lisa Rinna,Rank (Strict Elimination),20.0,Safe,,3.0,13.24,4.6,52.54,12.78,10.08,33.0
2,2,Master P,Rank (Strict Elimination),16.0,Safe,,1.0,10.82,3.78,52.54,14.24,9.95,33.0
2,2,Stacy Keibler,Rank (Strict Elimination),29.0,Safe,,9.0,22.71,5.86,52.54,11.49,10.02,33.0
2,2,Tatum O'Neal,Rank (Strict Elimination),17.0,Eliminated,,2.0,5.36,2.04,52.54,3.12,2.59,33.0
2,2,Tia Carrere,Rank (Strict Elimination),22.0,Safe,,4.5,8.72,3.88,52.54,12.01,10.04,33.0
2,3,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,7.5,9.95,4.04,15.5,11.89,10.86,12.58
2,3,George Hamilton,Rank (Strict Elimination),22.0,Safe,,3.5,11.38,4.02,15.5,13.61,10.65,12.58
2,3,Giselle Fernandez,Rank (Strict Elimination),22.0,Eliminated,,3.5,5.77,1.92,15.5,2.56,2.2,12.58
2,3,Jerry Rice,Rank (Strict Elimination),19.0,Safe,,2.0,12.85,3.88,15.5,16.62,10.92,12.58
2,3,Lisa Rinna,Rank (Strict Elimination),25.0,Safe,,5.0,13.46,4.82,15.5,12.3,10.77,12.58
2,3,Master P,Rank (Strict Elimination),14.0,Safe,,1.0,13.82,3.52,15.5,19.08,10.51,12.58
2,3,Stacy Keibler,Rank (Strict Elimination),27.0,Safe,,7.5,23.69,6.02,15.5,12.08,10.93,12.58
2,3,Tia Carrere,Rank (Strict Elimination),26.0,Safe,,6.0,9.07,3.81,15.5,11.86,10.67,12.58
2,4,Drew Lachey,Rank (Strict Elimination),28.0,Safe,,7.0,11.86,4.58,44.83,14.63,12.55,37.9
2,4,George Hamilton,Rank (Strict Elimination),21.0,Safe,,2.0,14.49,4.15,44.83,19.28,12.38,37.9
2,4,Jerry Rice,Rank (Strict Elimination),24.0,Safe,,3.0,13.4,4.53,44.83,16.63,12.52,37.9
2,4,Lisa Rinna,Rank (Strict Elimination),26.0,Safe,,5.5,15.5,5.03,44.83,14.78,12.59,37.9
2,4,Master P,Rank (Strict Elimination),8.0,Eliminated,,1.0,8.47,2.55,44.83,4.95,4.14,37.9
2,4,Stacy Keibler,Rank (Strict Elimination),26.0,Safe,,5.5,25.35,6.04,44.83,14.61,12.4,37.9
2,4,Tia Carrere,Rank (Strict Elimination),25.0,Safe,,4.0,10.93,4.39,44.83,15.12,12.43,37.9
2,5,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,5.0,13.62,4.93,74.06,17.45,14.56,56.64
2,5,George Hamilton,Rank (Strict Elimination),24.0,Safe,,3.0,14.7,4.92,74.06,18.52,14.45,56.64
2,5,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,2.0,15.52,4.82,74.06,20.84,14.51,56.64
2,5,Lisa Rinna,Rank (Strict Elimination),25.0,Safe,,4.0,17.54,5.33,74.06,17.62,14.53,56.64
2,5,Stacy Keibler,Rank (Strict Elimination),30.0,Safe,,6.0,28.02,6.22,74.06,17.37,14.47,56.64
2,5,Tia Carrere,Rank (Strict Elimination),22.0,Eliminated,,1.0,10.6,3.34,74.06,8.19,6.67,56.64
2,6,Drew Lachey,Rank (Strict Elimination),30.0,Safe,,4.5,15.9,5.22,48.24,20.53,16.57,43.48
2,6,George Hamilton,Rank (Strict Elimination),23.0,Eliminated,,1.5,13.29,3.42,48.24,8.35,6.87,43.48
2,6,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,1.5,19.9,4.56,48.24,28.26,15.97,43.48
2,6,Lisa Rinna,Rank (Strict Elimination),27.0,Safe,,3.0,20.16,5.44,48.24,22.27,16.39,43.48
2,6,Stacy Keibler,Rank (Strict Elimination),30.0,Safe,,4.5,30.75,6.46,48.24,20.59,16.52,43.48
2,7,Drew Lachey,Rank (Strict Elimination),27.5,Safe,,3.5,19.57,5.56,35.53,27.94,19.73,41.62
2,7,Jerry Rice,Rank (Strict Elimination),20.5,Safe,,1.0,25.31,4.62,35.53,34.57,18.11,41.62
2,7,Lisa Rinna,Rank (Strict Elimination),26.5,Eliminated,,2.0,18.82,3.67,35.53,9.57,6.94,41.62
2,7,Stacy Keibler,Rank (Strict Elimination),27.5,Safe,,3.5,36.3,6.49,35.53,27.92,19.8,41.62
2,8,Drew Lachey,Rank (Strict Elimination),28.9998,Safe,,3.0,25.89,6.13,100.0,33.32,23.6,100.0
2,8,Jerry Rice,Rank (Strict Elimination),26.666600000000003,Safe,,1.0,27.37,6.25,100.0,33.29,23.55,100.0
2,8,Stacy Keibler,Rank (Strict Elimination),28.6665,Safe,,2.0,46.74,6.99,100.0,33.39,23.62,100.0
3,1,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,11.32,,7.41,3.69,50.85,9.57,8.66,32.48
3,1,Harry Hamlin,Percentage (Judge% + Fan%),17.0,Safe,8.02,,7.14,3.38,50.85,10.02,8.76,32.48
3,1,Jerry Springer,Percentage (Judge% + Fan%),16.0,Safe,7.55,,8.61,3.75,50.85,10.16,8.63,32.48
3,1,Joey Lawrence,Percentage (Judge% + Fan%),21.0,Safe,9.91,,9.3,4.02,50.85,9.59,8.64,32.48
3,1,Mario Lopez,Percentage (Judge% + Fan%),26.0,Safe,12.26,,11.51,4.48,50.85,9.56,8.63,32.48
3,1,Monique Coleman,Percentage (Judge% + Fan%),19.0,Safe,8.96,,7.16,3.52,50.85,9.69,8.58,32.48
3,1,Sara Evans,Percentage (Judge% + Fan%),15.0,Safe,7.08,,19.49,5.57,50.85,10.37,8.63,32.48
3,1,Shanna Moakler,Percentage (Judge% + Fan%),18.0,Safe,8.49,,8.99,3.94,50.85,9.89,8.66,32.48
3,1,Tucker Carlson,Percentage (Judge% + Fan%),12.0,Eliminated,5.66,,4.23,1.62,50.85,2.0,1.44,32.48
3,1,Vivica A. Fox,Percentage (Judge% + Fan%),22.0,Safe,10.38,,6.56,3.46,50.85,9.65,8.74,32.48
3,1,Willa Ford,Percentage (Judge% + Fan%),22.0,Safe,10.38,,9.6,4.13,50.85,9.49,8.63,32.48
3,2,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,10.43,,8.52,3.5,8.67,10.61,8.94,11.07
3,2,Harry Hamlin,Percentage (Judge% + Fan%),21.0,Safe,9.13,,8.72,3.29,8.67,11.43,8.83,11.07
3,2,Jerry Springer,Percentage (Judge% + Fan%),19.0,Safe,8.26,,10.25,3.59,8.67,12.41,8.9,11.07
3,2,Joey Lawrence,Percentage (Judge% + Fan%),29.0,Safe,12.61,,9.88,4.11,8.67,9.96,8.85,11.07
3,2,Mario Lopez,Percentage (Judge% + Fan%),21.0,Safe,9.13,,12.38,4.37,8.67,11.51,8.78,11.07
3,2,Monique Coleman,Percentage (Judge% + Fan%),26.0,Safe,11.3,,7.94,3.51,8.67,10.2,8.94,11.07
3,2,Sara Evans,Percentage (Judge% + Fan%),21.0,Safe,9.13,,19.97,5.45,8.67,11.61,8.96,11.07
3,2,Shanna Moakler,Percentage (Judge% + Fan%),22.0,Eliminated,9.57,,4.01,1.26,8.67,1.19,1.0,11.07
3,2,Vivica A. Fox,Percentage (Judge% + Fan%),24.0,Safe,10.43,,7.87,3.39,8.67,10.36,8.8,11.07
3,2,Willa Ford,Percentage (Judge% + Fan%),23.0,Safe,10.0,,10.44,4.01,8.67,10.71,8.89,11.07
3,3,Emmitt Smith,Percentage (Judge% + Fan%),19.0,Safe,9.18,,10.4,3.57,23.86,13.88,9.82,12.6
3,3,Harry Hamlin,Percentage (Judge% + Fan%),22.0,Eliminated,10.63,,4.18,1.48,23.86,1.46,1.21,12.6
3,3,Jerry Springer,Percentage (Judge% + Fan%),21.0,Safe,10.14,,10.49,3.83,23.86,12.94,9.68,12.6
3,3,Joey Lawrence,Percentage (Judge% + Fan%),22.0,Safe,10.63,,11.33,4.19,23.86,12.54,9.84,12.6
3,3,Mario Lopez,Percentage (Judge% + Fan%),22.0,Safe,10.63,,13.5,4.66,23.86,12.47,9.83,12.6
3,3,Monique Coleman,Percentage (Judge% + Fan%),27.0,Safe,13.04,,8.53,3.73,23.86,11.18,9.86,12.6
3,3,Sara Evans,Percentage (Judge% + Fan%),25.0,Safe,12.08,,21.89,5.81,23.86,11.61,9.83,12.6
3,3,Vivica A. Fox,Percentage (Judge% + Fan%),27.0,Safe,13.04,,8.11,3.63,23.86,11.36,9.97,12.6
3,3,Willa Ford,Percentage (Judge% + Fan%),22.0,Safe,10.63,,11.58,4.26,23.86,12.56,9.79,12.6
3,4,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,12.12,,10.82,3.85,28.09,14.11,10.86,13.43
3,4,Jerry Springer,Percentage (Judge% + Fan%),22.0,Safe,11.11,,11.88,3.95,28.09,15.12,10.64,13.43
3,4,Joey Lawrence,Percentage (Judge% + Fan%),27.0,Safe,13.64,,12.07,4.38,28.09,13.0,10.68,13.43
3,4,Mario Lopez,Percentage (Judge% + Fan%),29.0,Safe,14.65,,14.31,4.86,28.09,12.76,10.81,13.43
3,4,Monique Coleman,Percentage (Judge% + Fan%),24.0,Safe,12.12,,10.43,3.75,28.09,14.21,10.75,13.43
3,4,Sara Evans,Percentage (Judge% + Fan%),20.0,Safe,10.1,,23.12,5.86,28.09,16.26,10.78,13.43
3,4,Vivica A. Fox,Percentage (Judge% + Fan%),24.0,Eliminated,12.12,,5.01,1.71,28.09,1.78,1.45,13.43
3,4,Willa Ford,Percentage (Judge% + Fan%),28.0,Safe,14.14,,12.36,4.52,28.09,12.76,10.57,13.43
3,5,Emmitt Smith,Percentage (Judge% + Fan%),27.0,Safe,14.92,,12.49,3.88,8.77,15.65,11.67,10.85
