Season,Week,Name,Judge_Score,Judge_Rank,Est_Fan_Rank_Mean,Est_Fan_Rank_Std,Prob_Fan_Favorite,Actual_Result
1,2,John O'Hurley,26.0,1,3.51,1.69,16.2,Safe
1,2,Kelly Monaco,17.0,5,2.89,1.34,20.4,Safe
1,2,Evander Holyfield,14.0,6,2.23,1.04,30.5,Safe
1,2,Rachel Hunter,24.0,2,3.51,1.68,16.2,Safe
1,2,Joey McIntyre,21.0,3,3.39,1.62,16.8,Safe
1,2,Trista Sutter,19.0,4,5.47,0.69,0.0,Eliminated
1,3,John O'Hurley,24.0,2,2.93,1.46,22.7,Safe
1,3,Kelly Monaco,21.0,4,2.48,1.28,29.3,Safe
1,3,Evander Holyfield,13.0,5,3.83,1.04,1.3,Eliminated
1,3,Rachel Hunter,26.0,1,2.95,1.48,22.7,Safe
1,3,Joey McIntyre,22.0,3,2.81,1.4,24.0,Safe
1,4,John O'Hurley,21.0,3,2.2,0.75,20.0,Safe
1,4,Kelly Monaco,26.0,1,2.6,1.02,20.0,Safe
1,4,Rachel Hunter,25.0,2,3.8,0.4,0.0,Eliminated
1,4,Joey McIntyre,20.0,4,1.4,0.49,60.0,Safe
2,1,Tatum O'Neal,23.0,2,5.41,2.89,10.4,Safe
2,1,Tia Carrere,20.0,6,5.3,2.83,10.7,Safe
2,1,George Hamilton,18.0,8,4.78,2.6,12.2,Safe
2,1,Lisa Rinna,19.0,7,5.11,2.75,11.2,Safe
2,1,Stacy Keibler,22.0,4,5.4,2.88,10.4,Safe
2,1,Jerry Rice,21.0,5,5.38,2.87,10.5,Safe
2,1,Giselle Fernandez,23.0,3,5.41,2.89,10.4,Safe
2,1,Master P,12.0,10,4.27,2.3,13.8,Safe
2,1,Drew Lachey,24.0,1,5.41,2.89,10.4,Safe
2,1,Kenny Mayne,13.0,9,8.55,1.35,0.0,Eliminated
2,2,Tatum O'Neal,17.0,8,7.67,1.25,0.0,Eliminated
2,2,Tia Carrere,22.0,6,4.67,2.49,12.4,Safe
2,2,George Hamilton,22.0,5,4.84,2.56,11.8,Safe
2,2,Lisa Rinna,20.0,7,4.35,2.34,13.6,Safe
2,2,Stacy Keibler,29.0,1,4.91,2.6,11.6,Safe
2,2,Jerry Rice,23.0,4,4.9,2.59,11.7,Safe
2,2,Giselle Fernandez,24.0,3,4.91,2.6,11.6,Safe
2,2,Master P,16.0,9,3.84,2.04,15.7,Safe
2,2,Drew Lachey,27.0,2,4.91,2.6,11.6,Safe
2,3,Tia Carrere,26.0,3,4.48,2.28,12.5,Safe
2,3,George Hamilton,22.0,5,4.19,2.15,13.6,Safe
2,3,Lisa Rinna,25.0,4,4.42,2.25,12.7,Safe
2,3,Stacy Keibler,27.0,1,4.48,2.29,12.5,Safe
2,3,Jerry Rice,19.0,7,3.69,1.87,15.9,Safe
2,3,Giselle Fernandez,22.0,6,7.17,0.93,0.0,Eliminated
2,3,Master P,14.0,8,3.09,1.56,20.2,Safe
2,3,Drew Lachey,27.0,2,4.48,2.29,12.5,Safe
2,4,Tia Carrere,25.0,4,3.83,2.0,16.0,Safe
2,4,George Hamilton,21.0,6,3.28,1.78,20.1,Safe
2,4,Lisa Rinna,26.0,3,3.9,2.04,15.6,Safe
2,4,Stacy Keibler,26.0,2,3.92,2.05,15.5,Safe
2,4,Jerry Rice,24.0,5,3.64,1.92,17.3,Safe
2,4,Master P,8.0,7,5.52,1.27,0.0,Eliminated
2,4,Drew Lachey,28.0,1,3.92,2.05,15.5,Safe
2,5,Tia Carrere,22.0,6,4.67,1.16,0.2,Eliminated
2,5,George Hamilton,24.0,4,3.22,1.66,20.1,Safe
2,5,Lisa Rinna,25.0,3,3.39,1.73,18.7,Safe
2,5,Stacy Keibler,30.0,1,3.43,1.76,18.4,Safe
2,5,Jerry Rice,23.0,5,2.87,1.53,24.1,Safe
2,5,Drew Lachey,27.0,2,3.43,1.76,18.4,Safe
2,6,George Hamilton,23.0,4,4.27,0.79,0.0,Eliminated
2,6,Lisa Rinna,27.0,3,2.73,1.33,23.5,Safe
2,6,Stacy Keibler,30.0,1,2.94,1.45,21.6,Safe
2,6,Jerry Rice,23.0,5,2.14,1.01,33.3,Safe
2,6,Drew Lachey,30.0,2,2.92,1.43,21.6,Safe
2,7,Lisa Rinna,26.5,3,3.45,0.66,0.0,Eliminated
2,7,Stacy Keibler,27.5,1,2.45,1.16,27.3,Safe
2,7,Jerry Rice,20.5,4,1.73,0.75,45.5,Safe
2,7,Drew Lachey,27.5,2,2.36,1.07,27.3,Safe
