celebrity_name,season,start_date,end_date,status
John O'Hurley,1,2005-06-01,2005-07-06,completed
Kelly Monaco,1,2005-06-01,2005-07-06,completed
Evander Holyfield,1,2005-06-01,2005-07-06,completed
Rachel Hunter,1,2005-06-01,2005-07-06,completed
Joey McIntyre,1,2005-06-01,2005-07-06,completed
Trista Sutter,1,2005-06-01,2005-07-06,completed
Tatum O'Neal,2,2006-01-05,2006-02-26,completed
Tia Carrere,2,2006-01-05,2006-02-26,completed
George Hamilton,2,2006-01-05,2006-02-26,completed
Lisa Rinna,2,2006-01-05,2006-02-26,completed
Stacy Keibler,2,2006-01-05,2006-02-26,completed
Jerry Rice,2,2006-01-05,2006-02-26,completed
Giselle Fernandez,2,2006-01-05,2006-02-26,completed
Master P,2,2006-01-05,2006-02-26,completed
Drew Lachey,2,2006-01-05,2006-02-26,completed
Kenny Mayne,2,2006-01-05,2006-02-26,completed
Harry Hamlin,3,2006-09-12,2006-11-15,completed
Vivica A. Fox,3,2006-09-12,2006-11-15,completed
Monique Coleman,3,2006-09-12,2006-11-15,completed
Joey Lawrence,3,2006-09-12,2006-11-15,completed
Mario Lopez,3,2006-09-12,2006-11-15,completed
Emmitt Smith,3,2006-09-12,2006-11-15,completed
Shanna Moakler,3,2006-09-12,2006-11-15,completed
Willa Ford,3,2006-09-12,2006-11-15,completed
Sara Evans,3,2006-09-12,2006-11-15,completed
Jerry Springer,3,2006-09-12,2006-11-15,completed
Tucker Carlson,3,2006-09-12,2006-11-15,completed
John Ratzenberger,4,2007-03-19,2007-05-22,completed
Ian Ziering,4,2007-03-19,2007-05-22,completed
Clyde Drexler,4,2007-03-19,2007-05-22,completed
Laila Ali,4,2007-03-19,2007-05-22,completed
Apolo Anton Ohno,4,2007-03-19,2007-05-22,completed
Shandi Finnessey,4,2007-03-19,2007-05-22,completed
Paulina Porizkova,4,2007-03-19,2007-05-22,completed
Heather Mills,4,2007-03-19,2007-05-22,completed
Billy Ray Cyrus,4,2007-03-19,2007-05-22,completed
Joey Fatone,4,2007-03-19,2007-05-22,completed
Leeza Gibbons,4,2007-03-19,2007-05-22,completed
Cameron Mathison,5,2007-09-24,2007-11-27,completed
Jane Seymour,5,2007-09-24,2007-11-27,completed
Sabrina Bryan,5,2007-09-24,2007-11-27,completed
Jennie Garth,5,2007-09-24,2007-11-27,completed
Floyd Mayweather Jr. ,5,2007-09-24,2007-11-27,completed
Josie Maran,5,2007-09-24,2007-11-27,completed
Albert Reed,5,2007-09-24,2007-11-27,completed
Helio Castroneves,5,2007-09-24,2007-11-27,completed
Mel B,5,2007-09-24,2007-11-27,completed
Wayne Newton,5,2007-09-24,2007-11-27,completed
Marie Osmond,5,2007-09-24,2007-11-27,completed
Mark Cuban,5,2007-09-24,2007-11-27,completed
Cristian de la Fuente,6,2008-03-17,2008-05-20,completed
Steve Guttenberg,6,2008-03-17,2008-05-20,completed
Priscilla Presley,6,2008-03-17,2008-05-20,completed
Marlee Matlin,6,2008-03-17,2008-05-20,completed
Shannon Elizabeth,6,2008-03-17,2008-05-20,completed
Marissa Jaret Winokur,6,2008-03-17,2008-05-20,completed
Jason Taylor,6,2008-03-17,2008-05-20,completed
Kristi Yamaguchi,6,2008-03-17,2008-05-20,completed
Monica Seles,6,2008-03-17,2008-05-20,completed
Penn Jillette,6,2008-03-17,2008-05-20,completed
Adam Carolla,6,2008-03-17,2008-05-20,completed
Mario,6,2008-03-17,2008-05-20,completed
Ted McGinley,7,2008-09-22,2008-11-25,completed
Cloris Leachman,7,2008-09-22,2008-11-25,completed
Susan Lucci,7,2008-09-22,2008-11-25,completed
Cody Linley,7,2008-09-22,2008-11-25,completed
Misty May-Treanor,7,2008-09-22,2008-11-25,completed
Maurice Greene,7,2008-09-22,2008-11-25,completed
Warren Sapp,7,2008-09-22,2008-11-25,completed
Jeffrey Ross,7,2008-09-22,2008-11-25,completed
Toni Braxton,7,2008-09-22,2008-11-25,completed
Lance Bass,7,2008-09-22,2008-11-25,completed
Kim Kardashian,7,2008-09-22,2008-11-25,completed
Rocco DiSpirito,7,2008-09-22,2008-11-25,completed
Brooke Burke,7,2008-09-22,2008-11-25,completed
Gilles Marini,8,2009-03-09,2009-05-19,completed
Denise Richards,8,2009-03-09,2009-05-19,completed
David Alan Grier,8,2009-03-09,2009-05-19,completed
Lawrence Taylor,8,2009-03-09,2009-05-19,completed
Ty Murray,8,2009-03-09,2009-05-19,completed
Shawn Johnson,8,2009-03-09,2009-05-19,completed
Steve Wozniak,8,2009-03-09,2009-05-19,completed
Belinda Carlisle,8,2009-03-09,2009-05-19,completed
Chuck Wicks,8,2009-03-09,2009-05-19,completed
Lil' Kim,8,2009-03-09,2009-05-19,completed
Steve-O,8,2009-03-09,2009-05-19,completed
Holly Madison,8,2009-03-09,2009-05-19,completed
Melissa Rycroft,8,2009-03-09,2009-05-19,completed
Ashley Hamiliton,9,2009-09-21,2009-11-24,completed
Debi Mazar,9,2009-09-21,2009-11-24,completed
Melissa Joan Hart,9,2009-09-21,2009-11-24,completed
Mark Dacascos,9,2009-09-21,2009-11-24,completed
Chuck Liddell,9,2009-09-21,2009-11-24,completed
Natalie Coughlin,9,2009-09-21,2009-11-24,completed
Louie Vito,9,2009-09-21,2009-11-24,completed
Michael Irvin,9,2009-09-21,2009-11-24,completed
Joanna Krupa,9,2009-09-21,2009-11-24,completed
Kathy Ireland,9,2009-09-21,2009-11-24,completed
Tom DeLay,9,2009-09-21,2009-11-24,completed
Macy Gray,9,2009-09-21,2009-11-24,completed
Aaron Carter,9,2009-09-21,2009-11-24,completed
Mya,9,2009-09-21,2009-11-24,completed
Donny Osmond,9,2009-09-21,2009-11-24,completed
Kelly Osbourne,9,2009-09-21,2009-11-24,completed
Aiden Turner,10,2010-03-22,2010-05-25,completed
Shannen Doherty,10,2010-03-22,2010-05-25,completed
Niecy Nash,10,2010-03-22,2010-05-25,completed
Buzz Aldrin,10,2010-03-22,2010-05-25,completed
Chad Ochocinco,10,2010-03-22,2010-05-25,completed
Evan Lysacek,10,2010-03-22,2010-05-25,completed
Pamela Anderson,10,2010-03-22,2010-05-25,completed
Nicole Scherzinger,10,2010-03-22,2010-05-25,completed
Erin Andrews,10,2010-03-22,2010-05-25,completed
Kate Gosselin,10,2010-03-22,2010-05-25,completed
Jake Pavelka,10,2010-03-22,2010-05-25,completed
David Hasselhoff,11,2010-09-20,2010-11-23,completed
Florence Henderson,11,2010-09-20,2010-11-23,completed
Kyle Massey,11,2010-09-20,2010-11-23,completed
Jennifer Grey,11,2010-09-20,2010-11-23,completed
Rick Fox,11,2010-09-20,2010-11-23,completed
Kurt Warner,11,2010-09-20,2010-11-23,completed
Margaret Cho,11,2010-09-20,2010-11-23,completed
Michael Bolton,11,2010-09-20,2010-11-23,completed
Brandy,11,2010-09-20,2010-11-23,completed
The Situation,11,2010-09-20,2010-11-23,completed
Audrina Patridge,11,2010-09-20,2010-11-23,completed
Bristol Palin,11,2010-09-20,2010-11-23,completed
Ralph Macchio,12,2011-03-21,2011-05-24,completed
Chelsea Kane,12,2011-03-21,2011-05-24,completed
Kirstie Alley,12,2011-03-21,2011-05-24,completed
Hines Ward,12,2011-03-21,2011-05-24,completed
Sugar Ray Leonard,12,2011-03-21,2011-05-24,completed
Chris Jericho,12,2011-03-21,2011-05-24,completed
Petra Nemcova,12,2011-03-21,2011-05-24,completed
Mike Catherwood,12,2011-03-21,2011-05-24,completed
Romeo,12,2011-03-21,2011-05-24,completed
Wendy Williams,12,2011-03-21,2011-05-24,completed
Kendra Wilkinson,12,2011-03-21,2011-05-24,completed
Elisabetta Canalis,13,2011-09-19,2011-11-22,completed
David Arquette,13,2011-09-19,2011-11-22,completed
Ricki Lake,13,2011-09-19,2011-11-22,completed
J.R. Martinez,13,2011-09-19,2011-11-22,completed
Metta World Peace (Ron),13,2011-09-19,2011-11-22,completed
Hope Solo,13,2011-09-19,2011-11-22,completed
Chynna Phillips,13,2011-09-19,2011-11-22,completed
Kristin Cavallari,13,2011-09-19,2011-11-22,completed
Carson Kressley,13,2011-09-19,2011-11-22,completed
Chaz Bono,13,2011-09-19,2011-11-22,completed
Nancy Grace,13,2011-09-19,2011-11-22,completed
Rob Kardashian,13,2011-09-19,2011-11-22,completed
William Levy,14,2012-03-19,2012-05-22,completed
Jack Wagner,14,2012-03-19,2012-05-22,completed
Sherri Sheperd,14,2012-03-19,2012-05-22,completed
Jaleel White,14,2012-03-19,2012-05-22,completed
Roshon Fegan,14,2012-03-19,2012-05-22,completed
Melissa Gilbert,14,2012-03-19,2012-05-22,completed
Martina Navratilova,14,2012-03-19,2012-05-22,completed
Donald Driver,14,2012-03-19,2012-05-22,completed
Gavin DeGraw,14,2012-03-19,2012-05-22,completed
Gladys Knight,14,2012-03-19,2012-05-22,completed
Katherine Jenkins,14,2012-03-19,2012-05-22,completed
Maria Menounos,14,2012-03-19,2012-05-22,completed
Gilles Marini,15,2012-09-24,2012-11-27,completed
Sabrina Bryan,15,2012-09-24,2012-11-27,completed
Kirstie Alley,15,2012-09-24,2012-11-27,completed
Kelly Monaco,15,2012-09-24,2012-11-27,completed
Apolo Anton Ohno,15,2012-09-24,2012-11-27,completed
Emmitt Smith,15,2012-09-24,2012-11-27,completed
Shawn Johnson,15,2012-09-24,2012-11-27,completed
Pamela Anderson,15,2012-09-24,2012-11-27,completed
Helio Castroneves,15,2012-09-24,2012-11-27,completed
Joey Fatone,15,2012-09-24,2012-11-27,completed
Drew Lachey,15,2012-09-24,2012-11-27,completed
Bristol Palin,15,2012-09-24,2012-11-27,completed
Melissa Rycroft,15,2012-09-24,2012-11-27,completed
Ingo Rademacher,16,2013-03-18,2013-05-21,completed
Zendaya,16,2013-03-18,2013-05-21,completed
Dorothy Hamill,16,2013-03-18,2013-05-21,completed
Victor Ortiz,16,2013-03-18,2013-05-21,completed
Alexandra Raisman,16,2013-03-18,2013-05-21,completed
Jacoby Jones,16,2013-03-18,2013-05-21,completed
D. L. Hughley,16,2013-03-18,2013-05-21,completed
Andy Dick,16,2013-03-18,2013-05-21,completed
Wynonna Judd,16,2013-03-18,2013-05-21,completed
Kellie Pickler,16,2013-03-18,2013-05-21,completed
Lisa Vanderpump,16,2013-03-18,2013-05-21,completed
Sean Lowe,16,2013-03-18,2013-05-21,completed
Valerie Harper,17,2013-09-16,2013-11-26,completed
Brant Daugherty,17,2013-09-16,2013-11-26,completed
Elizabeth Berkley Lauren,17,2013-09-16,2013-11-26,completed
Leah Remini,17,2013-09-16,2013-11-26,completed
Corbin Bleu,17,2013-09-16,2013-11-26,completed
Amber Riley,17,2013-09-16,2013-11-26,completed
Keyshawn Johnson,17,2013-09-16,2013-11-26,completed
Bill Engvall,17,2013-09-16,2013-11-26,completed
Christina Milian,17,2013-09-16,2013-11-26,completed
"Nicole ""Snooki"" Polizzi",17,2013-09-16,2013-11-26,completed
Jack Osbourne,17,2013-09-16,2013-11-26,completed
Bill Nye,17,2013-09-16,2013-11-26,completed
Billy Dee Williams,18,2014-03-17,2014-05-20,completed
Danica McKellar,18,2014-03-17,2014-05-20,completed
James Maslow,18,2014-03-17,2014-05-20,completed
Candace Cameron Bure,18,2014-03-17,2014-05-20,completed
Sean Avery,18,2014-03-17,2014-05-20,completed
Diana Nyad,18,2014-03-17,2014-05-20,completed
Charlie White,18,2014-03-17,2014-05-20,completed
Amy Purdy,18,2014-03-17,2014-05-20,completed
Meryl Davis,18,2014-03-17,2014-05-20,completed
Drew Carey,18,2014-03-17,2014-05-20,completed
Cody Simpson,18,2014-03-17,2014-05-20,completed
NeNe Leakes,18,2014-03-17,2014-05-20,completed
Antonio Sabato Jr.,19,2014-09-15,2014-11-25,completed
Jonathan Bennett,19,2014-09-15,2014-11-25,completed
Lea Thompson,19,2014-09-15,2014-11-25,completed
Janel Parrish,19,2014-09-15,2014-11-25,completed
Alfonso Ribeiro,19,2014-09-15,2014-11-25,completed
Lolo Jones,19,2014-09-15,2014-11-25,completed
Randy Couture,19,2014-09-15,2014-11-25,completed
Tommy Chong,19,2014-09-15,2014-11-25,completed
