date,Rachel Hunter,Dancing with the Stars,normalized_score
2005-06-01,8,9,88.88888888888889
2005-06-02,9,45,20.0
2005-06-03,3,9,33.33333333333333
2005-06-04,15,0,0.0
2005-06-05,10,7,142.85714285714286
2005-06-06,5,14,35.714285714285715
2005-06-07,0,7,0.0
2005-06-08,0,10,0.0
2005-06-09,10,52,19.230769230769234
2005-06-10,0,18,0.0
2005-06-11,0,7,0.0
2005-06-12,0,12,0.0
2005-06-13,0,6,0.0
2005-06-14,4,8,50.0
2005-06-15,4,11,36.36363636363637
2005-06-16,14,63,22.22222222222222
2005-06-17,3,13,23.076923076923077
2005-06-18,0,7,0.0
2005-06-19,0,7,0.0
2005-06-20,4,8,50.0
2005-06-21,0,8,0.0
2005-06-22,0,17,0.0
2005-06-23,20,70,28.57142857142857
2005-06-24,7,19,36.84210526315789
2005-06-25,0,11,0.0
2005-06-26,6,10,60.0
2005-06-27,4,7,57.14285714285714
2005-06-28,6,13,46.15384615384615
2005-06-29,6,22,27.27272727272727
2005-06-30,11,100,11.0
2005-07-01,8,23,34.78260869565217
2005-07-02,9,15,60.0
2005-07-03,0,9,0.0
2005-07-04,0,14,0.0
2005-07-05,4,8,50.0
2005-07-06,3,34,8.823529411764707
