date,Jerry Rice,Dancing with the Stars,normalized_score
2006-01-05,1,14,7.142857142857142
2006-01-06,3,44,6.8181818181818175
2006-01-07,1,45,2.2222222222222223
2006-01-08,2,17,11.76470588235294
2006-01-09,1,17,5.88235294117647
2006-01-10,0,8,0.0
2006-01-11,1,6,16.666666666666664
2006-01-12,1,10,10.0
2006-01-13,2,40,5.0
2006-01-14,2,59,3.389830508474576
2006-01-15,0,20,0.0
2006-01-16,0,14,0.0
2006-01-17,1,9,11.11111111111111
2006-01-18,1,9,11.11111111111111
2006-01-19,1,10,10.0
2006-01-20,1,36,2.7777777777777777
2006-01-21,1,68,1.4705882352941175
2006-01-22,1,19,5.263157894736842
2006-01-23,1,16,6.25
2006-01-24,0,11,0.0
2006-01-25,1,7,14.285714285714285
2006-01-26,0,9,0.0
2006-01-27,3,45,6.666666666666667
2006-01-28,1,58,1.7241379310344827
2006-01-29,1,20,5.0
2006-01-30,1,15,6.666666666666667
2006-01-31,1,9,11.11111111111111
2006-02-01,1,5,20.0
2006-02-02,1,8,12.5
2006-02-03,3,42,7.142857142857142
2006-02-04,2,50,4.0
2006-02-05,2,19,10.526315789473683
2006-02-06,1,19,5.263157894736842
2006-02-07,1,9,11.11111111111111
2006-02-08,1,6,16.666666666666664
2006-02-09,1,8,12.5
2006-02-10,2,40,5.0
2006-02-11,1,55,1.8181818181818181
2006-02-12,0,18,0.0
2006-02-13,0,15,0.0
2006-02-14,1,9,11.11111111111111
2006-02-15,1,11,9.090909090909092
2006-02-16,1,13,7.6923076923076925
2006-02-17,2,46,4.3478260869565215
2006-02-18,3,77,3.896103896103896
2006-02-19,0,27,0.0
2006-02-20,1,23,4.3478260869565215
2006-02-21,1,13,7.6923076923076925
2006-02-22,1,8,12.5
2006-02-23,1,17,5.88235294117647
2006-02-24,2,100,2.0
2006-02-25,1,32,3.125
2006-02-26,1,25,4.0
