date,Lisa Rinna,Dancing with the Stars,normalized_score
2006-01-05,1,14,7.142857142857142
2006-01-06,4,44,9.090909090909092
2006-01-07,2,45,4.444444444444445
2006-01-08,1,17,5.88235294117647
2006-01-09,1,17,5.88235294117647
2006-01-10,1,8,12.5
2006-01-11,1,6,16.666666666666664
2006-01-12,1,10,10.0
2006-01-13,3,40,7.5
2006-01-14,4,59,6.779661016949152
2006-01-15,2,20,10.0
2006-01-16,1,14,7.142857142857142
2006-01-17,2,9,22.22222222222222
2006-01-18,1,9,11.11111111111111
2006-01-19,1,10,10.0
2006-01-20,5,36,13.88888888888889
2006-01-21,5,68,7.352941176470589
2006-01-22,2,19,10.526315789473683
2006-01-23,2,16,12.5
2006-01-24,1,11,9.090909090909092
2006-01-25,0,7,0.0
2006-01-26,1,9,11.11111111111111
2006-01-27,6,45,13.333333333333334
2006-01-28,4,58,6.896551724137931
2006-01-29,1,20,5.0
2006-01-30,1,15,6.666666666666667
2006-01-31,1,9,11.11111111111111
2006-02-01,1,5,20.0
2006-02-02,1,8,12.5
2006-02-03,3,42,7.142857142857142
2006-02-04,3,50,6.0
2006-02-05,2,19,10.526315789473683
2006-02-06,1,19,5.263157894736842
2006-02-07,1,9,11.11111111111111
2006-02-08,1,6,16.666666666666664
2006-02-09,1,8,12.5
2006-02-10,4,40,10.0
2006-02-11,3,55,5.454545454545454
2006-02-12,2,18,11.11111111111111
2006-02-13,1,15,6.666666666666667
2006-02-14,1,9,11.11111111111111
2006-02-15,5,11,45.45454545454545
2006-02-16,3,13,23.076923076923077
2006-02-17,6,46,13.043478260869565
2006-02-18,7,77,9.090909090909092
2006-02-19,2,27,7.4074074074074066
2006-02-20,3,23,13.043478260869565
2006-02-21,3,13,23.076923076923077
2006-02-22,2,8,25.0
2006-02-23,3,17,17.647058823529413
2006-02-24,3,100,3.0
2006-02-25,3,32,9.375
2006-02-26,2,25,8.0
