date,Master P,Dancing with the Stars,normalized_score
2006-01-05,0,14,0.0
2006-01-06,3,44,6.8181818181818175
2006-01-07,1,45,2.2222222222222223
2006-01-08,0,17,0.0
2006-01-09,0,17,0.0
2006-01-10,1,8,12.5
2006-01-11,1,6,16.666666666666664
2006-01-12,1,10,10.0
2006-01-13,2,40,5.0
2006-01-14,2,59,3.389830508474576
2006-01-15,2,20,10.0
2006-01-16,1,14,7.142857142857142
2006-01-17,1,9,11.11111111111111
2006-01-18,1,9,11.11111111111111
2006-01-19,0,10,0.0
2006-01-20,2,36,5.555555555555555
2006-01-21,2,68,2.941176470588235
2006-01-22,2,19,10.526315789473683
2006-01-23,1,16,6.25
2006-01-24,1,11,9.090909090909092
2006-01-25,1,7,14.285714285714285
2006-01-26,0,9,0.0
2006-01-27,2,45,4.444444444444445
2006-01-28,4,58,6.896551724137931
2006-01-29,1,20,5.0
2006-01-30,1,15,6.666666666666667
2006-01-31,1,9,11.11111111111111
2006-02-01,1,5,20.0
2006-02-02,0,8,0.0
2006-02-03,1,42,2.380952380952381
2006-02-04,0,50,0.0
2006-02-05,0,19,0.0
2006-02-06,1,19,5.263157894736842
2006-02-07,0,9,0.0
2006-02-08,0,6,0.0
2006-02-09,0,8,0.0
2006-02-10,0,40,0.0
2006-02-11,1,55,1.8181818181818181
2006-02-12,0,18,0.0
2006-02-13,0,15,0.0
2006-02-14,0,9,0.0
2006-02-15,0,11,0.0
2006-02-16,0,13,0.0
2006-02-17,0,46,0.0
2006-02-18,0,77,0.0
2006-02-19,0,27,0.0
2006-02-20,0,23,0.0
2006-02-21,0,13,0.0
2006-02-22,1,8,12.5
2006-02-23,1,17,5.88235294117647
2006-02-24,0,100,0.0
2006-02-25,0,32,0.0
2006-02-26,0,25,0.0
