date,Stacy Keibler,Dancing with the Stars,normalized_score
2006-01-05,8,14,57.14285714285714
2006-01-06,11,44,25.0
2006-01-07,5,45,11.11111111111111
2006-01-08,4,17,23.52941176470588
2006-01-09,3,17,17.647058823529413
2006-01-10,2,8,25.0
2006-01-11,2,6,33.33333333333333
2006-01-12,1,10,10.0
2006-01-13,14,40,35.0
2006-01-14,15,59,25.423728813559322
2006-01-15,4,20,20.0
2006-01-16,4,14,28.57142857142857
2006-01-17,3,9,33.33333333333333
2006-01-18,3,9,33.33333333333333
2006-01-19,3,10,30.0
2006-01-20,7,36,19.444444444444446
2006-01-21,8,68,11.76470588235294
2006-01-22,5,19,26.31578947368421
2006-01-23,3,16,18.75
2006-01-24,3,11,27.27272727272727
2006-01-25,3,7,42.857142857142854
2006-01-26,2,9,22.22222222222222
2006-01-27,8,45,17.77777777777778
2006-01-28,6,58,10.344827586206897
2006-01-29,3,20,15.0
2006-01-30,3,15,20.0
2006-01-31,2,9,22.22222222222222
2006-02-01,2,5,40.0
2006-02-02,3,8,37.5
2006-02-03,12,42,28.57142857142857
2006-02-04,13,50,26.0
2006-02-05,7,19,36.84210526315789
2006-02-06,6,19,31.57894736842105
2006-02-07,6,9,66.66666666666666
2006-02-08,4,6,66.66666666666666
2006-02-09,3,8,37.5
2006-02-10,14,40,35.0
2006-02-11,13,55,23.636363636363637
2006-02-12,6,18,33.33333333333333
2006-02-13,5,15,33.33333333333333
2006-02-14,4,9,44.44444444444444
2006-02-15,5,11,45.45454545454545
2006-02-16,9,13,69.23076923076923
2006-02-17,16,46,34.78260869565217
2006-02-18,14,77,18.181818181818183
2006-02-19,7,27,25.925925925925924
2006-02-20,8,23,34.78260869565217
2006-02-21,7,13,53.84615384615385
2006-02-22,6,8,75.0
2006-02-23,8,17,47.05882352941176
2006-02-24,17,100,17.0
2006-02-25,11,32,34.375
2006-02-26,11,25,44.0
