date,Tia Carrere,Dancing with the Stars,normalized_score
2006-01-05,1,14,7.142857142857142
2006-01-06,2,44,4.545454545454546
2006-01-07,0,45,0.0
2006-01-08,0,17,0.0
2006-01-09,0,17,0.0
2006-01-10,0,8,0.0
2006-01-11,0,6,0.0
2006-01-12,0,10,0.0
2006-01-13,0,40,0.0
2006-01-14,1,59,1.694915254237288
2006-01-15,0,20,0.0
2006-01-16,0,14,0.0
2006-01-17,1,9,11.11111111111111
2006-01-18,0,9,0.0
2006-01-19,0,10,0.0
2006-01-20,2,36,5.555555555555555
2006-01-21,1,68,1.4705882352941175
2006-01-22,0,19,0.0
2006-01-23,1,16,6.25
2006-01-24,0,11,0.0
2006-01-25,0,7,0.0
2006-01-26,0,9,0.0
2006-01-27,1,45,2.2222222222222223
2006-01-28,0,58,0.0
2006-01-29,0,20,0.0
2006-01-30,1,15,6.666666666666667
2006-01-31,0,9,0.0
2006-02-01,0,5,0.0
2006-02-02,1,8,12.5
2006-02-03,1,42,2.380952380952381
2006-02-04,1,50,2.0
2006-02-05,0,19,0.0
2006-02-06,1,19,5.263157894736842
2006-02-07,1,9,11.11111111111111
2006-02-08,0,6,0.0
2006-02-09,0,8,0.0
2006-02-10,0,40,0.0
2006-02-11,0,55,0.0
2006-02-12,0,18,0.0
2006-02-13,0,15,0.0
2006-02-14,0,9,0.0
2006-02-15,0,11,0.0
2006-02-16,0,13,0.0
2006-02-17,0,46,0.0
2006-02-18,0,77,0.0
2006-02-19,0,27,0.0
2006-02-20,0,23,0.0
2006-02-21,0,13,0.0
2006-02-22,0,8,0.0
2006-02-23,0,17,0.0
2006-02-24,0,100,0.0
2006-02-25,0,32,0.0
2006-02-26,0,25,0.0
