date,Jerry Springer,Dancing with the Stars,normalized_score
2006-09-12,1,16,6.25
2006-09-13,2,50,4.0
2006-09-14,1,40,2.5
2006-09-15,1,10,10.0
2006-09-16,1,6,16.666666666666664
2006-09-17,1,4,25.0
2006-09-18,1,4,25.0
2006-09-19,1,8,12.5
2006-09-20,2,32,6.25
2006-09-21,1,36,2.7777777777777777
2006-09-22,0,8,0.0
2006-09-23,0,4,0.0
2006-09-24,1,3,33.33333333333333
2006-09-25,0,4,0.0
2006-09-26,1,5,20.0
2006-09-27,1,38,2.631578947368421
2006-09-28,1,39,2.564102564102564
2006-09-29,1,9,11.11111111111111
2006-09-30,0,5,0.0
2006-10-01,1,4,25.0
2006-10-02,0,3,0.0
2006-10-03,1,6,16.666666666666664
2006-10-04,3,30,10.0
2006-10-05,2,39,5.128205128205128
2006-10-06,1,9,11.11111111111111
2006-10-07,1,5,20.0
2006-10-08,0,3,0.0
2006-10-09,1,4,25.0
2006-10-10,1,6,16.666666666666664
2006-10-11,2,30,6.666666666666667
2006-10-12,2,41,4.878048780487805
2006-10-13,1,47,2.127659574468085
2006-10-14,1,20,5.0
2006-10-15,0,12,0.0
2006-10-16,1,14,7.142857142857142
2006-10-17,1,15,6.666666666666667
2006-10-18,1,64,1.5625
2006-10-19,2,43,4.651162790697675
2006-10-20,1,10,10.0
2006-10-21,1,7,14.285714285714285
2006-10-22,0,4,0.0
2006-10-23,0,3,0.0
2006-10-24,1,6,16.666666666666664
2006-10-25,2,28,7.142857142857142
2006-10-26,3,39,7.6923076923076925
2006-10-27,1,10,10.0
2006-10-28,1,6,16.666666666666664
2006-10-29,1,5,20.0
2006-10-30,1,4,25.0
2006-10-31,1,6,16.666666666666664
2006-11-01,1,32,3.125
2006-11-02,1,55,1.8181818181818181
2006-11-03,1,16,6.25
2006-11-04,0,10,0.0
2006-11-05,1,5,20.0
2006-11-06,0,5,0.0
2006-11-07,1,6,16.666666666666664
2006-11-08,1,40,2.5
2006-11-09,1,63,1.5873015873015872
2006-11-10,0,16,0.0
2006-11-11,0,9,0.0
2006-11-12,0,6,0.0
2006-11-13,0,7,0.0
2006-11-14,0,13,0.0
2006-11-15,1,100,1.0
