date,Joey Lawrence,Dancing with the Stars,normalized_score
2006-09-12,1,17,5.88235294117647
2006-09-13,5,53,9.433962264150944
2006-09-14,2,41,4.878048780487805
2006-09-15,0,10,0.0
2006-09-16,0,6,0.0
2006-09-17,0,5,0.0
2006-09-18,0,5,0.0
2006-09-19,0,8,0.0
2006-09-20,9,33,27.27272727272727
2006-09-21,4,37,10.81081081081081
2006-09-22,1,9,11.11111111111111
2006-09-23,1,4,25.0
2006-09-24,0,3,0.0
2006-09-25,0,4,0.0
2006-09-26,0,6,0.0
2006-09-27,5,39,12.82051282051282
2006-09-28,2,40,5.0
2006-09-29,1,9,11.11111111111111
2006-09-30,0,5,0.0
2006-10-01,0,4,0.0
2006-10-02,0,3,0.0
2006-10-03,0,6,0.0
2006-10-04,4,31,12.903225806451612
2006-10-05,2,40,5.0
2006-10-06,0,9,0.0
2006-10-07,1,5,20.0
2006-10-08,0,3,0.0
2006-10-09,0,4,0.0
2006-10-10,0,6,0.0
2006-10-11,3,31,9.67741935483871
2006-10-12,2,42,4.761904761904762
2006-10-13,1,46,2.1739130434782608
2006-10-14,1,21,4.761904761904762
2006-10-15,0,13,0.0
2006-10-16,0,14,0.0
2006-10-17,1,15,6.666666666666667
2006-10-18,4,58,6.896551724137931
2006-10-19,2,45,4.444444444444445
2006-10-20,0,11,0.0
2006-10-21,1,7,14.285714285714285
2006-10-22,1,4,25.0
2006-10-23,0,3,0.0
2006-10-24,0,6,0.0
2006-10-25,6,29,20.689655172413794
2006-10-26,4,40,10.0
2006-10-27,0,10,0.0
2006-10-28,0,6,0.0
2006-10-29,1,5,20.0
2006-10-30,0,4,0.0
2006-10-31,1,6,16.666666666666664
2006-11-01,4,33,12.121212121212121
2006-11-02,3,52,5.769230769230769
2006-11-03,1,16,6.25
2006-11-04,1,10,10.0
2006-11-05,0,6,0.0
2006-11-06,0,5,0.0
2006-11-07,0,6,0.0
2006-11-08,6,42,14.285714285714285
2006-11-09,9,66,13.636363636363635
2006-11-10,2,16,12.5
2006-11-11,1,9,11.11111111111111
2006-11-12,1,6,16.666666666666664
2006-11-13,1,7,14.285714285714285
2006-11-14,1,13,7.6923076923076925
2006-11-15,1,100,1.0
