date,Mario Lopez,Dancing with the Stars,normalized_score
2006-09-12,0,17,0.0
2006-09-13,6,53,11.320754716981133
2006-09-14,3,41,7.317073170731707
2006-09-15,1,10,10.0
2006-09-16,1,6,16.666666666666664
2006-09-17,1,5,20.0
2006-09-18,1,5,20.0
2006-09-19,1,8,12.5
2006-09-20,11,33,33.33333333333333
2006-09-21,5,37,13.513513513513514
2006-09-22,2,9,22.22222222222222
2006-09-23,2,4,50.0
2006-09-24,2,3,66.66666666666666
2006-09-25,1,4,25.0
2006-09-26,2,6,33.33333333333333
2006-09-27,12,39,30.76923076923077
2006-09-28,5,40,12.5
2006-09-29,1,9,11.11111111111111
2006-09-30,2,5,40.0
2006-10-01,1,4,25.0
2006-10-02,1,3,33.33333333333333
2006-10-03,1,6,16.666666666666664
2006-10-04,6,31,19.35483870967742
2006-10-05,4,40,10.0
2006-10-06,2,9,22.22222222222222
2006-10-07,1,5,20.0
2006-10-08,1,3,33.33333333333333
2006-10-09,1,4,25.0
2006-10-10,1,6,16.666666666666664
2006-10-11,8,31,25.806451612903224
2006-10-12,4,42,9.523809523809524
2006-10-13,2,46,4.3478260869565215
2006-10-14,2,21,9.523809523809524
2006-10-15,1,13,7.6923076923076925
2006-10-16,1,14,7.142857142857142
2006-10-17,1,15,6.666666666666667
2006-10-18,5,58,8.620689655172415
2006-10-19,5,45,11.11111111111111
2006-10-20,1,11,9.090909090909092
2006-10-21,2,7,28.57142857142857
2006-10-22,1,4,25.0
2006-10-23,1,3,33.33333333333333
2006-10-24,1,6,16.666666666666664
2006-10-25,3,29,10.344827586206897
2006-10-26,3,40,7.5
2006-10-27,1,10,10.0
2006-10-28,1,6,16.666666666666664
2006-10-29,1,5,20.0
2006-10-30,1,4,25.0
2006-10-31,1,6,16.666666666666664
2006-11-01,3,33,9.090909090909092
2006-11-02,3,52,5.769230769230769
2006-11-03,1,16,6.25
2006-11-04,1,10,10.0
2006-11-05,1,6,16.666666666666664
2006-11-06,1,5,20.0
2006-11-07,1,6,16.666666666666664
2006-11-08,5,42,11.904761904761903
2006-11-09,5,66,7.575757575757576
2006-11-10,2,16,12.5
2006-11-11,2,9,22.22222222222222
2006-11-12,2,6,33.33333333333333
2006-11-13,1,7,14.285714285714285
2006-11-14,2,13,15.384615384615385
2006-11-15,19,100,19.0
