date,Sara Evans,Dancing with the Stars,normalized_score
2006-09-12,1,14,7.142857142857142
2006-09-13,2,43,4.651162790697675
2006-09-14,1,34,2.941176470588235
2006-09-15,1,8,12.5
2006-09-16,1,5,20.0
2006-09-17,1,4,25.0
2006-09-18,1,4,25.0
2006-09-19,1,7,14.285714285714285
2006-09-20,2,27,7.4074074074074066
2006-09-21,1,31,3.225806451612903
2006-09-22,1,7,14.285714285714285
2006-09-23,1,4,25.0
2006-09-24,1,2,50.0
2006-09-25,1,3,33.33333333333333
2006-09-26,1,5,20.0
2006-09-27,2,32,6.25
2006-09-28,3,33,9.090909090909092
2006-09-29,2,8,25.0
2006-09-30,1,4,25.0
2006-10-01,0,4,0.0
2006-10-02,0,2,0.0
2006-10-03,1,5,20.0
2006-10-04,2,26,7.6923076923076925
2006-10-05,2,33,6.0606060606060606
2006-10-06,1,7,14.285714285714285
2006-10-07,1,4,25.0
2006-10-08,1,2,50.0
2006-10-09,0,3,0.0
2006-10-10,1,5,20.0
2006-10-11,2,25,8.0
2006-10-12,2,35,5.714285714285714
2006-10-13,43,40,107.5
2006-10-14,26,17,152.94117647058823
2006-10-15,12,10,120.0
2006-10-16,17,12,141.66666666666669
2006-10-17,15,13,115.38461538461537
2006-10-18,100,54,185.1851851851852
2006-10-19,28,37,75.67567567567568
2006-10-20,13,9,144.44444444444443
2006-10-21,12,6,200.0
2006-10-22,7,3,233.33333333333334
2006-10-23,7,3,233.33333333333334
2006-10-24,5,5,100.0
2006-10-25,5,24,20.833333333333336
2006-10-26,5,33,15.151515151515152
2006-10-27,5,9,55.55555555555556
2006-10-28,3,5,60.0
2006-10-29,2,4,50.0
2006-10-30,2,3,66.66666666666666
2006-10-31,2,5,40.0
2006-11-01,3,28,10.714285714285714
2006-11-02,2,47,4.25531914893617
2006-11-03,2,13,15.384615384615385
2006-11-04,1,9,11.11111111111111
2006-11-05,2,5,40.0
2006-11-06,2,4,50.0
2006-11-07,5,5,100.0
2006-11-08,3,35,8.571428571428571
2006-11-09,2,54,3.7037037037037033
2006-11-10,1,13,7.6923076923076925
2006-11-11,2,8,25.0
2006-11-12,1,5,20.0
2006-11-13,1,6,16.666666666666664
2006-11-14,1,11,9.090909090909092
2006-11-15,1,86,1.1627906976744187
