date,Shanna Moakler,Dancing with the Stars,normalized_score
2006-09-12,1,17,5.88235294117647
2006-09-13,4,53,7.547169811320755
2006-09-14,2,41,4.878048780487805
2006-09-15,1,10,10.0
2006-09-16,1,6,16.666666666666664
2006-09-17,0,5,0.0
2006-09-18,1,5,20.0
2006-09-19,1,8,12.5
2006-09-20,2,33,6.0606060606060606
2006-09-21,3,37,8.108108108108109
2006-09-22,1,9,11.11111111111111
2006-09-23,0,4,0.0
2006-09-24,0,3,0.0
2006-09-25,0,4,0.0
2006-09-26,0,6,0.0
2006-09-27,0,39,0.0
2006-09-28,1,40,2.5
2006-09-29,0,9,0.0
2006-09-30,0,5,0.0
2006-10-01,0,4,0.0
2006-10-02,0,3,0.0
2006-10-03,0,6,0.0
2006-10-04,22,31,70.96774193548387
2006-10-05,15,40,37.5
2006-10-06,3,9,33.33333333333333
2006-10-07,2,5,40.0
2006-10-08,1,3,33.33333333333333
2006-10-09,1,4,25.0
2006-10-10,1,6,16.666666666666664
2006-10-11,1,31,3.225806451612903
2006-10-12,1,42,2.380952380952381
2006-10-13,1,46,2.1739130434782608
2006-10-14,1,21,4.761904761904762
2006-10-15,1,13,7.6923076923076925
2006-10-16,1,14,7.142857142857142
2006-10-17,1,15,6.666666666666667
2006-10-18,0,58,0.0
2006-10-19,1,45,2.2222222222222223
2006-10-20,0,11,0.0
2006-10-21,0,7,0.0
2006-10-22,0,4,0.0
2006-10-23,0,3,0.0
2006-10-24,1,6,16.666666666666664
2006-10-25,0,29,0.0
2006-10-26,0,40,0.0
2006-10-27,1,10,10.0
2006-10-28,0,6,0.0
2006-10-29,0,5,0.0
2006-10-30,0,4,0.0
2006-10-31,0,6,0.0
2006-11-01,0,33,0.0
2006-11-02,0,52,0.0
2006-11-03,1,16,6.25
2006-11-04,1,10,10.0
2006-11-05,1,6,16.666666666666664
2006-11-06,1,5,20.0
2006-11-07,1,6,16.666666666666664
2006-11-08,1,42,2.380952380952381
2006-11-09,1,66,1.5151515151515151
2006-11-10,0,16,0.0
2006-11-11,1,9,11.11111111111111
2006-11-12,1,6,16.666666666666664
2006-11-13,0,7,0.0
2006-11-14,0,13,0.0
2006-11-15,0,100,0.0
