date,Vivica A. Fox,Dancing with the Stars,normalized_score
2006-09-12,0,17,0.0
2006-09-13,0,53,0.0
2006-09-14,0,41,0.0
2006-09-15,0,10,0.0
2006-09-16,0,6,0.0
2006-09-17,0,5,0.0
2006-09-18,0,5,0.0
2006-09-19,0,8,0.0
2006-09-20,0,33,0.0
2006-09-21,0,37,0.0
2006-09-22,0,9,0.0
2006-09-23,0,4,0.0
2006-09-24,0,3,0.0
2006-09-25,0,4,0.0
2006-09-26,0,6,0.0
2006-09-27,0,39,0.0
2006-09-28,0,40,0.0
2006-09-29,0,9,0.0
2006-09-30,0,5,0.0
2006-10-01,0,4,0.0
2006-10-02,0,3,0.0
2006-10-03,0,6,0.0
2006-10-04,0,31,0.0
2006-10-05,1,40,2.5
2006-10-06,0,9,0.0
2006-10-07,0,5,0.0
2006-10-08,0,3,0.0
2006-10-09,0,4,0.0
2006-10-10,0,6,0.0
2006-10-11,0,31,0.0
2006-10-12,0,42,0.0
2006-10-13,0,46,0.0
2006-10-14,0,21,0.0
2006-10-15,0,13,0.0
2006-10-16,0,14,0.0
2006-10-17,0,15,0.0
2006-10-18,0,58,0.0
2006-10-19,0,45,0.0
2006-10-20,0,11,0.0
2006-10-21,0,7,0.0
2006-10-22,0,4,0.0
2006-10-23,0,3,0.0
2006-10-24,0,6,0.0
2006-10-25,0,29,0.0
2006-10-26,0,40,0.0
2006-10-27,0,10,0.0
2006-10-28,0,6,0.0
2006-10-29,0,5,0.0
2006-10-30,0,4,0.0
2006-10-31,0,6,0.0
2006-11-01,0,33,0.0
2006-11-02,0,52,0.0
2006-11-03,0,16,0.0
2006-11-04,0,10,0.0
2006-11-05,0,6,0.0
2006-11-06,0,5,0.0
2006-11-07,0,6,0.0
2006-11-08,0,42,0.0
2006-11-09,0,66,0.0
2006-11-10,0,16,0.0
2006-11-11,0,9,0.0
2006-11-12,0,6,0.0
2006-11-13,0,7,0.0
2006-11-14,0,13,0.0
2006-11-15,0,100,0.0
