date,Willa Ford,Dancing with the Stars,normalized_score
2006-09-12,1,17,5.88235294117647
2006-09-13,5,53,9.433962264150944
2006-09-14,3,41,7.317073170731707
2006-09-15,1,10,10.0
2006-09-16,1,6,16.666666666666664
2006-09-17,1,5,20.0
2006-09-18,0,5,0.0
2006-09-19,1,8,12.5
2006-09-20,5,33,15.151515151515152
2006-09-21,3,37,8.108108108108109
2006-09-22,1,9,11.11111111111111
2006-09-23,1,4,25.0
2006-09-24,0,3,0.0
2006-09-25,0,4,0.0
2006-09-26,0,6,0.0
2006-09-27,9,39,23.076923076923077
2006-09-28,5,40,12.5
2006-09-29,2,9,22.22222222222222
2006-09-30,1,5,20.0
2006-10-01,1,4,25.0
2006-10-02,1,3,33.33333333333333
2006-10-03,1,6,16.666666666666664
2006-10-04,6,31,19.35483870967742
2006-10-05,6,40,15.0
2006-10-06,1,9,11.11111111111111
2006-10-07,1,5,20.0
2006-10-08,1,3,33.33333333333333
2006-10-09,0,4,0.0
2006-10-10,0,6,0.0
2006-10-11,9,31,29.03225806451613
2006-10-12,11,42,26.190476190476193
2006-10-13,5,46,10.869565217391305
2006-10-14,3,21,14.285714285714285
2006-10-15,2,13,15.384615384615385
2006-10-16,2,14,14.285714285714285
2006-10-17,2,15,13.333333333333334
2006-10-18,2,58,3.4482758620689653
2006-10-19,1,45,2.2222222222222223
2006-10-20,1,11,9.090909090909092
2006-10-21,0,7,0.0
2006-10-22,1,4,25.0
2006-10-23,0,3,0.0
2006-10-24,0,6,0.0
2006-10-25,1,29,3.4482758620689653
2006-10-26,1,40,2.5
2006-10-27,0,10,0.0
2006-10-28,0,6,0.0
2006-10-29,0,5,0.0
2006-10-30,0,4,0.0
2006-10-31,0,6,0.0
2006-11-01,0,33,0.0
2006-11-02,2,52,3.8461538461538463
2006-11-03,1,16,6.25
2006-11-04,0,10,0.0
2006-11-05,0,6,0.0
2006-11-06,0,5,0.0
2006-11-07,0,6,0.0
2006-11-08,1,42,2.380952380952381
2006-11-09,1,66,1.5151515151515151
2006-11-10,1,16,6.25
2006-11-11,1,9,11.11111111111111
2006-11-12,1,6,16.666666666666664
2006-11-13,1,7,14.285714285714285
2006-11-14,0,13,0.0
2006-11-15,0,100,0.0
