date,Billy Ray Cyrus,Dancing with the Stars,normalized_score
2007-03-19,1,28,3.571428571428571
2007-03-20,4,92,4.3478260869565215
2007-03-21,1,22,4.545454545454546
2007-03-22,1,11,9.090909090909092
2007-03-23,1,8,12.5
2007-03-24,1,5,20.0
2007-03-25,0,6,0.0
2007-03-26,0,13,0.0
2007-03-27,2,62,3.225806451612903
2007-03-28,1,93,1.0752688172043012
2007-03-29,1,22,4.545454545454546
2007-03-30,0,9,0.0
2007-03-31,0,7,0.0
2007-04-01,1,7,14.285714285714285
2007-04-02,1,9,11.11111111111111
2007-04-03,2,49,4.081632653061225
2007-04-04,1,73,1.36986301369863
2007-04-05,1,20,5.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,1,43,2.3255813953488373
2007-04-11,1,68,1.4705882352941175
2007-04-12,1,19,5.263157894736842
2007-04-13,1,9,11.11111111111111
2007-04-14,1,8,12.5
2007-04-15,1,5,20.0
2007-04-16,0,7,0.0
2007-04-17,2,46,4.3478260869565215
2007-04-18,1,71,1.4084507042253522
2007-04-19,0,21,0.0
2007-04-20,1,10,10.0
2007-04-21,1,8,12.5
2007-04-22,0,7,0.0
2007-04-23,1,9,11.11111111111111
2007-04-24,1,47,2.127659574468085
2007-04-25,1,65,1.5384615384615385
2007-04-26,0,16,0.0
2007-04-27,1,9,11.11111111111111
2007-04-28,1,7,14.285714285714285
2007-04-29,0,6,0.0
2007-04-30,1,9,11.11111111111111
2007-05-01,2,44,4.545454545454546
2007-05-02,1,64,1.5625
2007-05-03,1,17,5.88235294117647
2007-05-04,0,9,0.0
2007-05-05,1,6,16.666666666666664
2007-05-06,0,4,0.0
2007-05-07,1,8,12.5
2007-05-08,3,50,6.0
2007-05-09,4,70,5.714285714285714
2007-05-10,2,23,8.695652173913043
2007-05-11,1,11,9.090909090909092
2007-05-12,1,10,10.0
2007-05-13,0,7,0.0
2007-05-14,1,11,9.090909090909092
2007-05-15,1,74,1.3513513513513513
2007-05-16,0,98,0.0
2007-05-17,1,28,3.571428571428571
2007-05-18,1,13,7.6923076923076925
2007-05-19,0,9,0.0
2007-05-20,0,8,0.0
2007-05-21,0,22,0.0
2007-05-22,1,100,1.0
