date,Heather Mills,Dancing with the Stars,normalized_score
2007-03-19,6,28,21.428571428571427
2007-03-20,18,92,19.565217391304348
2007-03-21,8,22,36.36363636363637
2007-03-22,5,11,45.45454545454545
2007-03-23,2,8,25.0
2007-03-24,2,5,40.0
2007-03-25,2,6,33.33333333333333
2007-03-26,2,13,15.384615384615385
2007-03-27,10,62,16.129032258064516
2007-03-28,7,93,7.526881720430108
2007-03-29,3,22,13.636363636363635
2007-03-30,2,9,22.22222222222222
2007-03-31,1,7,14.285714285714285
2007-04-01,1,7,14.285714285714285
2007-04-02,1,9,11.11111111111111
2007-04-03,7,49,14.285714285714285
2007-04-04,6,73,8.21917808219178
2007-04-05,1,20,5.0
2007-04-06,2,10,20.0
2007-04-07,1,8,12.5
2007-04-08,1,6,16.666666666666664
2007-04-09,1,8,12.5
2007-04-10,3,43,6.976744186046512
2007-04-11,2,68,2.941176470588235
2007-04-12,1,19,5.263157894736842
2007-04-13,1,9,11.11111111111111
2007-04-14,1,8,12.5
2007-04-15,1,5,20.0
2007-04-16,1,7,14.285714285714285
2007-04-17,5,46,10.869565217391305
2007-04-18,5,71,7.042253521126761
2007-04-19,2,21,9.523809523809524
2007-04-20,2,10,20.0
2007-04-21,2,8,25.0
2007-04-22,1,7,14.285714285714285
2007-04-23,1,9,11.11111111111111
2007-04-24,3,47,6.382978723404255
2007-04-25,7,65,10.76923076923077
2007-04-26,2,16,12.5
2007-04-27,2,9,22.22222222222222
2007-04-28,1,7,14.285714285714285
2007-04-29,1,6,16.666666666666664
2007-04-30,1,9,11.11111111111111
2007-05-01,2,44,4.545454545454546
2007-05-02,1,64,1.5625
2007-05-03,1,17,5.88235294117647
2007-05-04,0,9,0.0
2007-05-05,0,6,0.0
2007-05-06,0,4,0.0
2007-05-07,0,8,0.0
2007-05-08,0,50,0.0
2007-05-09,1,70,1.4285714285714286
2007-05-10,0,23,0.0
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,0,7,0.0
2007-05-14,0,11,0.0
2007-05-15,0,74,0.0
2007-05-16,0,98,0.0
2007-05-17,0,28,0.0
2007-05-18,0,13,0.0
2007-05-19,0,9,0.0
2007-05-20,1,8,12.5
2007-05-21,0,22,0.0
2007-05-22,0,100,0.0
