date,Joey Fatone,Dancing with the Stars,normalized_score
2007-03-19,0,28,0.0
2007-03-20,3,92,3.260869565217391
2007-03-21,1,22,4.545454545454546
2007-03-22,0,11,0.0
2007-03-23,0,8,0.0
2007-03-24,0,5,0.0
2007-03-25,0,6,0.0
2007-03-26,0,13,0.0
2007-03-27,2,62,3.225806451612903
2007-03-28,1,93,1.0752688172043012
2007-03-29,0,22,0.0
2007-03-30,0,9,0.0
2007-03-31,0,7,0.0
2007-04-01,0,7,0.0
2007-04-02,0,9,0.0
2007-04-03,1,49,2.0408163265306123
2007-04-04,1,73,1.36986301369863
2007-04-05,0,20,0.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,2,43,4.651162790697675
2007-04-11,1,68,1.4705882352941175
2007-04-12,0,19,0.0
2007-04-13,0,9,0.0
2007-04-14,0,8,0.0
2007-04-15,0,5,0.0
2007-04-16,0,7,0.0
2007-04-17,1,46,2.1739130434782608
2007-04-18,1,71,1.4084507042253522
2007-04-19,0,21,0.0
2007-04-20,0,10,0.0
2007-04-21,0,8,0.0
2007-04-22,0,7,0.0
2007-04-23,0,9,0.0
2007-04-24,1,47,2.127659574468085
2007-04-25,1,65,1.5384615384615385
2007-04-26,0,16,0.0
2007-04-27,0,9,0.0
2007-04-28,0,7,0.0
2007-04-29,0,6,0.0
2007-04-30,0,9,0.0
2007-05-01,3,44,6.8181818181818175
2007-05-02,2,64,3.125
2007-05-03,0,17,0.0
2007-05-04,0,9,0.0
2007-05-05,1,6,16.666666666666664
2007-05-06,1,4,25.0
2007-05-07,0,8,0.0
2007-05-08,1,50,2.0
2007-05-09,1,70,1.4285714285714286
2007-05-10,0,23,0.0
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,0,7,0.0
2007-05-14,0,11,0.0
2007-05-15,3,74,4.054054054054054
2007-05-16,3,98,3.061224489795918
2007-05-17,1,28,3.571428571428571
2007-05-18,0,13,0.0
2007-05-19,0,9,0.0
2007-05-20,0,8,0.0
2007-05-21,1,22,4.545454545454546
2007-05-22,4,100,4.0
