date,Laila Ali,Dancing with the Stars,normalized_score
2007-03-19,1,28,3.571428571428571
2007-03-20,3,92,3.260869565217391
2007-03-21,1,22,4.545454545454546
2007-03-22,0,11,0.0
2007-03-23,0,8,0.0
2007-03-24,1,5,20.0
2007-03-25,0,6,0.0
2007-03-26,0,13,0.0
2007-03-27,4,62,6.451612903225806
2007-03-28,2,93,2.1505376344086025
2007-03-29,1,22,4.545454545454546
2007-03-30,0,9,0.0
2007-03-31,1,7,14.285714285714285
2007-04-01,0,7,0.0
2007-04-02,0,9,0.0
2007-04-03,2,49,4.081632653061225
2007-04-04,1,73,1.36986301369863
2007-04-05,0,20,0.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,1,43,2.3255813953488373
2007-04-11,1,68,1.4705882352941175
2007-04-12,0,19,0.0
2007-04-13,0,9,0.0
2007-04-14,0,8,0.0
2007-04-15,0,5,0.0
2007-04-16,0,7,0.0
2007-04-17,2,46,4.3478260869565215
2007-04-18,1,71,1.4084507042253522
2007-04-19,0,21,0.0
2007-04-20,0,10,0.0
2007-04-21,0,8,0.0
2007-04-22,0,7,0.0
2007-04-23,0,9,0.0
2007-04-24,3,47,6.382978723404255
2007-04-25,2,65,3.076923076923077
2007-04-26,1,16,6.25
2007-04-27,0,9,0.0
2007-04-28,0,7,0.0
2007-04-29,0,6,0.0
2007-04-30,0,9,0.0
2007-05-01,3,44,6.8181818181818175
2007-05-02,3,64,4.6875
2007-05-03,1,17,5.88235294117647
2007-05-04,1,9,11.11111111111111
2007-05-05,0,6,0.0
2007-05-06,0,4,0.0
2007-05-07,1,8,12.5
2007-05-08,3,50,6.0
2007-05-09,2,70,2.857142857142857
2007-05-10,1,23,4.3478260869565215
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,0,7,0.0
2007-05-14,0,11,0.0
2007-05-15,2,74,2.7027027027027026
2007-05-16,2,98,2.0408163265306123
2007-05-17,1,28,3.571428571428571
2007-05-18,1,13,7.6923076923076925
2007-05-19,1,9,11.11111111111111
2007-05-20,1,8,12.5
2007-05-21,1,22,4.545454545454546
2007-05-22,3,100,3.0
