date,Leeza Gibbons,Dancing with the Stars,normalized_score
2007-03-19,0,28,0.0
2007-03-20,4,92,4.3478260869565215
2007-03-21,0,22,0.0
2007-03-22,0,11,0.0
2007-03-23,0,8,0.0
2007-03-24,0,5,0.0
2007-03-25,0,6,0.0
2007-03-26,2,13,15.384615384615385
2007-03-27,2,62,3.225806451612903
2007-03-28,2,93,2.1505376344086025
2007-03-29,0,22,0.0
2007-03-30,0,9,0.0
2007-03-31,0,7,0.0
2007-04-01,0,7,0.0
2007-04-02,0,9,0.0
2007-04-03,2,49,4.081632653061225
2007-04-04,0,73,0.0
2007-04-05,1,20,5.0
2007-04-06,0,10,0.0
2007-04-07,0,8,0.0
2007-04-08,0,6,0.0
2007-04-09,0,8,0.0
2007-04-10,1,43,2.3255813953488373
2007-04-11,6,68,8.823529411764707
2007-04-12,1,19,5.263157894736842
2007-04-13,0,9,0.0
2007-04-14,1,8,12.5
2007-04-15,0,5,0.0
2007-04-16,0,7,0.0
2007-04-17,0,46,0.0
2007-04-18,0,71,0.0
2007-04-19,0,21,0.0
2007-04-20,0,10,0.0
2007-04-21,0,8,0.0
2007-04-22,0,7,0.0
2007-04-23,0,9,0.0
2007-04-24,0,47,0.0
2007-04-25,0,65,0.0
2007-04-26,0,16,0.0
2007-04-27,0,9,0.0
2007-04-28,0,7,0.0
2007-04-29,0,6,0.0
2007-04-30,0,9,0.0
2007-05-01,0,44,0.0
2007-05-02,0,64,0.0
2007-05-03,0,17,0.0
2007-05-04,0,9,0.0
2007-05-05,0,6,0.0
2007-05-06,0,4,0.0
2007-05-07,0,8,0.0
2007-05-08,0,50,0.0
2007-05-09,0,70,0.0
2007-05-10,0,23,0.0
2007-05-11,0,11,0.0
2007-05-12,0,10,0.0
2007-05-13,2,7,28.57142857142857
2007-05-14,0,11,0.0
2007-05-15,0,74,0.0
2007-05-16,0,98,0.0
2007-05-17,0,28,0.0
2007-05-18,0,13,0.0
2007-05-19,0,9,0.0
2007-05-20,0,8,0.0
2007-05-21,0,22,0.0
2007-05-22,0,100,0.0
