date,Jane Seymour,Dancing with the Stars,normalized_score
2007-09-24,1,28,3.571428571428571
2007-09-25,9,61,14.754098360655737
2007-09-26,3,56,5.357142857142857
2007-09-27,2,68,2.941176470588235
2007-09-28,1,14,7.142857142857142
2007-09-29,1,10,10.0
2007-09-30,0,8,0.0
2007-10-01,0,12,0.0
2007-10-02,7,53,13.20754716981132
2007-10-03,10,69,14.492753623188406
2007-10-04,1,17,5.88235294117647
2007-10-05,1,8,12.5
2007-10-06,1,7,14.285714285714285
2007-10-07,0,6,0.0
2007-10-08,1,10,10.0
2007-10-09,5,37,13.513513513513514
2007-10-10,2,45,4.444444444444445
2007-10-11,1,12,8.333333333333332
2007-10-12,1,7,14.285714285714285
2007-10-13,1,5,20.0
2007-10-14,1,5,20.0
2007-10-15,1,6,16.666666666666664
2007-10-16,2,34,5.88235294117647
2007-10-17,1,50,2.0
2007-10-18,0,13,0.0
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,1,8,12.5
2007-10-23,6,71,8.450704225352112
2007-10-24,3,61,4.918032786885246
2007-10-25,1,17,5.88235294117647
2007-10-26,1,8,12.5
2007-10-27,1,7,14.285714285714285
2007-10-28,1,6,16.666666666666664
2007-10-29,1,7,14.285714285714285
2007-10-30,5,37,13.513513513513514
2007-10-31,5,100,5.0
2007-11-01,2,27,7.4074074074074066
2007-11-02,2,12,16.666666666666664
2007-11-03,1,9,11.11111111111111
2007-11-04,2,6,33.33333333333333
2007-11-05,1,13,7.6923076923076925
2007-11-06,5,53,9.433962264150944
2007-11-07,7,70,10.0
2007-11-08,2,24,8.333333333333332
2007-11-09,1,14,7.142857142857142
2007-11-10,1,12,8.333333333333332
2007-11-11,1,8,12.5
2007-11-12,1,10,10.0
2007-11-13,1,53,1.8867924528301887
2007-11-14,1,69,1.4492753623188406
2007-11-15,1,24,4.166666666666666
2007-11-16,0,11,0.0
2007-11-17,1,9,11.11111111111111
2007-11-18,0,7,0.0
2007-11-19,0,9,0.0
2007-11-20,0,59,0.0
2007-11-21,0,80,0.0
2007-11-22,0,23,0.0
2007-11-23,1,12,8.333333333333332
2007-11-24,1,11,9.090909090909092
2007-11-25,0,10,0.0
2007-11-26,0,14,0.0
2007-11-27,0,90,0.0
