date,Jennie Garth,Dancing with the Stars,normalized_score
2007-09-24,1,28,3.571428571428571
2007-09-25,4,61,6.557377049180328
2007-09-26,2,56,3.571428571428571
2007-09-27,2,68,2.941176470588235
2007-09-28,1,14,7.142857142857142
2007-09-29,0,10,0.0
2007-09-30,0,8,0.0
2007-10-01,0,12,0.0
2007-10-02,3,53,5.660377358490567
2007-10-03,2,69,2.898550724637681
2007-10-04,1,17,5.88235294117647
2007-10-05,0,8,0.0
2007-10-06,0,7,0.0
2007-10-07,0,6,0.0
2007-10-08,0,10,0.0
2007-10-09,1,37,2.7027027027027026
2007-10-10,1,45,2.2222222222222223
2007-10-11,1,12,8.333333333333332
2007-10-12,0,7,0.0
2007-10-13,0,5,0.0
2007-10-14,0,5,0.0
2007-10-15,0,6,0.0
2007-10-16,2,34,5.88235294117647
2007-10-17,1,50,2.0
2007-10-18,0,13,0.0
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,0,8,0.0
2007-10-23,2,71,2.8169014084507045
2007-10-24,1,61,1.639344262295082
2007-10-25,1,17,5.88235294117647
2007-10-26,0,8,0.0
2007-10-27,0,7,0.0
2007-10-28,0,6,0.0
2007-10-29,0,7,0.0
2007-10-30,1,37,2.7027027027027026
2007-10-31,2,100,2.0
2007-11-01,0,27,0.0
2007-11-02,0,12,0.0
2007-11-03,0,9,0.0
2007-11-04,0,6,0.0
2007-11-05,1,13,7.6923076923076925
2007-11-06,3,53,5.660377358490567
2007-11-07,2,70,2.857142857142857
2007-11-08,1,24,4.166666666666666
2007-11-09,1,14,7.142857142857142
2007-11-10,1,12,8.333333333333332
2007-11-11,1,8,12.5
2007-11-12,1,10,10.0
2007-11-13,3,53,5.660377358490567
2007-11-14,2,69,2.898550724637681
2007-11-15,0,24,0.0
2007-11-16,0,11,0.0
2007-11-17,1,9,11.11111111111111
2007-11-18,0,7,0.0
2007-11-19,1,9,11.11111111111111
2007-11-20,4,59,6.779661016949152
2007-11-21,9,80,11.25
2007-11-22,2,23,8.695652173913043
2007-11-23,1,12,8.333333333333332
2007-11-24,1,11,9.090909090909092
2007-11-25,0,10,0.0
2007-11-26,0,14,0.0
2007-11-27,1,90,1.1111111111111112
