date,Marie Osmond,Dancing with the Stars,normalized_score
2007-09-24,1,28,3.571428571428571
2007-09-25,9,61,14.754098360655737
2007-09-26,4,56,7.142857142857142
2007-09-27,1,68,1.4705882352941175
2007-09-28,1,14,7.142857142857142
2007-09-29,1,10,10.0
2007-09-30,1,8,12.5
2007-10-01,1,12,8.333333333333332
2007-10-02,5,53,9.433962264150944
2007-10-03,3,69,4.3478260869565215
2007-10-04,1,17,5.88235294117647
2007-10-05,1,8,12.5
2007-10-06,1,7,14.285714285714285
2007-10-07,0,6,0.0
2007-10-08,1,10,10.0
2007-10-09,4,37,10.81081081081081
2007-10-10,2,45,4.444444444444445
2007-10-11,1,12,8.333333333333332
2007-10-12,1,7,14.285714285714285
2007-10-13,1,5,20.0
2007-10-14,0,5,0.0
2007-10-15,1,6,16.666666666666664
2007-10-16,3,34,8.823529411764707
2007-10-17,2,50,4.0
2007-10-18,1,13,7.6923076923076925
2007-10-19,1,7,14.285714285714285
2007-10-20,1,6,16.666666666666664
2007-10-21,0,6,0.0
2007-10-22,1,8,12.5
2007-10-23,59,71,83.09859154929578
2007-10-24,18,61,29.508196721311474
2007-10-25,8,17,47.05882352941176
2007-10-26,4,8,50.0
2007-10-27,3,7,42.857142857142854
2007-10-28,2,6,33.33333333333333
2007-10-29,2,7,28.57142857142857
2007-10-30,4,37,10.81081081081081
2007-10-31,4,100,4.0
2007-11-01,2,27,7.4074074074074066
2007-11-02,2,12,16.666666666666664
2007-11-03,2,9,22.22222222222222
2007-11-04,1,6,16.666666666666664
2007-11-05,1,13,7.6923076923076925
2007-11-06,11,53,20.754716981132077
2007-11-07,15,70,21.428571428571427
2007-11-08,4,24,16.666666666666664
2007-11-09,7,14,50.0
2007-11-10,9,12,75.0
2007-11-11,4,8,50.0
2007-11-12,3,10,30.0
2007-11-13,6,53,11.320754716981133
2007-11-14,6,69,8.695652173913043
2007-11-15,17,24,70.83333333333334
2007-11-16,7,11,63.63636363636363
2007-11-17,4,9,44.44444444444444
2007-11-18,3,7,42.857142857142854
2007-11-19,4,9,44.44444444444444
2007-11-20,7,59,11.864406779661017
2007-11-21,7,80,8.75
2007-11-22,4,23,17.391304347826086
2007-11-23,2,12,16.666666666666664
2007-11-24,2,11,18.181818181818183
2007-11-25,1,10,10.0
2007-11-26,2,14,14.285714285714285
2007-11-27,11,90,12.222222222222221
