date,Mark Cuban,Dancing with the Stars,normalized_score
2007-09-24,1,28,3.571428571428571
2007-09-25,6,61,9.836065573770492
2007-09-26,11,56,19.642857142857142
2007-09-27,6,68,8.823529411764707
2007-09-28,2,14,14.285714285714285
2007-09-29,1,10,10.0
2007-09-30,1,8,12.5
2007-10-01,1,12,8.333333333333332
2007-10-02,4,53,7.547169811320755
2007-10-03,3,69,4.3478260869565215
2007-10-04,1,17,5.88235294117647
2007-10-05,1,8,12.5
2007-10-06,0,7,0.0
2007-10-07,1,6,16.666666666666664
2007-10-08,2,10,20.0
2007-10-09,4,37,10.81081081081081
2007-10-10,3,45,6.666666666666667
2007-10-11,2,12,16.666666666666664
2007-10-12,1,7,14.285714285714285
2007-10-13,1,5,20.0
2007-10-14,0,5,0.0
2007-10-15,1,6,16.666666666666664
2007-10-16,3,34,8.823529411764707
2007-10-17,3,50,6.0
2007-10-18,1,13,7.6923076923076925
2007-10-19,1,7,14.285714285714285
2007-10-20,1,6,16.666666666666664
2007-10-21,0,6,0.0
2007-10-22,1,8,12.5
2007-10-23,4,71,5.633802816901409
2007-10-24,8,61,13.114754098360656
2007-10-25,3,17,17.647058823529413
2007-10-26,1,8,12.5
2007-10-27,1,7,14.285714285714285
2007-10-28,1,6,16.666666666666664
2007-10-29,1,7,14.285714285714285
2007-10-30,1,37,2.7027027027027026
2007-10-31,0,100,0.0
2007-11-01,1,27,3.7037037037037033
2007-11-02,0,12,0.0
2007-11-03,0,9,0.0
2007-11-04,0,6,0.0
2007-11-05,0,13,0.0
2007-11-06,1,53,1.8867924528301887
2007-11-07,0,70,0.0
2007-11-08,1,24,4.166666666666666
2007-11-09,1,14,7.142857142857142
2007-11-10,1,12,8.333333333333332
2007-11-11,0,8,0.0
2007-11-12,1,10,10.0
2007-11-13,2,53,3.7735849056603774
2007-11-14,2,69,2.898550724637681
2007-11-15,3,24,12.5
2007-11-16,1,11,9.090909090909092
2007-11-17,1,9,11.11111111111111
2007-11-18,1,7,14.285714285714285
2007-11-19,1,9,11.11111111111111
2007-11-20,0,59,0.0
2007-11-21,1,80,1.25
2007-11-22,1,23,4.3478260869565215
2007-11-23,1,12,8.333333333333332
2007-11-24,0,11,0.0
2007-11-25,1,10,10.0
2007-11-26,0,14,0.0
2007-11-27,1,90,1.1111111111111112
