date,Sabrina Bryan,Dancing with the Stars,normalized_score
2007-09-24,1,28,3.571428571428571
2007-09-25,3,61,4.918032786885246
2007-09-26,2,56,3.571428571428571
2007-09-27,4,68,5.88235294117647
2007-09-28,1,14,7.142857142857142
2007-09-29,1,10,10.0
2007-09-30,1,8,12.5
2007-10-01,0,12,0.0
2007-10-02,2,53,3.7735849056603774
2007-10-03,2,69,2.898550724637681
2007-10-04,0,17,0.0
2007-10-05,0,8,0.0
2007-10-06,0,7,0.0
2007-10-07,0,6,0.0
2007-10-08,0,10,0.0
2007-10-09,1,37,2.7027027027027026
2007-10-10,1,45,2.2222222222222223
2007-10-11,1,12,8.333333333333332
2007-10-12,0,7,0.0
2007-10-13,0,5,0.0
2007-10-14,0,5,0.0
2007-10-15,0,6,0.0
2007-10-16,2,34,5.88235294117647
2007-10-17,2,50,4.0
2007-10-18,1,13,7.6923076923076925
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,0,8,0.0
2007-10-23,3,71,4.225352112676056
2007-10-24,2,61,3.278688524590164
2007-10-25,0,17,0.0
2007-10-26,0,8,0.0
2007-10-27,0,7,0.0
2007-10-28,0,6,0.0
2007-10-29,0,7,0.0
2007-10-30,1,37,2.7027027027027026
2007-10-31,22,100,22.0
2007-11-01,7,27,25.925925925925924
2007-11-02,3,12,25.0
2007-11-03,3,9,33.33333333333333
2007-11-04,2,6,33.33333333333333
2007-11-05,4,13,30.76923076923077
2007-11-06,5,53,9.433962264150944
2007-11-07,4,70,5.714285714285714
2007-11-08,3,24,12.5
2007-11-09,2,14,14.285714285714285
2007-11-10,2,12,16.666666666666664
2007-11-11,2,8,25.0
2007-11-12,1,10,10.0
2007-11-13,2,53,3.7735849056603774
2007-11-14,2,69,2.898550724637681
2007-11-15,1,24,4.166666666666666
2007-11-16,1,11,9.090909090909092
2007-11-17,1,9,11.11111111111111
2007-11-18,1,7,14.285714285714285
2007-11-19,0,9,0.0
2007-11-20,1,59,1.694915254237288
2007-11-21,3,80,3.75
2007-11-22,1,23,4.3478260869565215
2007-11-23,1,12,8.333333333333332
2007-11-24,1,11,9.090909090909092
2007-11-25,1,10,10.0
2007-11-26,1,14,7.142857142857142
2007-11-27,1,90,1.1111111111111112
