date,Adam Carolla,Dancing with the Stars,normalized_score
2008-03-17,1,34,2.941176470588235
2008-03-18,4,88,4.545454545454546
2008-03-19,3,91,3.296703296703297
2008-03-20,2,35,5.714285714285714
2008-03-21,2,19,10.526315789473683
2008-03-22,2,14,14.285714285714285
2008-03-23,1,13,7.6923076923076925
2008-03-24,2,20,10.0
2008-03-25,3,86,3.488372093023256
2008-03-26,2,94,2.127659574468085
2008-03-27,2,27,7.4074074074074066
2008-03-28,2,15,13.333333333333334
2008-03-29,1,11,9.090909090909092
2008-03-30,1,9,11.11111111111111
2008-03-31,1,12,8.333333333333332
2008-04-01,3,61,4.918032786885246
2008-04-02,3,85,3.5294117647058822
2008-04-03,1,27,3.7037037037037033
2008-04-04,1,12,8.333333333333332
2008-04-05,1,9,11.11111111111111
2008-04-06,1,9,11.11111111111111
2008-04-07,1,11,9.090909090909092
2008-04-08,2,54,3.7037037037037033
2008-04-09,5,68,7.352941176470589
2008-04-10,2,19,10.526315789473683
2008-04-11,2,13,15.384615384615385
2008-04-12,1,8,12.5
2008-04-13,1,7,14.285714285714285
2008-04-14,1,9,11.11111111111111
2008-04-15,1,56,1.7857142857142856
2008-04-16,1,71,1.4084507042253522
2008-04-17,1,21,4.761904761904762
2008-04-18,1,14,7.142857142857142
2008-04-19,1,13,7.6923076923076925
2008-04-20,1,9,11.11111111111111
2008-04-21,1,12,8.333333333333332
2008-04-22,1,58,1.7241379310344827
2008-04-23,1,75,1.3333333333333335
2008-04-24,0,25,0.0
2008-04-25,1,12,8.333333333333332
2008-04-26,0,12,0.0
2008-04-27,0,9,0.0
2008-04-28,1,11,9.090909090909092
2008-04-29,1,100,1.0
2008-04-30,1,99,1.0101010101010102
2008-05-01,1,30,3.3333333333333335
2008-05-02,1,13,7.6923076923076925
2008-05-03,1,11,9.090909090909092
2008-05-04,0,10,0.0
2008-05-05,1,12,8.333333333333332
2008-05-06,1,65,1.5384615384615385
2008-05-07,1,91,1.098901098901099
2008-05-08,1,25,4.0
2008-05-09,1,12,8.333333333333332
2008-05-10,0,10,0.0
2008-05-11,1,9,11.11111111111111
2008-05-12,1,13,7.6923076923076925
2008-05-13,1,61,1.639344262295082
2008-05-14,1,80,1.25
2008-05-15,1,21,4.761904761904762
2008-05-16,1,11,9.090909090909092
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,1,15,6.666666666666667
2008-05-20,1,90,1.1111111111111112
