date,Cristian de la Fuente,Dancing with the Stars,normalized_score
2008-03-17,1,34,2.941176470588235
2008-03-18,1,87,1.1494252873563218
2008-03-19,0,90,0.0
2008-03-20,0,35,0.0
2008-03-21,0,18,0.0
2008-03-22,0,14,0.0
2008-03-23,0,13,0.0
2008-03-24,0,20,0.0
2008-03-25,0,85,0.0
2008-03-26,0,94,0.0
2008-03-27,0,27,0.0
2008-03-28,0,14,0.0
2008-03-29,0,11,0.0
2008-03-30,0,9,0.0
2008-03-31,0,12,0.0
2008-04-01,1,61,1.639344262295082
2008-04-02,0,85,0.0
2008-04-03,0,26,0.0
2008-04-04,0,12,0.0
2008-04-05,0,9,0.0
2008-04-06,0,9,0.0
2008-04-07,0,11,0.0
2008-04-08,0,54,0.0
2008-04-09,0,68,0.0
2008-04-10,0,19,0.0
2008-04-11,0,13,0.0
2008-04-12,0,8,0.0
2008-04-13,0,7,0.0
2008-04-14,0,9,0.0
2008-04-15,0,56,0.0
2008-04-16,1,72,1.3888888888888888
2008-04-17,0,21,0.0
2008-04-18,0,14,0.0
2008-04-19,0,13,0.0
2008-04-20,0,9,0.0
2008-04-21,0,12,0.0
2008-04-22,1,57,1.7543859649122806
2008-04-23,1,74,1.3513513513513513
2008-04-24,0,25,0.0
2008-04-25,0,12,0.0
2008-04-26,0,11,0.0
2008-04-27,0,9,0.0
2008-04-28,0,11,0.0
2008-04-29,6,100,6.0
2008-04-30,3,97,3.0927835051546393
2008-05-01,1,29,3.4482758620689653
2008-05-02,0,13,0.0
2008-05-03,0,11,0.0
2008-05-04,0,10,0.0
2008-05-05,0,12,0.0
2008-05-06,2,65,3.076923076923077
2008-05-07,1,90,1.1111111111111112
2008-05-08,0,25,0.0
2008-05-09,0,12,0.0
2008-05-10,0,10,0.0
2008-05-11,0,9,0.0
2008-05-12,0,13,0.0
2008-05-13,1,61,1.639344262295082
2008-05-14,1,79,1.2658227848101267
2008-05-15,0,21,0.0
2008-05-16,0,10,0.0
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,1,15,6.666666666666667
2008-05-20,2,90,2.2222222222222223
