date,Mario,Dancing with the Stars,normalized_score
2008-03-17,49,29,168.9655172413793
2008-03-18,54,75,72.0
2008-03-19,49,77,63.63636363636363
2008-03-20,47,30,156.66666666666666
2008-03-21,55,16,343.75
2008-03-22,69,12,575.0
2008-03-23,65,11,590.9090909090909
2008-03-24,45,17,264.70588235294116
2008-03-25,50,73,68.4931506849315
2008-03-26,51,80,63.74999999999999
2008-03-27,49,23,213.0434782608696
2008-03-28,52,12,433.3333333333333
2008-03-29,67,9,744.4444444444445
2008-03-30,66,8,825.0
2008-03-31,46,10,459.99999999999994
2008-04-01,46,52,88.46153846153845
2008-04-02,47,72,65.27777777777779
2008-04-03,49,23,213.0434782608696
2008-04-04,52,10,520.0
2008-04-05,70,8,875.0
2008-04-06,71,8,887.5
2008-04-07,45,9,500.0
2008-04-08,56,46,121.73913043478262
2008-04-09,50,57,87.71929824561403
2008-04-10,51,16,318.75
2008-04-11,53,11,481.8181818181818
2008-04-12,71,7,1014.2857142857142
2008-04-13,70,6,1166.6666666666665
2008-04-14,46,8,575.0
2008-04-15,48,47,102.12765957446808
2008-04-16,48,60,80.0
2008-04-17,50,18,277.77777777777777
2008-04-18,53,12,441.6666666666667
2008-04-19,73,11,663.6363636363636
2008-04-20,68,8,850.0
2008-04-21,50,10,500.0
2008-04-22,52,49,106.12244897959184
2008-04-23,54,63,85.71428571428571
2008-04-24,55,21,261.9047619047619
2008-04-25,59,10,590.0
2008-04-26,86,10,860.0
2008-04-27,100,8,1250.0
2008-04-28,70,9,777.7777777777777
2008-04-29,65,85,76.47058823529412
2008-04-30,62,84,73.80952380952381
2008-05-01,62,25,248.0
2008-05-02,64,11,581.8181818181819
2008-05-03,91,9,1011.1111111111111
2008-05-04,90,9,1000.0
2008-05-05,53,10,530.0
2008-05-06,59,55,107.27272727272728
2008-05-07,66,78,84.61538461538461
2008-05-08,55,21,261.9047619047619
2008-05-09,60,11,545.4545454545454
2008-05-10,85,8,1062.5
2008-05-11,89,8,1112.5
2008-05-12,59,11,536.3636363636364
2008-05-13,56,52,107.6923076923077
2008-05-14,56,68,82.35294117647058
2008-05-15,55,18,305.55555555555554
2008-05-16,57,9,633.3333333333333
2008-05-17,79,8,987.5
2008-05-18,82,7,1171.4285714285713
2008-05-19,54,13,415.3846153846154
2008-05-20,56,77,72.72727272727273
