date,Monica Seles,Dancing with the Stars,normalized_score
2008-03-17,1,34,2.941176470588235
2008-03-18,4,87,4.597701149425287
2008-03-19,9,90,10.0
2008-03-20,2,35,5.714285714285714
2008-03-21,1,18,5.555555555555555
2008-03-22,1,14,7.142857142857142
2008-03-23,2,13,15.384615384615385
2008-03-24,1,20,5.0
2008-03-25,9,85,10.588235294117647
2008-03-26,15,94,15.957446808510639
2008-03-27,2,27,7.4074074074074066
2008-03-28,1,14,7.142857142857142
2008-03-29,1,11,9.090909090909092
2008-03-30,1,9,11.11111111111111
2008-03-31,0,12,0.0
2008-04-01,1,61,1.639344262295082
2008-04-02,0,85,0.0
2008-04-03,0,26,0.0
2008-04-04,0,12,0.0
2008-04-05,0,9,0.0
2008-04-06,0,9,0.0
2008-04-07,0,11,0.0
2008-04-08,0,54,0.0
2008-04-09,0,68,0.0
2008-04-10,0,19,0.0
2008-04-11,0,13,0.0
2008-04-12,0,8,0.0
2008-04-13,0,7,0.0
2008-04-14,0,9,0.0
2008-04-15,0,56,0.0
2008-04-16,0,72,0.0
2008-04-17,0,21,0.0
2008-04-18,0,14,0.0
2008-04-19,0,13,0.0
2008-04-20,0,9,0.0
2008-04-21,0,12,0.0
2008-04-22,0,57,0.0
2008-04-23,0,74,0.0
2008-04-24,0,25,0.0
2008-04-25,0,12,0.0
2008-04-26,0,11,0.0
2008-04-27,0,9,0.0
2008-04-28,0,11,0.0
2008-04-29,0,100,0.0
2008-04-30,0,97,0.0
2008-05-01,1,29,3.4482758620689653
2008-05-02,0,13,0.0
2008-05-03,0,11,0.0
2008-05-04,0,10,0.0
2008-05-05,0,12,0.0
2008-05-06,0,65,0.0
2008-05-07,0,90,0.0
2008-05-08,0,25,0.0
2008-05-09,0,12,0.0
2008-05-10,0,10,0.0
2008-05-11,0,9,0.0
2008-05-12,0,13,0.0
2008-05-13,0,61,0.0
2008-05-14,0,79,0.0
2008-05-15,0,21,0.0
2008-05-16,0,10,0.0
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,0,15,0.0
2008-05-20,0,90,0.0
