date,Penn Jillette,Dancing with the Stars,normalized_score
2008-03-17,0,34,0.0
2008-03-18,2,88,2.272727272727273
2008-03-19,1,90,1.1111111111111112
2008-03-20,0,35,0.0
2008-03-21,0,18,0.0
2008-03-22,0,14,0.0
2008-03-23,0,13,0.0
2008-03-24,0,20,0.0
2008-03-25,1,85,1.1764705882352942
2008-03-26,2,94,2.127659574468085
2008-03-27,0,27,0.0
2008-03-28,0,14,0.0
2008-03-29,0,11,0.0
2008-03-30,0,9,0.0
2008-03-31,0,12,0.0
2008-04-01,0,62,0.0
2008-04-02,0,85,0.0
2008-04-03,0,26,0.0
2008-04-04,0,12,0.0
2008-04-05,0,9,0.0
2008-04-06,0,9,0.0
2008-04-07,0,11,0.0
2008-04-08,0,54,0.0
2008-04-09,0,68,0.0
2008-04-10,0,19,0.0
2008-04-11,0,13,0.0
2008-04-12,0,8,0.0
2008-04-13,0,7,0.0
2008-04-14,0,9,0.0
2008-04-15,0,56,0.0
2008-04-16,0,71,0.0
2008-04-17,0,21,0.0
2008-04-18,0,14,0.0
2008-04-19,0,13,0.0
2008-04-20,0,9,0.0
2008-04-21,0,11,0.0
2008-04-22,0,58,0.0
2008-04-23,0,73,0.0
2008-04-24,0,25,0.0
2008-04-25,0,12,0.0
2008-04-26,0,11,0.0
2008-04-27,1,9,11.11111111111111
2008-04-28,0,11,0.0
2008-04-29,0,100,0.0
2008-04-30,0,98,0.0
2008-05-01,0,30,0.0
2008-05-02,0,13,0.0
2008-05-03,0,11,0.0
2008-05-04,0,10,0.0
2008-05-05,0,12,0.0
2008-05-06,0,65,0.0
2008-05-07,0,91,0.0
2008-05-08,0,25,0.0
2008-05-09,0,12,0.0
2008-05-10,0,10,0.0
2008-05-11,0,9,0.0
2008-05-12,0,13,0.0
2008-05-13,0,61,0.0
2008-05-14,0,80,0.0
2008-05-15,0,21,0.0
2008-05-16,0,11,0.0
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,0,15,0.0
2008-05-20,0,90,0.0
