date,Priscilla Presley,Dancing with the Stars,normalized_score
2008-03-17,2,34,5.88235294117647
2008-03-18,8,87,9.195402298850574
2008-03-19,43,90,47.77777777777778
2008-03-20,7,35,20.0
2008-03-21,3,18,16.666666666666664
2008-03-22,3,14,21.428571428571427
2008-03-23,4,13,30.76923076923077
2008-03-24,4,20,20.0
2008-03-25,25,85,29.411764705882355
2008-03-26,18,94,19.148936170212767
2008-03-27,8,27,29.629629629629626
2008-03-28,5,14,35.714285714285715
2008-03-29,3,11,27.27272727272727
2008-03-30,3,9,33.33333333333333
2008-03-31,2,12,16.666666666666664
2008-04-01,16,61,26.229508196721312
2008-04-02,8,85,9.411764705882353
2008-04-03,4,26,15.384615384615385
2008-04-04,2,12,16.666666666666664
2008-04-05,2,9,22.22222222222222
2008-04-06,4,9,44.44444444444444
2008-04-07,2,11,18.181818181818183
2008-04-08,5,54,9.25925925925926
2008-04-09,4,68,5.88235294117647
2008-04-10,2,19,10.526315789473683
2008-04-11,1,13,7.6923076923076925
2008-04-12,1,8,12.5
2008-04-13,2,7,28.57142857142857
2008-04-14,1,9,11.11111111111111
2008-04-15,6,56,10.714285714285714
2008-04-16,11,72,15.277777777777779
2008-04-17,3,21,14.285714285714285
2008-04-18,4,14,28.57142857142857
2008-04-19,4,13,30.76923076923077
2008-04-20,3,9,33.33333333333333
2008-04-21,2,12,16.666666666666664
2008-04-22,1,57,1.7543859649122806
2008-04-23,1,74,1.3513513513513513
2008-04-24,1,25,4.0
2008-04-25,1,12,8.333333333333332
2008-04-26,2,11,18.181818181818183
2008-04-27,1,9,11.11111111111111
2008-04-28,1,11,9.090909090909092
2008-04-29,0,100,0.0
2008-04-30,1,97,1.0309278350515463
2008-05-01,1,29,3.4482758620689653
2008-05-02,0,13,0.0
2008-05-03,0,11,0.0
2008-05-04,1,10,10.0
2008-05-05,0,12,0.0
2008-05-06,0,65,0.0
2008-05-07,0,90,0.0
2008-05-08,0,25,0.0
2008-05-09,0,12,0.0
2008-05-10,1,10,10.0
2008-05-11,0,9,0.0
2008-05-12,0,13,0.0
2008-05-13,0,61,0.0
2008-05-14,0,79,0.0
2008-05-15,0,21,0.0
2008-05-16,0,10,0.0
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,1,15,6.666666666666667
2008-05-20,0,90,0.0
