date,Brooke Burke,Dancing with the Stars,normalized_score
2008-09-22,2,27,7.4074074074074066
2008-09-23,15,85,17.647058823529413
2008-09-24,14,100,14.000000000000002
2008-09-25,7,60,11.666666666666666
2008-09-26,2,17,11.76470588235294
2008-09-27,3,11,27.27272727272727
2008-09-28,2,9,22.22222222222222
2008-09-29,2,11,18.181818181818183
2008-09-30,6,42,14.285714285714285
2008-10-01,4,52,7.6923076923076925
2008-10-02,2,16,12.5
2008-10-03,2,7,28.57142857142857
2008-10-04,2,7,28.57142857142857
2008-10-05,1,7,14.285714285714285
2008-10-06,2,11,18.181818181818183
2008-10-07,7,34,20.588235294117645
2008-10-08,4,37,10.81081081081081
2008-10-09,2,14,14.285714285714285
2008-10-10,1,7,14.285714285714285
2008-10-11,1,6,16.666666666666664
2008-10-12,1,5,20.0
2008-10-13,2,6,33.33333333333333
2008-10-14,6,24,25.0
2008-10-15,5,32,15.625
2008-10-16,2,10,20.0
2008-10-17,1,6,16.666666666666664
2008-10-18,2,5,40.0
2008-10-19,1,4,25.0
2008-10-20,2,6,33.33333333333333
2008-10-21,9,27,33.33333333333333
2008-10-22,6,44,13.636363636363635
2008-10-23,2,14,14.285714285714285
2008-10-24,2,7,28.57142857142857
2008-10-25,1,6,16.666666666666664
2008-10-26,1,5,20.0
2008-10-27,1,6,16.666666666666664
2008-10-28,4,27,14.814814814814813
2008-10-29,4,43,9.30232558139535
2008-10-30,2,11,18.181818181818183
2008-10-31,1,6,16.666666666666664
2008-11-01,1,4,25.0
2008-11-02,1,4,25.0
2008-11-03,1,5,20.0
2008-11-04,5,20,25.0
2008-11-05,2,12,16.666666666666664
2008-11-06,3,33,9.090909090909092
2008-11-07,2,10,20.0
2008-11-08,2,7,28.57142857142857
2008-11-09,2,6,33.33333333333333
2008-11-10,1,6,16.666666666666664
2008-11-11,5,24,20.833333333333336
2008-11-12,4,46,8.695652173913043
2008-11-13,2,14,14.285714285714285
2008-11-14,1,7,14.285714285714285
2008-11-15,1,6,16.666666666666664
2008-11-16,2,5,40.0
2008-11-17,2,6,33.33333333333333
2008-11-18,6,28,21.428571428571427
2008-11-19,9,42,21.428571428571427
2008-11-20,3,14,21.428571428571427
2008-11-21,2,8,25.0
2008-11-22,2,6,33.33333333333333
2008-11-23,2,5,40.0
2008-11-24,2,8,25.0
2008-11-25,13,44,29.545454545454547
