date,Cloris Leachman,Dancing with the Stars,normalized_score
2008-09-22,1,26,3.8461538461538463
2008-09-23,11,84,13.095238095238097
2008-09-24,10,100,10.0
2008-09-25,5,61,8.19672131147541
2008-09-26,2,17,11.76470588235294
2008-09-27,1,10,10.0
2008-09-28,1,9,11.11111111111111
2008-09-29,1,10,10.0
2008-09-30,3,39,7.6923076923076925
2008-10-01,2,49,4.081632653061225
2008-10-02,1,15,6.666666666666667
2008-10-03,0,7,0.0
2008-10-04,0,6,0.0
2008-10-05,0,7,0.0
2008-10-06,0,11,0.0
2008-10-07,3,32,9.375
2008-10-08,1,36,2.7777777777777777
2008-10-09,0,13,0.0
2008-10-10,0,7,0.0
2008-10-11,1,6,16.666666666666664
2008-10-12,1,4,25.0
2008-10-13,0,6,0.0
2008-10-14,3,24,12.5
2008-10-15,2,31,6.451612903225806
2008-10-16,0,10,0.0
2008-10-17,0,6,0.0
2008-10-18,0,4,0.0
2008-10-19,0,4,0.0
2008-10-20,0,6,0.0
2008-10-21,2,26,7.6923076923076925
2008-10-22,2,41,4.878048780487805
2008-10-23,1,13,7.6923076923076925
2008-10-24,1,7,14.285714285714285
2008-10-25,1,6,16.666666666666664
2008-10-26,0,4,0.0
2008-10-27,1,6,16.666666666666664
2008-10-28,4,25,16.0
2008-10-29,6,39,15.384615384615385
2008-10-30,2,10,20.0
2008-10-31,1,6,16.666666666666664
2008-11-01,1,4,25.0
2008-11-02,1,4,25.0
2008-11-03,1,5,20.0
2008-11-04,0,20,0.0
2008-11-05,0,11,0.0
2008-11-06,0,33,0.0
2008-11-07,0,10,0.0
2008-11-08,0,7,0.0
2008-11-09,0,6,0.0
2008-11-10,0,6,0.0
2008-11-11,0,23,0.0
2008-11-12,0,42,0.0
2008-11-13,0,13,0.0
2008-11-14,0,7,0.0
2008-11-15,0,6,0.0
2008-11-16,1,5,20.0
2008-11-17,0,6,0.0
2008-11-18,1,28,3.571428571428571
2008-11-19,1,42,2.380952380952381
2008-11-20,0,13,0.0
2008-11-21,0,8,0.0
2008-11-22,0,6,0.0
2008-11-23,0,5,0.0
2008-11-24,0,7,0.0
2008-11-25,0,42,0.0
