date,Cody Linley,Dancing with the Stars,normalized_score
2008-09-22,2,26,7.6923076923076925
2008-09-23,3,84,3.571428571428571
2008-09-24,5,100,5.0
2008-09-25,2,61,3.278688524590164
2008-09-26,1,17,5.88235294117647
2008-09-27,1,10,10.0
2008-09-28,1,9,11.11111111111111
2008-09-29,0,10,0.0
2008-09-30,3,39,7.6923076923076925
2008-10-01,2,49,4.081632653061225
2008-10-02,1,15,6.666666666666667
2008-10-03,1,7,14.285714285714285
2008-10-04,1,6,16.666666666666664
2008-10-05,1,7,14.285714285714285
2008-10-06,0,11,0.0
2008-10-07,1,32,3.125
2008-10-08,1,36,2.7777777777777777
2008-10-09,0,13,0.0
2008-10-10,0,7,0.0
2008-10-11,0,6,0.0
2008-10-12,1,4,25.0
2008-10-13,1,6,16.666666666666664
2008-10-14,1,24,4.166666666666666
2008-10-15,1,31,3.225806451612903
2008-10-16,0,10,0.0
2008-10-17,0,6,0.0
2008-10-18,0,4,0.0
2008-10-19,1,4,25.0
2008-10-20,0,6,0.0
2008-10-21,1,26,3.8461538461538463
2008-10-22,1,41,2.4390243902439024
2008-10-23,1,13,7.6923076923076925
2008-10-24,0,7,0.0
2008-10-25,1,6,16.666666666666664
2008-10-26,0,4,0.0
2008-10-27,0,6,0.0
2008-10-28,1,25,4.0
2008-10-29,1,39,2.564102564102564
2008-10-30,0,10,0.0
2008-10-31,1,6,16.666666666666664
2008-11-01,1,4,25.0
2008-11-02,1,4,25.0
2008-11-03,1,5,20.0
2008-11-04,1,20,5.0
2008-11-05,1,11,9.090909090909092
2008-11-06,2,33,6.0606060606060606
2008-11-07,0,10,0.0
2008-11-08,1,7,14.285714285714285
2008-11-09,1,6,16.666666666666664
2008-11-10,0,6,0.0
2008-11-11,1,23,4.3478260869565215
2008-11-12,3,42,7.142857142857142
2008-11-13,1,13,7.6923076923076925
2008-11-14,1,7,14.285714285714285
2008-11-15,1,6,16.666666666666664
2008-11-16,1,5,20.0
2008-11-17,1,6,16.666666666666664
2008-11-18,2,28,7.142857142857142
2008-11-19,7,42,16.666666666666664
2008-11-20,2,13,15.384615384615385
2008-11-21,1,8,12.5
2008-11-22,1,6,16.666666666666664
2008-11-23,1,5,20.0
2008-11-24,1,7,14.285714285714285
2008-11-25,1,42,2.380952380952381
