date,Kim Kardashian,Dancing with the Stars,normalized_score
2008-09-22,20,27,74.07407407407408
2008-09-23,28,85,32.94117647058823
2008-09-24,31,100,31.0
2008-09-25,23,60,38.333333333333336
2008-09-26,17,17,100.0
2008-09-27,20,11,181.8181818181818
2008-09-28,19,9,211.11111111111111
2008-09-29,13,11,118.18181818181819
2008-09-30,23,42,54.761904761904766
2008-10-01,37,52,71.15384615384616
2008-10-02,21,16,131.25
2008-10-03,15,7,214.28571428571428
2008-10-04,20,7,285.7142857142857
2008-10-05,20,7,285.7142857142857
2008-10-06,16,11,145.45454545454547
2008-10-07,28,34,82.35294117647058
2008-10-08,17,37,45.94594594594595
2008-10-09,13,14,92.85714285714286
2008-10-10,11,7,157.14285714285714
2008-10-11,15,6,250.0
2008-10-12,15,5,300.0
2008-10-13,14,6,233.33333333333334
2008-10-14,11,24,45.83333333333333
2008-10-15,10,32,31.25
2008-10-16,10,10,100.0
2008-10-17,10,6,166.66666666666669
2008-10-18,16,5,320.0
2008-10-19,14,4,350.0
2008-10-20,11,6,183.33333333333331
2008-10-21,10,27,37.03703703703704
2008-10-22,10,44,22.727272727272727
2008-10-23,8,14,57.14285714285714
2008-10-24,9,7,128.57142857142858
2008-10-25,11,6,183.33333333333331
2008-10-26,10,5,200.0
2008-10-27,9,6,150.0
2008-10-28,9,27,33.33333333333333
2008-10-29,12,43,27.906976744186046
2008-10-30,8,11,72.72727272727273
2008-10-31,9,6,150.0
2008-11-01,12,4,300.0
2008-11-02,16,4,400.0
2008-11-03,13,5,260.0
2008-11-04,7,20,35.0
2008-11-05,7,12,58.333333333333336
2008-11-06,8,33,24.242424242424242
2008-11-07,10,10,100.0
2008-11-08,12,7,171.42857142857142
2008-11-09,12,6,200.0
2008-11-10,10,6,166.66666666666669
2008-11-11,10,24,41.66666666666667
2008-11-12,9,46,19.565217391304348
2008-11-13,9,14,64.28571428571429
2008-11-14,8,7,114.28571428571428
2008-11-15,11,6,183.33333333333331
2008-11-16,11,5,220.00000000000003
2008-11-17,10,6,166.66666666666669
2008-11-18,11,28,39.285714285714285
2008-11-19,10,42,23.809523809523807
2008-11-20,8,14,57.14285714285714
2008-11-21,8,8,100.0
2008-11-22,10,6,166.66666666666669
2008-11-23,11,5,220.00000000000003
2008-11-24,9,8,112.5
2008-11-25,13,44,29.545454545454547
