date,Susan Lucci,Dancing with the Stars,normalized_score
2008-09-22,1,26,3.8461538461538463
2008-09-23,13,84,15.476190476190476
2008-09-24,6,100,6.0
2008-09-25,2,61,3.278688524590164
2008-09-26,1,17,5.88235294117647
2008-09-27,1,10,10.0
2008-09-28,1,9,11.11111111111111
2008-09-29,1,10,10.0
2008-09-30,5,39,12.82051282051282
2008-10-01,2,49,4.081632653061225
2008-10-02,1,15,6.666666666666667
2008-10-03,1,7,14.285714285714285
2008-10-04,1,6,16.666666666666664
2008-10-05,1,7,14.285714285714285
2008-10-06,1,11,9.090909090909092
2008-10-07,3,32,9.375
2008-10-08,2,36,5.555555555555555
2008-10-09,1,13,7.6923076923076925
2008-10-10,1,7,14.285714285714285
2008-10-11,1,6,16.666666666666664
2008-10-12,1,4,25.0
2008-10-13,0,6,0.0
2008-10-14,2,24,8.333333333333332
2008-10-15,1,31,3.225806451612903
2008-10-16,1,10,10.0
2008-10-17,0,6,0.0
2008-10-18,0,4,0.0
2008-10-19,0,4,0.0
2008-10-20,0,6,0.0
2008-10-21,3,26,11.538461538461538
2008-10-22,2,41,4.878048780487805
2008-10-23,0,13,0.0
2008-10-24,0,7,0.0
2008-10-25,0,6,0.0
2008-10-26,0,4,0.0
2008-10-27,0,6,0.0
2008-10-28,3,25,12.0
2008-10-29,3,39,7.6923076923076925
2008-10-30,0,10,0.0
2008-10-31,0,6,0.0
2008-11-01,1,4,25.0
2008-11-02,0,4,0.0
2008-11-03,0,5,0.0
2008-11-04,2,20,10.0
2008-11-05,1,11,9.090909090909092
2008-11-06,6,33,18.181818181818183
2008-11-07,1,10,10.0
2008-11-08,1,7,14.285714285714285
2008-11-09,0,6,0.0
2008-11-10,1,6,16.666666666666664
2008-11-11,1,23,4.3478260869565215
2008-11-12,1,42,2.380952380952381
2008-11-13,1,13,7.6923076923076925
2008-11-14,0,7,0.0
2008-11-15,0,6,0.0
2008-11-16,0,5,0.0
2008-11-17,0,6,0.0
2008-11-18,0,28,0.0
2008-11-19,0,42,0.0
2008-11-20,0,13,0.0
2008-11-21,0,8,0.0
2008-11-22,1,6,16.666666666666664
2008-11-23,0,5,0.0
2008-11-24,0,7,0.0
2008-11-25,0,42,0.0
