date,Chuck Wicks,Dancing with the Stars,normalized_score
2009-03-09,1,40,2.5
2009-03-10,4,100,4.0
2009-03-11,1,31,3.225806451612903
2009-03-12,0,15,0.0
2009-03-13,0,11,0.0
2009-03-14,0,10,0.0
2009-03-15,1,14,7.142857142857142
2009-03-16,1,13,7.6923076923076925
2009-03-17,2,55,3.6363636363636362
2009-03-18,2,51,3.9215686274509802
2009-03-19,1,16,6.25
2009-03-20,1,7,14.285714285714285
2009-03-21,1,8,12.5
2009-03-22,1,13,7.6923076923076925
2009-03-23,0,9,0.0
2009-03-24,2,48,4.166666666666666
2009-03-25,1,49,2.0408163265306123
2009-03-26,0,20,0.0
2009-03-27,0,12,0.0
2009-03-28,1,8,12.5
2009-03-29,1,7,14.285714285714285
2009-03-30,1,9,11.11111111111111
2009-03-31,2,43,4.651162790697675
2009-04-01,1,48,2.083333333333333
2009-04-02,1,19,5.263157894736842
2009-04-03,0,10,0.0
2009-04-04,1,8,12.5
2009-04-05,0,7,0.0
2009-04-06,1,8,12.5
2009-04-07,2,33,6.0606060606060606
2009-04-08,1,41,2.4390243902439024
2009-04-09,1,15,6.666666666666667
2009-04-10,1,8,12.5
2009-04-11,0,7,0.0
2009-04-12,0,5,0.0
2009-04-13,0,7,0.0
2009-04-14,3,39,7.6923076923076925
2009-04-15,2,42,4.761904761904762
2009-04-16,0,14,0.0
2009-04-17,0,7,0.0
2009-04-18,0,6,0.0
2009-04-19,1,5,20.0
2009-04-20,0,7,0.0
2009-04-21,2,31,6.451612903225806
2009-04-22,1,39,2.564102564102564
2009-04-23,0,13,0.0
2009-04-24,0,7,0.0
2009-04-25,0,7,0.0
2009-04-26,0,5,0.0
2009-04-27,0,5,0.0
2009-04-28,2,36,5.555555555555555
2009-04-29,4,51,7.8431372549019605
2009-04-30,2,17,11.76470588235294
2009-05-01,1,8,12.5
2009-05-02,1,6,16.666666666666664
2009-05-03,1,5,20.0
2009-05-04,0,8,0.0
2009-05-05,0,38,0.0
2009-05-06,0,56,0.0
2009-05-07,0,18,0.0
2009-05-08,0,8,0.0
2009-05-09,0,6,0.0
2009-05-10,0,6,0.0
2009-05-11,0,7,0.0
2009-05-12,0,33,0.0
2009-05-13,0,49,0.0
2009-05-14,0,16,0.0
2009-05-15,0,7,0.0
2009-05-16,0,5,0.0
2009-05-17,0,5,0.0
2009-05-18,0,10,0.0
2009-05-19,0,50,0.0
