date,Holly Madison,Dancing with the Stars,normalized_score
2009-03-09,5,40,12.5
2009-03-10,9,100,9.0
2009-03-11,5,31,16.129032258064516
2009-03-12,3,15,20.0
2009-03-13,3,11,27.27272727272727
2009-03-14,5,10,50.0
2009-03-15,3,14,21.428571428571427
2009-03-16,2,13,15.384615384615385
2009-03-17,4,55,7.2727272727272725
2009-03-18,3,51,5.88235294117647
2009-03-19,1,16,6.25
2009-03-20,1,7,14.285714285714285
2009-03-21,2,8,25.0
2009-03-22,2,13,15.384615384615385
2009-03-23,2,9,22.22222222222222
2009-03-24,4,48,8.333333333333332
2009-03-25,7,49,14.285714285714285
2009-03-26,2,20,10.0
2009-03-27,3,12,25.0
2009-03-28,4,8,50.0
2009-03-29,5,7,71.42857142857143
2009-03-30,3,9,33.33333333333333
2009-03-31,4,43,9.30232558139535
2009-04-01,7,48,14.583333333333334
2009-04-02,3,19,15.789473684210526
2009-04-03,2,10,20.0
2009-04-04,3,8,37.5
2009-04-05,2,7,28.57142857142857
2009-04-06,2,8,25.0
2009-04-07,2,33,6.0606060606060606
2009-04-08,1,41,2.4390243902439024
2009-04-09,1,15,6.666666666666667
2009-04-10,1,8,12.5
2009-04-11,1,7,14.285714285714285
2009-04-12,2,5,40.0
2009-04-13,1,7,14.285714285714285
2009-04-14,2,39,5.128205128205128
2009-04-15,1,42,2.380952380952381
2009-04-16,1,14,7.142857142857142
2009-04-17,1,7,14.285714285714285
2009-04-18,2,6,33.33333333333333
2009-04-19,2,5,40.0
2009-04-20,1,7,14.285714285714285
2009-04-21,1,31,3.225806451612903
2009-04-22,1,39,2.564102564102564
2009-04-23,1,13,7.6923076923076925
2009-04-24,1,7,14.285714285714285
2009-04-25,2,7,28.57142857142857
2009-04-26,1,5,20.0
2009-04-27,1,5,20.0
2009-04-28,1,36,2.7777777777777777
2009-04-29,2,51,3.9215686274509802
2009-04-30,2,17,11.76470588235294
2009-05-01,3,8,37.5
2009-05-02,2,6,33.33333333333333
2009-05-03,1,5,20.0
2009-05-04,1,8,12.5
2009-05-05,1,38,2.631578947368421
2009-05-06,1,56,1.7857142857142856
2009-05-07,1,18,5.555555555555555
2009-05-08,1,8,12.5
2009-05-09,1,6,16.666666666666664
2009-05-10,1,6,16.666666666666664
2009-05-11,1,7,14.285714285714285
2009-05-12,3,33,9.090909090909092
2009-05-13,1,49,2.0408163265306123
2009-05-14,1,16,6.25
2009-05-15,2,7,28.57142857142857
2009-05-16,4,5,80.0
2009-05-17,3,5,60.0
2009-05-18,3,10,30.0
2009-05-19,1,50,2.0
