date,Shawn Johnson,Dancing with the Stars,normalized_score
2009-03-09,3,44,6.8181818181818175
2009-03-10,12,100,12.0
2009-03-11,3,31,9.67741935483871
2009-03-12,2,15,13.333333333333334
2009-03-13,2,11,18.181818181818183
2009-03-14,2,9,22.22222222222222
2009-03-15,3,14,21.428571428571427
2009-03-16,2,13,15.384615384615385
2009-03-17,7,57,12.280701754385964
2009-03-18,4,52,7.6923076923076925
2009-03-19,1,17,5.88235294117647
2009-03-20,1,7,14.285714285714285
2009-03-21,1,8,12.5
2009-03-22,2,13,15.384615384615385
2009-03-23,2,9,22.22222222222222
2009-03-24,5,48,10.416666666666668
2009-03-25,4,48,8.333333333333332
2009-03-26,25,20,125.0
2009-03-27,14,12,116.66666666666667
2009-03-28,7,8,87.5
2009-03-29,5,7,71.42857142857143
2009-03-30,3,9,33.33333333333333
2009-03-31,7,42,16.666666666666664
2009-04-01,6,49,12.244897959183673
2009-04-02,6,19,31.57894736842105
2009-04-03,6,9,66.66666666666666
2009-04-04,3,8,37.5
2009-04-05,3,7,42.857142857142854
2009-04-06,2,9,22.22222222222222
2009-04-07,3,34,8.823529411764707
2009-04-08,3,41,7.317073170731707
2009-04-09,2,15,13.333333333333334
2009-04-10,2,8,25.0
2009-04-11,5,7,71.42857142857143
2009-04-12,2,5,40.0
2009-04-13,1,7,14.285714285714285
2009-04-14,6,39,15.384615384615385
2009-04-15,4,43,9.30232558139535
2009-04-16,2,14,14.285714285714285
2009-04-17,2,7,28.57142857142857
2009-04-18,2,7,28.57142857142857
2009-04-19,2,6,33.33333333333333
2009-04-20,1,7,14.285714285714285
2009-04-21,5,31,16.129032258064516
2009-04-22,3,43,6.976744186046512
2009-04-23,2,13,15.384615384615385
2009-04-24,2,7,28.57142857142857
2009-04-25,2,7,28.57142857142857
2009-04-26,1,5,20.0
2009-04-27,1,6,16.666666666666664
2009-04-28,3,39,7.6923076923076925
2009-04-29,3,44,6.8181818181818175
2009-04-30,2,17,11.76470588235294
2009-05-01,1,8,12.5
2009-05-02,1,6,16.666666666666664
2009-05-03,1,5,20.0
2009-05-04,1,8,12.5
2009-05-05,4,39,10.256410256410255
2009-05-06,2,55,3.6363636363636362
2009-05-07,1,18,5.555555555555555
2009-05-08,1,8,12.5
2009-05-09,2,6,33.33333333333333
2009-05-10,1,6,16.666666666666664
2009-05-11,1,8,12.5
2009-05-12,4,36,11.11111111111111
2009-05-13,3,50,6.0
2009-05-14,2,17,11.76470588235294
2009-05-15,1,7,14.285714285714285
2009-05-16,1,5,20.0
2009-05-17,1,5,20.0
2009-05-18,2,10,20.0
2009-05-19,5,54,9.25925925925926
