date,Steve Wozniak,Dancing with the Stars,normalized_score
2009-03-09,1,44,2.272727272727273
2009-03-10,7,100,7.000000000000001
2009-03-11,1,31,3.225806451612903
2009-03-12,1,15,6.666666666666667
2009-03-13,1,11,9.090909090909092
2009-03-14,0,9,0.0
2009-03-15,1,14,7.142857142857142
2009-03-16,1,13,7.6923076923076925
2009-03-17,4,57,7.017543859649122
2009-03-18,4,52,7.6923076923076925
2009-03-19,1,17,5.88235294117647
2009-03-20,1,7,14.285714285714285
2009-03-21,0,8,0.0
2009-03-22,1,13,7.6923076923076925
2009-03-23,1,9,11.11111111111111
2009-03-24,5,48,10.416666666666668
2009-03-25,4,48,8.333333333333332
2009-03-26,1,20,5.0
2009-03-27,1,12,8.333333333333332
2009-03-28,0,8,0.0
2009-03-29,0,7,0.0
2009-03-30,1,9,11.11111111111111
2009-03-31,3,42,7.142857142857142
2009-04-01,3,49,6.122448979591836
2009-04-02,1,19,5.263157894736842
2009-04-03,1,9,11.11111111111111
2009-04-04,0,8,0.0
2009-04-05,0,7,0.0
2009-04-06,0,9,0.0
2009-04-07,0,34,0.0
2009-04-08,1,41,2.4390243902439024
2009-04-09,0,15,0.0
2009-04-10,0,8,0.0
2009-04-11,0,7,0.0
2009-04-12,0,5,0.0
2009-04-13,0,7,0.0
2009-04-14,0,39,0.0
2009-04-15,0,43,0.0
2009-04-16,0,14,0.0
2009-04-17,0,7,0.0
2009-04-18,0,7,0.0
2009-04-19,0,6,0.0
2009-04-20,0,7,0.0
2009-04-21,0,31,0.0
2009-04-22,0,43,0.0
2009-04-23,0,13,0.0
2009-04-24,0,7,0.0
2009-04-25,0,7,0.0
2009-04-26,0,5,0.0
2009-04-27,0,6,0.0
2009-04-28,0,39,0.0
2009-04-29,0,44,0.0
2009-04-30,0,17,0.0
2009-05-01,0,8,0.0
2009-05-02,0,6,0.0
2009-05-03,0,5,0.0
2009-05-04,0,8,0.0
2009-05-05,0,39,0.0
2009-05-06,0,55,0.0
2009-05-07,0,18,0.0
2009-05-08,0,8,0.0
2009-05-09,0,6,0.0
2009-05-10,0,6,0.0
2009-05-11,0,8,0.0
2009-05-12,0,36,0.0
2009-05-13,0,50,0.0
2009-05-14,0,17,0.0
2009-05-15,0,7,0.0
2009-05-16,0,5,0.0
2009-05-17,0,5,0.0
2009-05-18,0,10,0.0
2009-05-19,0,54,0.0
