date,Steve-O,Dancing with the Stars,normalized_score
2009-03-09,0,40,0.0
2009-03-10,2,100,2.0
2009-03-11,1,31,3.225806451612903
2009-03-12,0,15,0.0
2009-03-13,0,11,0.0
2009-03-14,0,10,0.0
2009-03-15,1,14,7.142857142857142
2009-03-16,0,13,0.0
2009-03-17,3,55,5.454545454545454
2009-03-18,1,51,1.9607843137254901
2009-03-19,1,16,6.25
2009-03-20,0,7,0.0
2009-03-21,0,8,0.0
2009-03-22,1,13,7.6923076923076925
2009-03-23,0,9,0.0
2009-03-24,1,48,2.083333333333333
2009-03-25,1,49,2.0408163265306123
2009-03-26,0,20,0.0
2009-03-27,0,12,0.0
2009-03-28,0,8,0.0
2009-03-29,0,7,0.0
2009-03-30,0,9,0.0
2009-03-31,1,43,2.3255813953488373
2009-04-01,1,48,2.083333333333333
2009-04-02,0,19,0.0
2009-04-03,0,10,0.0
2009-04-04,0,8,0.0
2009-04-05,0,7,0.0
2009-04-06,0,8,0.0
2009-04-07,1,33,3.0303030303030303
2009-04-08,1,41,2.4390243902439024
2009-04-09,0,15,0.0
2009-04-10,0,8,0.0
2009-04-11,0,7,0.0
2009-04-12,0,5,0.0
2009-04-13,0,7,0.0
2009-04-14,1,39,2.564102564102564
2009-04-15,2,42,4.761904761904762
2009-04-16,0,14,0.0
2009-04-17,0,7,0.0
2009-04-18,0,6,0.0
2009-04-19,0,5,0.0
2009-04-20,0,7,0.0
2009-04-21,0,31,0.0
2009-04-22,0,39,0.0
2009-04-23,0,13,0.0
2009-04-24,0,7,0.0
2009-04-25,1,7,14.285714285714285
2009-04-26,1,5,20.0
2009-04-27,1,5,20.0
2009-04-28,0,36,0.0
2009-04-29,1,51,1.9607843137254901
2009-04-30,1,17,5.88235294117647
2009-05-01,0,8,0.0
2009-05-02,1,6,16.666666666666664
2009-05-03,1,5,20.0
2009-05-04,5,8,62.5
2009-05-05,2,38,5.263157894736842
2009-05-06,1,56,1.7857142857142856
2009-05-07,2,18,11.11111111111111
2009-05-08,1,8,12.5
2009-05-09,1,6,16.666666666666664
2009-05-10,2,6,33.33333333333333
2009-05-11,1,7,14.285714285714285
2009-05-12,1,33,3.0303030303030303
2009-05-13,1,49,2.0408163265306123
2009-05-14,1,16,6.25
2009-05-15,1,7,14.285714285714285
2009-05-16,1,5,20.0
2009-05-17,1,5,20.0
2009-05-18,1,10,10.0
2009-05-19,0,50,0.0
