date,Donny Osmond,Dancing with the Stars,normalized_score
2009-09-21,0,38,0.0
2009-09-22,6,89,6.741573033707865
2009-09-23,2,95,2.1052631578947367
2009-09-24,1,100,1.0
2009-09-25,1,27,3.7037037037037033
2009-09-26,1,19,5.263157894736842
2009-09-27,1,13,7.6923076923076925
2009-09-28,1,16,6.25
2009-09-29,4,60,6.666666666666667
2009-09-30,2,65,3.076923076923077
2009-10-01,1,23,4.3478260869565215
2009-10-02,0,17,0.0
2009-10-03,0,12,0.0
2009-10-04,1,10,10.0
2009-10-05,0,12,0.0
2009-10-06,3,54,5.555555555555555
2009-10-07,1,64,1.5625
2009-10-08,0,17,0.0
2009-10-09,1,10,10.0
2009-10-10,0,8,0.0
2009-10-11,1,6,16.666666666666664
2009-10-12,0,10,0.0
2009-10-13,3,48,6.25
2009-10-14,1,57,1.7543859649122806
2009-10-15,1,18,5.555555555555555
2009-10-16,1,9,11.11111111111111
2009-10-17,0,7,0.0
2009-10-18,0,6,0.0
2009-10-19,0,11,0.0
2009-10-20,3,48,6.25
2009-10-21,2,66,3.0303030303030303
2009-10-22,1,20,5.0
2009-10-23,0,11,0.0
2009-10-24,1,7,14.285714285714285
2009-10-25,1,6,16.666666666666664
2009-10-26,0,10,0.0
2009-10-27,3,40,7.5
2009-10-28,1,60,1.6666666666666667
2009-10-29,1,16,6.25
2009-10-30,0,8,0.0
2009-10-31,1,7,14.285714285714285
2009-11-01,0,5,0.0
2009-11-02,0,8,0.0
2009-11-03,2,35,5.714285714285714
2009-11-04,1,59,1.694915254237288
2009-11-05,1,18,5.555555555555555
2009-11-06,0,9,0.0
2009-11-07,1,7,14.285714285714285
2009-11-08,0,7,0.0
2009-11-09,0,8,0.0
2009-11-10,3,41,7.317073170731707
2009-11-11,2,61,3.278688524590164
2009-11-12,1,20,5.0
2009-11-13,1,10,10.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,6,51,11.76470588235294
2009-11-18,3,81,3.7037037037037033
2009-11-19,1,27,3.7037037037037033
2009-11-20,1,12,8.333333333333332
2009-11-21,1,10,10.0
2009-11-22,1,8,12.5
2009-11-23,1,12,8.333333333333332
2009-11-24,8,68,11.76470588235294
