date,Kathy Ireland,Dancing with the Stars,normalized_score
2009-09-21,1,38,2.631578947368421
2009-09-22,2,89,2.247191011235955
2009-09-23,13,95,13.684210526315791
2009-09-24,4,100,4.0
2009-09-25,1,27,3.7037037037037033
2009-09-26,2,19,10.526315789473683
2009-09-27,1,13,7.6923076923076925
2009-09-28,1,16,6.25
2009-09-29,5,60,8.333333333333332
2009-09-30,8,65,12.307692307692308
2009-10-01,2,23,8.695652173913043
2009-10-02,1,17,5.88235294117647
2009-10-03,0,12,0.0
2009-10-04,1,10,10.0
2009-10-05,3,12,25.0
2009-10-06,2,54,3.7037037037037033
2009-10-07,1,64,1.5625
2009-10-08,1,17,5.88235294117647
2009-10-09,1,10,10.0
2009-10-10,1,8,12.5
2009-10-11,1,6,16.666666666666664
2009-10-12,1,10,10.0
2009-10-13,1,48,2.083333333333333
2009-10-14,1,57,1.7543859649122806
2009-10-15,1,18,5.555555555555555
2009-10-16,1,9,11.11111111111111
2009-10-17,1,7,14.285714285714285
2009-10-18,0,6,0.0
2009-10-19,1,11,9.090909090909092
2009-10-20,1,48,2.083333333333333
2009-10-21,1,66,1.5151515151515151
2009-10-22,1,20,5.0
2009-10-23,1,11,9.090909090909092
2009-10-24,1,7,14.285714285714285
2009-10-25,1,6,16.666666666666664
2009-10-26,0,10,0.0
2009-10-27,0,40,0.0
2009-10-28,1,60,1.6666666666666667
2009-10-29,1,16,6.25
2009-10-30,0,8,0.0
2009-10-31,0,7,0.0
2009-11-01,1,5,20.0
2009-11-02,1,8,12.5
2009-11-03,1,35,2.857142857142857
2009-11-04,1,59,1.694915254237288
2009-11-05,1,18,5.555555555555555
2009-11-06,1,9,11.11111111111111
2009-11-07,0,7,0.0
2009-11-08,1,7,14.285714285714285
2009-11-09,1,8,12.5
2009-11-10,0,41,0.0
2009-11-11,1,61,1.639344262295082
2009-11-12,1,20,5.0
2009-11-13,1,10,10.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,0,51,0.0
2009-11-18,1,81,1.2345679012345678
2009-11-19,1,27,3.7037037037037033
2009-11-20,0,12,0.0
2009-11-21,1,10,10.0
2009-11-22,2,8,25.0
2009-11-23,1,12,8.333333333333332
2009-11-24,1,68,1.4705882352941175
