date,Kelly Osbourne,Dancing with the Stars,normalized_score
2009-09-21,1,38,2.631578947368421
2009-09-22,2,89,2.247191011235955
2009-09-23,12,95,12.631578947368421
2009-09-24,5,100,5.0
2009-09-25,2,27,7.4074074074074066
2009-09-26,2,19,10.526315789473683
2009-09-27,2,13,15.384615384615385
2009-09-28,2,16,12.5
2009-09-29,3,60,5.0
2009-09-30,2,65,3.076923076923077
2009-10-01,1,23,4.3478260869565215
2009-10-02,1,17,5.88235294117647
2009-10-03,0,12,0.0
2009-10-04,1,10,10.0
2009-10-05,1,12,8.333333333333332
2009-10-06,3,54,5.555555555555555
2009-10-07,2,64,3.125
2009-10-08,1,17,5.88235294117647
2009-10-09,0,10,0.0
2009-10-10,1,8,12.5
2009-10-11,0,6,0.0
2009-10-12,1,10,10.0
2009-10-13,1,48,2.083333333333333
2009-10-14,1,57,1.7543859649122806
2009-10-15,1,18,5.555555555555555
2009-10-16,1,9,11.11111111111111
2009-10-17,1,7,14.285714285714285
2009-10-18,1,6,16.666666666666664
2009-10-19,1,11,9.090909090909092
2009-10-20,3,48,6.25
2009-10-21,2,66,3.0303030303030303
2009-10-22,1,20,5.0
2009-10-23,1,11,9.090909090909092
2009-10-24,0,7,0.0
2009-10-25,1,6,16.666666666666664
2009-10-26,0,10,0.0
2009-10-27,2,40,5.0
2009-10-28,1,60,1.6666666666666667
2009-10-29,0,16,0.0
2009-10-30,1,8,12.5
2009-10-31,0,7,0.0
2009-11-01,1,5,20.0
2009-11-02,1,8,12.5
2009-11-03,2,35,5.714285714285714
2009-11-04,1,59,1.694915254237288
2009-11-05,1,18,5.555555555555555
2009-11-06,1,9,11.11111111111111
2009-11-07,0,7,0.0
2009-11-08,0,7,0.0
2009-11-09,1,8,12.5
2009-11-10,3,41,7.317073170731707
2009-11-11,2,61,3.278688524590164
2009-11-12,1,20,5.0
2009-11-13,1,10,10.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,5,51,9.803921568627452
2009-11-18,4,81,4.938271604938271
2009-11-19,1,27,3.7037037037037033
2009-11-20,1,12,8.333333333333332
2009-11-21,2,10,20.0
2009-11-22,1,8,12.5
2009-11-23,1,12,8.333333333333332
2009-11-24,5,68,7.352941176470589
