date,Louie Vito,Dancing with the Stars,normalized_score
2009-09-21,1,38,2.631578947368421
2009-09-22,6,89,6.741573033707865
2009-09-23,2,95,2.1052631578947367
2009-09-24,2,100,2.0
2009-09-25,1,27,3.7037037037037033
2009-09-26,0,19,0.0
2009-09-27,0,13,0.0
2009-09-28,1,16,6.25
2009-09-29,3,60,5.0
2009-09-30,2,65,3.076923076923077
2009-10-01,1,23,4.3478260869565215
2009-10-02,0,17,0.0
2009-10-03,0,12,0.0
2009-10-04,0,10,0.0
2009-10-05,0,12,0.0
2009-10-06,4,54,7.4074074074074066
2009-10-07,2,64,3.125
2009-10-08,1,17,5.88235294117647
2009-10-09,0,10,0.0
2009-10-10,0,8,0.0
2009-10-11,0,6,0.0
2009-10-12,1,10,10.0
2009-10-13,2,48,4.166666666666666
2009-10-14,2,57,3.508771929824561
2009-10-15,0,18,0.0
2009-10-16,1,9,11.11111111111111
2009-10-17,0,7,0.0
2009-10-18,0,6,0.0
2009-10-19,1,11,9.090909090909092
2009-10-20,4,48,8.333333333333332
2009-10-21,2,66,3.0303030303030303
2009-10-22,1,20,5.0
2009-10-23,0,11,0.0
2009-10-24,0,7,0.0
2009-10-25,0,6,0.0
2009-10-26,0,10,0.0
2009-10-27,2,40,5.0
2009-10-28,5,60,8.333333333333332
2009-10-29,2,16,12.5
2009-10-30,1,8,12.5
2009-10-31,1,7,14.285714285714285
2009-11-01,1,5,20.0
2009-11-02,1,8,12.5
2009-11-03,1,35,2.857142857142857
2009-11-04,1,59,1.694915254237288
2009-11-05,0,18,0.0
2009-11-06,0,9,0.0
2009-11-07,0,7,0.0
2009-11-08,0,7,0.0
2009-11-09,0,8,0.0
2009-11-10,0,41,0.0
2009-11-11,0,61,0.0
2009-11-12,0,20,0.0
2009-11-13,0,10,0.0
2009-11-14,0,8,0.0
2009-11-15,0,6,0.0
2009-11-16,0,8,0.0
2009-11-17,0,51,0.0
2009-11-18,0,81,0.0
2009-11-19,0,27,0.0
2009-11-20,0,12,0.0
2009-11-21,0,10,0.0
2009-11-22,0,8,0.0
2009-11-23,0,12,0.0
2009-11-24,0,68,0.0
