date,Melissa Joan Hart,Dancing with the Stars,normalized_score
2009-09-21,1,38,2.631578947368421
2009-09-22,1,89,1.1235955056179776
2009-09-23,4,95,4.2105263157894735
2009-09-24,2,100,2.0
2009-09-25,0,27,0.0
2009-09-26,1,19,5.263157894736842
2009-09-27,1,13,7.6923076923076925
2009-09-28,0,16,0.0
2009-09-29,2,60,3.3333333333333335
2009-09-30,1,65,1.5384615384615385
2009-10-01,1,23,4.3478260869565215
2009-10-02,1,17,5.88235294117647
2009-10-03,1,12,8.333333333333332
2009-10-04,1,10,10.0
2009-10-05,1,12,8.333333333333332
2009-10-06,2,54,3.7037037037037033
2009-10-07,1,64,1.5625
2009-10-08,1,17,5.88235294117647
2009-10-09,1,10,10.0
2009-10-10,1,8,12.5
2009-10-11,1,6,16.666666666666664
2009-10-12,1,10,10.0
2009-10-13,2,48,4.166666666666666
2009-10-14,2,57,3.508771929824561
2009-10-15,1,18,5.555555555555555
2009-10-16,1,9,11.11111111111111
2009-10-17,0,7,0.0
2009-10-18,0,6,0.0
2009-10-19,0,11,0.0
2009-10-20,2,48,4.166666666666666
2009-10-21,1,66,1.5151515151515151
2009-10-22,0,20,0.0
2009-10-23,0,11,0.0
2009-10-24,0,7,0.0
2009-10-25,1,6,16.666666666666664
2009-10-26,1,10,10.0
2009-10-27,2,40,5.0
2009-10-28,5,60,8.333333333333332
2009-10-29,5,16,31.25
2009-10-30,3,8,37.5
2009-10-31,2,7,28.57142857142857
2009-11-01,1,5,20.0
2009-11-02,1,8,12.5
2009-11-03,1,35,2.857142857142857
2009-11-04,2,59,3.389830508474576
2009-11-05,1,18,5.555555555555555
2009-11-06,1,9,11.11111111111111
2009-11-07,1,7,14.285714285714285
2009-11-08,1,7,14.285714285714285
2009-11-09,0,8,0.0
2009-11-10,0,41,0.0
2009-11-11,0,61,0.0
2009-11-12,1,20,5.0
2009-11-13,0,10,0.0
2009-11-14,1,8,12.5
2009-11-15,1,6,16.666666666666664
2009-11-16,1,8,12.5
2009-11-17,0,51,0.0
2009-11-18,0,81,0.0
2009-11-19,1,27,3.7037037037037033
2009-11-20,0,12,0.0
2009-11-21,1,10,10.0
2009-11-22,1,8,12.5
2009-11-23,2,12,16.666666666666664
2009-11-24,1,68,1.4705882352941175
