date,Mya,Dancing with the Stars,normalized_score
2009-09-21,3,38,7.894736842105263
2009-09-22,4,89,4.49438202247191
2009-09-23,9,95,9.473684210526317
2009-09-24,4,100,4.0
2009-09-25,3,27,11.11111111111111
2009-09-26,3,19,15.789473684210526
2009-09-27,3,13,23.076923076923077
2009-09-28,2,16,12.5
2009-09-29,7,60,11.666666666666666
2009-09-30,5,65,7.6923076923076925
2009-10-01,3,23,13.043478260869565
2009-10-02,3,17,17.647058823529413
2009-10-03,4,12,33.33333333333333
2009-10-04,3,10,30.0
2009-10-05,3,12,25.0
2009-10-06,7,54,12.962962962962962
2009-10-07,5,64,7.8125
2009-10-08,3,17,17.647058823529413
2009-10-09,3,10,30.0
2009-10-10,3,8,37.5
2009-10-11,4,6,66.66666666666666
2009-10-12,3,10,30.0
2009-10-13,8,48,16.666666666666664
2009-10-14,5,57,8.771929824561402
2009-10-15,4,18,22.22222222222222
2009-10-16,3,9,33.33333333333333
2009-10-17,3,7,42.857142857142854
2009-10-18,3,6,50.0
2009-10-19,2,11,18.181818181818183
2009-10-20,5,48,10.416666666666668
2009-10-21,4,66,6.0606060606060606
2009-10-22,3,20,15.0
2009-10-23,3,11,27.27272727272727
2009-10-24,3,7,42.857142857142854
2009-10-25,3,6,50.0
2009-10-26,3,10,30.0
2009-10-27,4,40,10.0
2009-10-28,3,60,5.0
2009-10-29,2,16,12.5
2009-10-30,3,8,37.5
2009-10-31,3,7,42.857142857142854
2009-11-01,2,5,40.0
2009-11-02,2,8,25.0
2009-11-03,4,35,11.428571428571429
2009-11-04,3,59,5.084745762711865
2009-11-05,3,18,16.666666666666664
2009-11-06,3,9,33.33333333333333
2009-11-07,3,7,42.857142857142854
2009-11-08,3,7,42.857142857142854
2009-11-09,2,8,25.0
2009-11-10,7,41,17.073170731707318
2009-11-11,6,61,9.836065573770492
2009-11-12,3,20,15.0
2009-11-13,3,10,30.0
2009-11-14,3,8,37.5
2009-11-15,2,6,33.33333333333333
2009-11-16,2,8,25.0
2009-11-17,11,51,21.568627450980394
2009-11-18,9,81,11.11111111111111
2009-11-19,4,27,14.814814814814813
2009-11-20,3,12,25.0
2009-11-21,4,10,40.0
2009-11-22,4,8,50.0
2009-11-23,5,12,41.66666666666667
2009-11-24,12,68,17.647058823529413
