date,Natalie Coughlin,Dancing with the Stars,normalized_score
2009-09-21,0,38,0.0
2009-09-22,1,89,1.1235955056179776
2009-09-23,5,95,5.263157894736842
2009-09-24,2,100,2.0
2009-09-25,1,27,3.7037037037037033
2009-09-26,1,19,5.263157894736842
2009-09-27,0,13,0.0
2009-09-28,1,16,6.25
2009-09-29,2,60,3.3333333333333335
2009-09-30,1,65,1.5384615384615385
2009-10-01,0,23,0.0
2009-10-02,0,17,0.0
2009-10-03,0,12,0.0
2009-10-04,0,10,0.0
2009-10-05,0,12,0.0
2009-10-06,2,54,3.7037037037037033
2009-10-07,1,64,1.5625
2009-10-08,0,17,0.0
2009-10-09,0,10,0.0
2009-10-10,0,8,0.0
2009-10-11,0,6,0.0
2009-10-12,0,10,0.0
2009-10-13,2,48,4.166666666666666
2009-10-14,1,57,1.7543859649122806
2009-10-15,0,18,0.0
2009-10-16,0,9,0.0
2009-10-17,0,7,0.0
2009-10-18,0,6,0.0
2009-10-19,0,11,0.0
2009-10-20,1,48,2.083333333333333
2009-10-21,8,66,12.121212121212121
2009-10-22,1,20,5.0
2009-10-23,0,11,0.0
2009-10-24,0,7,0.0
2009-10-25,0,6,0.0
2009-10-26,0,10,0.0
2009-10-27,1,40,2.5
2009-10-28,1,60,1.6666666666666667
2009-10-29,0,16,0.0
2009-10-30,0,8,0.0
2009-10-31,0,7,0.0
2009-11-01,0,5,0.0
2009-11-02,0,8,0.0
2009-11-03,0,35,0.0
2009-11-04,1,59,1.694915254237288
2009-11-05,0,18,0.0
2009-11-06,0,9,0.0
2009-11-07,0,7,0.0
2009-11-08,0,7,0.0
2009-11-09,0,8,0.0
2009-11-10,0,41,0.0
2009-11-11,0,61,0.0
2009-11-12,0,20,0.0
2009-11-13,0,10,0.0
2009-11-14,0,8,0.0
2009-11-15,0,6,0.0
2009-11-16,0,8,0.0
2009-11-17,0,51,0.0
2009-11-18,0,81,0.0
2009-11-19,0,27,0.0
2009-11-20,0,12,0.0
2009-11-21,0,10,0.0
2009-11-22,0,8,0.0
2009-11-23,0,12,0.0
2009-11-24,0,68,0.0
