date,Tom DeLay,Dancing with the Stars,normalized_score
2009-09-21,2,38,5.263157894736842
2009-09-22,23,89,25.842696629213485
2009-09-23,11,95,11.578947368421053
2009-09-24,6,100,6.0
2009-09-25,4,27,14.814814814814813
2009-09-26,3,19,15.789473684210526
2009-09-27,2,13,15.384615384615385
2009-09-28,1,16,6.25
2009-09-29,7,60,11.666666666666666
2009-09-30,3,65,4.615384615384616
2009-10-01,0,23,0.0
2009-10-02,1,17,5.88235294117647
2009-10-03,1,12,8.333333333333332
2009-10-04,0,10,0.0
2009-10-05,0,12,0.0
2009-10-06,7,54,12.962962962962962
2009-10-07,7,64,10.9375
2009-10-08,3,17,17.647058823529413
2009-10-09,2,10,20.0
2009-10-10,1,8,12.5
2009-10-11,1,6,16.666666666666664
2009-10-12,0,10,0.0
2009-10-13,1,48,2.083333333333333
2009-10-14,0,57,0.0
2009-10-15,0,18,0.0
2009-10-16,0,9,0.0
2009-10-17,0,7,0.0
2009-10-18,0,6,0.0
2009-10-19,0,11,0.0
2009-10-20,0,48,0.0
2009-10-21,0,66,0.0
2009-10-22,0,20,0.0
2009-10-23,0,11,0.0
2009-10-24,0,7,0.0
2009-10-25,0,6,0.0
2009-10-26,0,10,0.0
2009-10-27,0,40,0.0
2009-10-28,0,60,0.0
2009-10-29,0,16,0.0
2009-10-30,0,8,0.0
2009-10-31,0,7,0.0
2009-11-01,0,5,0.0
2009-11-02,1,8,12.5
2009-11-03,0,35,0.0
2009-11-04,0,59,0.0
2009-11-05,0,18,0.0
2009-11-06,0,9,0.0
2009-11-07,0,7,0.0
2009-11-08,0,7,0.0
2009-11-09,0,8,0.0
2009-11-10,0,41,0.0
2009-11-11,0,61,0.0
2009-11-12,0,20,0.0
2009-11-13,0,10,0.0
2009-11-14,0,8,0.0
2009-11-15,0,6,0.0
2009-11-16,0,8,0.0
2009-11-17,0,51,0.0
2009-11-18,0,81,0.0
2009-11-19,0,27,0.0
2009-11-20,0,12,0.0
2009-11-21,0,10,0.0
2009-11-22,1,8,12.5
2009-11-23,0,12,0.0
2009-11-24,0,68,0.0
