date,Aiden Turner,Dancing with the Stars,normalized_score
2010-03-22,0,22,0.0
2010-03-23,3,100,3.0
2010-03-24,0,31,0.0
2010-03-25,0,14,0.0
2010-03-26,0,9,0.0
2010-03-27,0,8,0.0
2010-03-28,1,11,9.090909090909092
2010-03-29,0,11,0.0
2010-03-30,1,67,1.4925373134328357
2010-03-31,0,84,0.0
2010-04-01,0,21,0.0
2010-04-02,0,9,0.0
2010-04-03,0,10,0.0
2010-04-04,0,7,0.0
2010-04-05,0,10,0.0
2010-04-06,1,48,2.083333333333333
2010-04-07,0,71,0.0
2010-04-08,0,22,0.0
2010-04-09,0,11,0.0
2010-04-10,0,8,0.0
2010-04-11,0,7,0.0
2010-04-12,0,8,0.0
2010-04-13,1,45,2.2222222222222223
2010-04-14,4,75,5.333333333333334
2010-04-15,1,21,4.761904761904762
2010-04-16,0,10,0.0
2010-04-17,0,7,0.0
2010-04-18,0,6,0.0
2010-04-19,0,7,0.0
2010-04-20,0,35,0.0
2010-04-21,0,65,0.0
2010-04-22,0,13,0.0
2010-04-23,0,7,0.0
2010-04-24,0,6,0.0
2010-04-25,0,5,0.0
2010-04-26,0,6,0.0
2010-04-27,0,29,0.0
2010-04-28,0,48,0.0
2010-04-29,0,14,0.0
2010-04-30,0,6,0.0
2010-05-01,0,4,0.0
2010-05-02,0,4,0.0
2010-05-03,0,5,0.0
2010-05-04,0,26,0.0
2010-05-05,0,47,0.0
2010-05-06,0,19,0.0
2010-05-07,0,10,0.0
2010-05-08,0,6,0.0
2010-05-09,0,5,0.0
2010-05-10,0,7,0.0
2010-05-11,0,33,0.0
2010-05-12,0,45,0.0
2010-05-13,0,13,0.0
2010-05-14,0,6,0.0
2010-05-15,0,5,0.0
2010-05-16,0,4,0.0
2010-05-17,0,6,0.0
2010-05-18,0,35,0.0
2010-05-19,0,51,0.0
2010-05-20,0,14,0.0
2010-05-21,0,7,0.0
2010-05-22,0,6,0.0
2010-05-23,0,5,0.0
2010-05-24,0,9,0.0
2010-05-25,0,42,0.0
