date,Buzz Aldrin,Dancing with the Stars,normalized_score
2010-03-22,1,22,4.545454545454546
2010-03-23,9,100,9.0
2010-03-24,1,31,3.225806451612903
2010-03-25,1,14,7.142857142857142
2010-03-26,0,9,0.0
2010-03-27,0,8,0.0
2010-03-28,1,11,9.090909090909092
2010-03-29,0,11,0.0
2010-03-30,6,67,8.955223880597014
2010-03-31,2,84,2.380952380952381
2010-04-01,1,21,4.761904761904762
2010-04-02,0,9,0.0
2010-04-03,0,10,0.0
2010-04-04,0,7,0.0
2010-04-05,0,10,0.0
2010-04-06,3,48,6.25
2010-04-07,5,71,7.042253521126761
2010-04-08,1,22,4.545454545454546
2010-04-09,0,11,0.0
2010-04-10,0,8,0.0
2010-04-11,0,7,0.0
2010-04-12,0,8,0.0
2010-04-13,1,45,2.2222222222222223
2010-04-14,1,75,1.3333333333333335
2010-04-15,1,21,4.761904761904762
2010-04-16,1,10,10.0
2010-04-17,0,7,0.0
2010-04-18,0,6,0.0
2010-04-19,0,7,0.0
2010-04-20,0,35,0.0
2010-04-21,1,65,1.5384615384615385
2010-04-22,0,13,0.0
2010-04-23,0,7,0.0
2010-04-24,0,6,0.0
2010-04-25,0,5,0.0
2010-04-26,0,6,0.0
2010-04-27,0,29,0.0
2010-04-28,0,48,0.0
2010-04-29,0,14,0.0
2010-04-30,0,6,0.0
2010-05-01,0,4,0.0
2010-05-02,0,4,0.0
2010-05-03,0,5,0.0
2010-05-04,0,26,0.0
2010-05-05,0,47,0.0
2010-05-06,0,19,0.0
2010-05-07,2,10,20.0
2010-05-08,1,6,16.666666666666664
2010-05-09,1,5,20.0
2010-05-10,1,7,14.285714285714285
2010-05-11,1,33,3.0303030303030303
2010-05-12,0,45,0.0
2010-05-13,1,13,7.6923076923076925
2010-05-14,0,6,0.0
2010-05-15,1,5,20.0
2010-05-16,1,4,25.0
2010-05-17,0,6,0.0
2010-05-18,1,35,2.857142857142857
2010-05-19,1,51,1.9607843137254901
2010-05-20,1,14,7.142857142857142
2010-05-21,0,7,0.0
2010-05-22,0,6,0.0
2010-05-23,0,5,0.0
2010-05-24,0,9,0.0
2010-05-25,0,42,0.0
