date,Erin Andrews,Dancing with the Stars,normalized_score
2010-03-22,4,22,18.181818181818183
2010-03-23,16,100,16.0
2010-03-24,6,31,19.35483870967742
2010-03-25,4,14,28.57142857142857
2010-03-26,3,9,33.33333333333333
2010-03-27,4,8,50.0
2010-03-28,3,11,27.27272727272727
2010-03-29,4,11,36.36363636363637
2010-03-30,12,67,17.91044776119403
2010-03-31,6,84,7.142857142857142
2010-04-01,3,21,14.285714285714285
2010-04-02,3,9,33.33333333333333
2010-04-03,26,10,260.0
2010-04-04,11,7,157.14285714285714
2010-04-05,17,10,170.0
2010-04-06,15,48,31.25
2010-04-07,7,71,9.859154929577464
2010-04-08,4,22,18.181818181818183
2010-04-09,5,11,45.45454545454545
2010-04-10,4,8,50.0
2010-04-11,3,7,42.857142857142854
2010-04-12,3,8,37.5
2010-04-13,5,45,11.11111111111111
2010-04-14,4,75,5.333333333333334
2010-04-15,3,21,14.285714285714285
2010-04-16,3,10,30.0
2010-04-17,2,7,28.57142857142857
2010-04-18,2,6,33.33333333333333
2010-04-19,2,7,28.57142857142857
2010-04-20,5,35,14.285714285714285
2010-04-21,4,65,6.153846153846154
2010-04-22,2,13,15.384615384615385
2010-04-23,3,7,42.857142857142854
2010-04-24,3,6,50.0
2010-04-25,2,5,40.0
2010-04-26,2,6,33.33333333333333
2010-04-27,7,29,24.137931034482758
2010-04-28,5,48,10.416666666666668
2010-04-29,2,14,14.285714285714285
2010-04-30,2,6,33.33333333333333
2010-05-01,2,4,50.0
2010-05-02,2,4,50.0
2010-05-03,1,5,20.0
2010-05-04,5,26,19.230769230769234
2010-05-05,17,47,36.17021276595745
2010-05-06,16,19,84.21052631578947
2010-05-07,8,10,80.0
2010-05-08,7,6,116.66666666666667
2010-05-09,3,5,60.0
2010-05-10,3,7,42.857142857142854
2010-05-11,10,33,30.303030303030305
2010-05-12,6,45,13.333333333333334
2010-05-13,3,13,23.076923076923077
2010-05-14,2,6,33.33333333333333
2010-05-15,2,5,40.0
2010-05-16,2,4,50.0
2010-05-17,2,6,33.33333333333333
2010-05-18,14,35,40.0
2010-05-19,6,51,11.76470588235294
2010-05-20,3,14,21.428571428571427
2010-05-21,2,7,28.57142857142857
2010-05-22,4,6,66.66666666666666
2010-05-23,3,5,60.0
2010-05-24,2,9,22.22222222222222
2010-05-25,9,42,21.428571428571427
