date,Evan Lysacek,Dancing with the Stars,normalized_score
2010-03-22,1,22,4.545454545454546
2010-03-23,3,100,3.0
2010-03-24,1,31,3.225806451612903
2010-03-25,1,14,7.142857142857142
2010-03-26,1,9,11.11111111111111
2010-03-27,1,8,12.5
2010-03-28,1,11,9.090909090909092
2010-03-29,1,11,9.090909090909092
2010-03-30,2,67,2.9850746268656714
2010-03-31,1,84,1.1904761904761905
2010-04-01,1,21,4.761904761904762
2010-04-02,1,9,11.11111111111111
2010-04-03,1,10,10.0
2010-04-04,1,7,14.285714285714285
2010-04-05,0,10,0.0
2010-04-06,2,48,4.166666666666666
2010-04-07,1,71,1.4084507042253522
2010-04-08,0,22,0.0
2010-04-09,0,11,0.0
2010-04-10,1,8,12.5
2010-04-11,0,7,0.0
2010-04-12,0,8,0.0
2010-04-13,1,45,2.2222222222222223
2010-04-14,1,75,1.3333333333333335
2010-04-15,1,21,4.761904761904762
2010-04-16,0,10,0.0
2010-04-17,0,7,0.0
2010-04-18,0,6,0.0
2010-04-19,0,7,0.0
2010-04-20,2,35,5.714285714285714
2010-04-21,1,65,1.5384615384615385
2010-04-22,1,13,7.6923076923076925
2010-04-23,1,7,14.285714285714285
2010-04-24,0,6,0.0
2010-04-25,0,5,0.0
2010-04-26,0,6,0.0
2010-04-27,2,29,6.896551724137931
2010-04-28,1,48,2.083333333333333
2010-04-29,1,14,7.142857142857142
2010-04-30,1,6,16.666666666666664
2010-05-01,1,4,25.0
2010-05-02,1,4,25.0
2010-05-03,0,5,0.0
2010-05-04,3,26,11.538461538461538
2010-05-05,1,47,2.127659574468085
2010-05-06,0,19,0.0
2010-05-07,0,10,0.0
2010-05-08,1,6,16.666666666666664
2010-05-09,0,5,0.0
2010-05-10,1,7,14.285714285714285
2010-05-11,3,33,9.090909090909092
2010-05-12,1,45,2.2222222222222223
2010-05-13,1,13,7.6923076923076925
2010-05-14,0,6,0.0
2010-05-15,1,5,20.0
2010-05-16,0,4,0.0
2010-05-17,0,6,0.0
2010-05-18,3,35,8.571428571428571
2010-05-19,2,51,3.9215686274509802
2010-05-20,1,14,7.142857142857142
2010-05-21,1,7,14.285714285714285
2010-05-22,0,6,0.0
2010-05-23,1,5,20.0
2010-05-24,1,9,11.11111111111111
2010-05-25,2,42,4.761904761904762
