date,Kate Gosselin,Dancing with the Stars,normalized_score
2010-03-22,4,22,18.181818181818183
2010-03-23,15,100,15.0
2010-03-24,7,31,22.58064516129032
2010-03-25,4,14,28.57142857142857
2010-03-26,4,9,44.44444444444444
2010-03-27,3,8,37.5
2010-03-28,3,11,27.27272727272727
2010-03-29,3,11,27.27272727272727
2010-03-30,22,67,32.83582089552239
2010-03-31,13,84,15.476190476190476
2010-04-01,5,21,23.809523809523807
2010-04-02,4,9,44.44444444444444
2010-04-03,4,10,40.0
2010-04-04,3,7,42.857142857142854
2010-04-05,4,10,40.0
2010-04-06,12,48,25.0
2010-04-07,16,71,22.535211267605636
2010-04-08,13,22,59.09090909090909
2010-04-09,8,11,72.72727272727273
2010-04-10,7,8,87.5
2010-04-11,6,7,85.71428571428571
2010-04-12,6,8,75.0
2010-04-13,18,45,40.0
2010-04-14,14,75,18.666666666666668
2010-04-15,7,21,33.33333333333333
2010-04-16,7,10,70.0
2010-04-17,5,7,71.42857142857143
2010-04-18,5,6,83.33333333333334
2010-04-19,5,7,71.42857142857143
2010-04-20,10,35,28.57142857142857
2010-04-21,15,65,23.076923076923077
2010-04-22,7,13,53.84615384615385
2010-04-23,4,7,57.14285714285714
2010-04-24,5,6,83.33333333333334
2010-04-25,4,5,80.0
2010-04-26,4,6,66.66666666666666
2010-04-27,4,29,13.793103448275861
2010-04-28,3,48,6.25
2010-04-29,3,14,21.428571428571427
2010-04-30,4,6,66.66666666666666
2010-05-01,3,4,75.0
2010-05-02,2,4,50.0
2010-05-03,2,5,40.0
2010-05-04,2,26,7.6923076923076925
2010-05-05,3,47,6.382978723404255
2010-05-06,2,19,10.526315789473683
2010-05-07,2,10,20.0
2010-05-08,2,6,33.33333333333333
2010-05-09,2,5,40.0
2010-05-10,2,7,28.57142857142857
2010-05-11,3,33,9.090909090909092
2010-05-12,3,45,6.666666666666667
2010-05-13,2,13,15.384615384615385
2010-05-14,2,6,33.33333333333333
2010-05-15,3,5,60.0
2010-05-16,3,4,75.0
2010-05-17,2,6,33.33333333333333
2010-05-18,3,35,8.571428571428571
2010-05-19,2,51,3.9215686274509802
2010-05-20,2,14,14.285714285714285
2010-05-21,2,7,28.57142857142857
2010-05-22,2,6,33.33333333333333
2010-05-23,2,5,40.0
2010-05-24,2,9,22.22222222222222
2010-05-25,2,42,4.761904761904762
