date,Nicole Scherzinger,Dancing with the Stars,normalized_score
2010-03-22,2,22,9.090909090909092
2010-03-23,9,100,9.0
2010-03-24,2,31,6.451612903225806
2010-03-25,1,14,7.142857142857142
2010-03-26,1,9,11.11111111111111
2010-03-27,1,8,12.5
2010-03-28,2,11,18.181818181818183
2010-03-29,1,11,9.090909090909092
2010-03-30,7,67,10.44776119402985
2010-03-31,3,84,3.571428571428571
2010-04-01,2,21,9.523809523809524
2010-04-02,1,9,11.11111111111111
2010-04-03,1,10,10.0
2010-04-04,1,7,14.285714285714285
2010-04-05,1,10,10.0
2010-04-06,5,48,10.416666666666668
2010-04-07,3,71,4.225352112676056
2010-04-08,1,22,4.545454545454546
2010-04-09,1,11,9.090909090909092
2010-04-10,2,8,25.0
2010-04-11,1,7,14.285714285714285
2010-04-12,1,8,12.5
2010-04-13,5,45,11.11111111111111
2010-04-14,2,75,2.666666666666667
2010-04-15,1,21,4.761904761904762
2010-04-16,1,10,10.0
2010-04-17,1,7,14.285714285714285
2010-04-18,1,6,16.666666666666664
2010-04-19,1,7,14.285714285714285
2010-04-20,4,35,11.428571428571429
2010-04-21,2,65,3.076923076923077
2010-04-22,1,13,7.6923076923076925
2010-04-23,1,7,14.285714285714285
2010-04-24,1,6,16.666666666666664
2010-04-25,1,5,20.0
2010-04-26,1,6,16.666666666666664
2010-04-27,4,29,13.793103448275861
2010-04-28,2,48,4.166666666666666
2010-04-29,1,14,7.142857142857142
2010-04-30,1,6,16.666666666666664
2010-05-01,1,4,25.0
2010-05-02,1,4,25.0
2010-05-03,1,5,20.0
2010-05-04,3,26,11.538461538461538
2010-05-05,2,47,4.25531914893617
2010-05-06,1,19,5.263157894736842
2010-05-07,1,10,10.0
2010-05-08,1,6,16.666666666666664
2010-05-09,1,5,20.0
2010-05-10,1,7,14.285714285714285
2010-05-11,6,33,18.181818181818183
2010-05-12,3,45,6.666666666666667
2010-05-13,1,13,7.6923076923076925
2010-05-14,1,6,16.666666666666664
2010-05-15,1,5,20.0
2010-05-16,1,4,25.0
2010-05-17,1,6,16.666666666666664
2010-05-18,5,35,14.285714285714285
2010-05-19,3,51,5.88235294117647
2010-05-20,1,14,7.142857142857142
2010-05-21,1,7,14.285714285714285
2010-05-22,2,6,33.33333333333333
2010-05-23,1,5,20.0
2010-05-24,1,9,11.11111111111111
2010-05-25,6,42,14.285714285714285
