date,David Hasselhoff,Dancing with the Stars,normalized_score
2010-09-20,1,19,5.263157894736842
2010-09-21,12,79,15.18987341772152
2010-09-22,7,71,9.859154929577464
2010-09-23,2,15,13.333333333333334
2010-09-24,1,7,14.285714285714285
2010-09-25,1,7,14.285714285714285
2010-09-26,1,5,20.0
2010-09-27,1,8,12.5
2010-09-28,1,46,2.1739130434782608
2010-09-29,1,55,1.8181818181818181
2010-09-30,1,14,7.142857142857142
2010-10-01,0,7,0.0
2010-10-02,0,6,0.0
2010-10-03,0,5,0.0
2010-10-04,0,7,0.0
2010-10-05,0,30,0.0
2010-10-06,0,44,0.0
2010-10-07,0,12,0.0
2010-10-08,0,6,0.0
2010-10-09,0,4,0.0
2010-10-10,0,4,0.0
2010-10-11,0,6,0.0
2010-10-12,0,28,0.0
2010-10-13,0,40,0.0
2010-10-14,0,11,0.0
2010-10-15,0,6,0.0
2010-10-16,0,5,0.0
2010-10-17,0,4,0.0
2010-10-18,0,5,0.0
2010-10-19,0,22,0.0
2010-10-20,0,43,0.0
2010-10-21,0,11,0.0
2010-10-22,0,7,0.0
2010-10-23,0,5,0.0
2010-10-24,0,4,0.0
2010-10-25,0,5,0.0
2010-10-26,0,26,0.0
2010-10-27,0,47,0.0
2010-10-28,0,12,0.0
2010-10-29,0,6,0.0
2010-10-30,1,5,20.0
2010-10-31,0,5,0.0
2010-11-01,0,6,0.0
2010-11-02,0,25,0.0
2010-11-03,0,43,0.0
2010-11-04,0,11,0.0
2010-11-05,0,6,0.0
2010-11-06,0,5,0.0
2010-11-07,0,5,0.0
2010-11-08,0,5,0.0
2010-11-09,0,26,0.0
2010-11-10,0,51,0.0
2010-11-11,0,15,0.0
2010-11-12,0,7,0.0
2010-11-13,0,5,0.0
2010-11-14,0,5,0.0
2010-11-15,0,6,0.0
2010-11-16,0,36,0.0
2010-11-17,0,100,0.0
2010-11-18,0,28,0.0
2010-11-19,0,14,0.0
2010-11-20,0,11,0.0
2010-11-21,0,8,0.0
2010-11-22,0,12,0.0
2010-11-23,0,83,0.0
