date,Florence Henderson,Dancing with the Stars,normalized_score
2010-09-20,0,19,0.0
2010-09-21,10,79,12.658227848101266
2010-09-22,5,71,7.042253521126761
2010-09-23,1,15,6.666666666666667
2010-09-24,0,7,0.0
2010-09-25,0,7,0.0
2010-09-26,0,5,0.0
2010-09-27,0,8,0.0
2010-09-28,2,46,4.3478260869565215
2010-09-29,1,55,1.8181818181818181
2010-09-30,0,14,0.0
2010-10-01,0,7,0.0
2010-10-02,0,6,0.0
2010-10-03,0,5,0.0
2010-10-04,0,7,0.0
2010-10-05,3,30,10.0
2010-10-06,1,44,2.272727272727273
2010-10-07,1,12,8.333333333333332
2010-10-08,0,6,0.0
2010-10-09,0,4,0.0
2010-10-10,0,4,0.0
2010-10-11,0,6,0.0
2010-10-12,3,28,10.714285714285714
2010-10-13,1,40,2.5
2010-10-14,0,11,0.0
2010-10-15,0,6,0.0
2010-10-16,0,5,0.0
2010-10-17,0,4,0.0
2010-10-18,0,5,0.0
2010-10-19,3,22,13.636363636363635
2010-10-20,3,43,6.976744186046512
2010-10-21,1,11,9.090909090909092
2010-10-22,0,7,0.0
2010-10-23,0,5,0.0
2010-10-24,0,4,0.0
2010-10-25,0,5,0.0
2010-10-26,0,26,0.0
2010-10-27,0,47,0.0
2010-10-28,0,12,0.0
2010-10-29,0,6,0.0
2010-10-30,0,5,0.0
2010-10-31,0,5,0.0
2010-11-01,0,6,0.0
2010-11-02,0,25,0.0
2010-11-03,0,43,0.0
2010-11-04,0,11,0.0
2010-11-05,0,6,0.0
2010-11-06,0,5,0.0
2010-11-07,0,5,0.0
2010-11-08,0,5,0.0
2010-11-09,0,26,0.0
2010-11-10,0,51,0.0
2010-11-11,0,15,0.0
2010-11-12,0,7,0.0
2010-11-13,0,5,0.0
2010-11-14,0,5,0.0
2010-11-15,0,6,0.0
2010-11-16,0,36,0.0
2010-11-17,0,100,0.0
2010-11-18,0,28,0.0
2010-11-19,0,14,0.0
2010-11-20,0,11,0.0
2010-11-21,0,8,0.0
2010-11-22,0,12,0.0
2010-11-23,0,83,0.0
