date,Jennifer Grey,Dancing with the Stars,normalized_score
2010-09-20,2,19,10.526315789473683
2010-09-21,25,80,31.25
2010-09-22,15,71,21.12676056338028
2010-09-23,3,15,20.0
2010-09-24,2,7,28.57142857142857
2010-09-25,4,7,57.14285714285714
2010-09-26,3,5,60.0
2010-09-27,2,8,25.0
2010-09-28,26,46,56.52173913043478
2010-09-29,9,55,16.363636363636363
2010-09-30,4,14,28.57142857142857
2010-10-01,3,7,42.857142857142854
2010-10-02,2,7,28.57142857142857
2010-10-03,1,5,20.0
2010-10-04,2,7,28.57142857142857
2010-10-05,7,33,21.21212121212121
2010-10-06,3,42,7.142857142857142
2010-10-07,1,12,8.333333333333332
2010-10-08,1,6,16.666666666666664
2010-10-09,1,4,25.0
2010-10-10,1,4,25.0
2010-10-11,0,6,0.0
2010-10-12,12,29,41.37931034482759
2010-10-13,5,40,12.5
2010-10-14,2,11,18.181818181818183
2010-10-15,1,6,16.666666666666664
2010-10-16,2,5,40.0
2010-10-17,1,4,25.0
2010-10-18,1,5,20.0
2010-10-19,7,22,31.818181818181817
2010-10-20,3,43,6.976744186046512
2010-10-21,2,11,18.181818181818183
2010-10-22,1,7,14.285714285714285
2010-10-23,1,5,20.0
2010-10-24,2,4,50.0
2010-10-25,1,5,20.0
2010-10-26,7,26,26.923076923076923
2010-10-27,4,46,8.695652173913043
2010-10-28,1,12,8.333333333333332
2010-10-29,1,6,16.666666666666664
2010-10-30,1,5,20.0
2010-10-31,1,5,20.0
2010-11-01,1,6,16.666666666666664
2010-11-02,6,24,25.0
2010-11-03,3,45,6.666666666666667
2010-11-04,1,11,9.090909090909092
2010-11-05,1,6,16.666666666666664
2010-11-06,2,5,40.0
2010-11-07,2,5,40.0
2010-11-08,1,5,20.0
2010-11-09,14,28,50.0
2010-11-10,5,53,9.433962264150944
2010-11-11,2,15,13.333333333333334
2010-11-12,2,7,28.57142857142857
2010-11-13,2,6,33.33333333333333
2010-11-14,1,5,20.0
2010-11-15,1,6,16.666666666666664
2010-11-16,14,35,40.0
2010-11-17,6,100,6.0
2010-11-18,2,29,6.896551724137931
2010-11-19,2,14,14.285714285714285
2010-11-20,2,11,18.181818181818183
2010-11-21,1,8,12.5
2010-11-22,2,12,16.666666666666664
2010-11-23,19,87,21.839080459770116
